StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason
S17,2019-Oct-28 13:30:02.164000,2019-Oct-28 13:30:02.164000,FILLED,FILL,MSFT,BUY,LIMIT,DAY,145.040000,15,0,15,0,144.540000,0.018000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991013,,
S17,2019-Oct-28 13:30:02.964000,2019-Oct-28 13:30:02.964000,FILLED,FILL,MSFT,BUY,LIMIT,DAY,144.950000,200,0,200,0,144.450000,0.240000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991014,,
S17,2019-Oct-28 13:30:08.265000,2019-Oct-28 13:30:08.265000,FILLED,FILL,MSFT,SELL,LIMIT,DAY,143.910000,-1,0,-1,0,144.410000,0.004435,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991015,,
S17,2019-Oct-28 13:30:11.868000,2019-Oct-28 13:30:11.868000,FILLED,FILL,MSFT,SELL,LIMIT,DAY,143.900000,-1,0,-1,0,144.400000,0.004435,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991016,,
S17,2019-Oct-28 13:30:19.591000,2019-Oct-28 13:30:19.591000,FILLED,FILL,MSFT,BUY,LIMIT,DAY,144.930000,1,0,1,0,144.430000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991017,,
S17,2019-Oct-28 13:30:20.991000,2019-Oct-28 13:30:20.991000,FILLED,FILL,MSFT,SELL,LIMIT,DAY,143.920000,-1,0,-1,0,144.420000,0.004435,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991018,,
S17,2019-Oct-28 13:30:21.212000,2019-Oct-28 13:30:21.212000,FILLED,FILL,MSFT,BUY,LIMIT,DAY,144.920000,1,0,1,0,144.420000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991019,,
S17,2019-Oct-28 13:30:21.248000,2019-Oct-28 13:30:21.248000,FILLED,FILL,MSFT,SELL,LIMIT,DAY,143.920000,-1,0,-1,0,144.420000,0.004435,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991020,,
S17,2019-Oct-28 13:30:21.563000,2019-Oct-28 13:30:21.563000,FILLED,FILL,MSFT,SELL,LIMIT,DAY,143.920000,-1,0,-1,0,144.420000,0.004435,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991021,,
S17,2019-Oct-28 13:30:24.355000,2019-Oct-28 13:30:24.355000,FILLED,FILL,MSFT,BUY,LIMIT,DAY,145.020000,1,0,1,0,144.520000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991022,,
S17,2019-Oct-28 13:30:27.831000,2019-Oct-28 13:30:27.831000,FILLED,FILL,MSFT,BUY,LIMIT,DAY,145.010000,1,0,1,0,144.510000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991023,,
S17,2019-Oct-28 13:30:29.889000,2019-Oct-28 13:30:29.889000,REJECTED,REJECT,MSFT,BUY,LIMIT,DAY,145.005000,500,0,0,500,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991024,,limit price is not an increment of minimum tick size
S17,2019-Oct-28 13:30:30.538000,2019-Oct-28 13:30:30.538000,REJECTED,REJECT,MSFT,BUY,LIMIT,DAY,145.015000,1,0,0,1,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991025,,limit price is not an increment of minimum tick size
S17,2019-Oct-28 13:30:33.147000,2019-Oct-28 13:30:33.147000,FILLED,FILL,MSFT,SELL,LIMIT,DAY,144.060000,-1,0,-1,0,144.560000,0.004438,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991026,,
S17,2019-Oct-28 13:30:33.468000,2019-Oct-28 13:30:33.468000,FILLED,FILL,MSFT,BUY,LIMIT,DAY,144.990000,1,0,1,0,144.490000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991027,,
S17,2019-Oct-28 13:30:34.328000,2019-Oct-28 13:30:34.328000,FILLED,FILL,MSFT,SELL,LIMIT,DAY,143.990000,-1,0,-1,0,144.490000,0.004437,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991028,,
S17,2019-Oct-28 13:30:40.851000,2019-Oct-28 13:30:40.851000,FILLED,FILL,MSFT,BUY,LIMIT,DAY,144.990000,1,0,1,0,144.490000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991029,,
S17,2019-Oct-28 13:30:46.166000,2019-Oct-28 13:30:46.166000,REJECTED,REJECT,MSFT,BUY,LIMIT,DAY,144.965000,1,0,0,1,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991030,,limit price is not an increment of minimum tick size
S17,2019-Oct-28 13:30:50.224000,2019-Oct-28 13:30:50.224000,FILLED,FILL,MSFT,BUY,LIMIT,DAY,145.070000,1,0,1,0,144.570000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991031,,
S17,2019-Oct-28 13:30:51.455000,2019-Oct-28 13:30:51.455000,FILLED,FILL,MSFT,BUY,LIMIT,DAY,145.070000,1,0,1,0,144.570000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991032,,
S17,2019-Oct-28 13:31:00.638000,2019-Oct-28 13:31:00.638000,FILLED,FILL,MSFT,BUY,LIMIT,DAY,145.240000,100,0,100,0,144.740000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991033,,
S17,2019-Oct-28 13:31:08.695000,2019-Oct-28 13:31:08.695000,FILLED,FILL,MSFT,BUY,LIMIT,DAY,145.440000,167,0,167,0,144.940000,0.200400,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991034,,
S17,2019-Oct-28 13:31:09.687000,2019-Oct-28 13:31:09.687000,FILLED,FILL,MSFT,BUY,LIMIT,DAY,145.420000,100,0,100,0,144.920000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991035,,
S17,2019-Oct-28 13:31:11.267000,2019-Oct-28 13:31:11.267000,FILLED,FILL,MSFT,SELL,LIMIT,DAY,144.420000,-1,0,-1,0,144.920000,0.004446,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991036,,
S17,2019-Oct-28 13:31:11.718000,2019-Oct-28 13:31:11.718000,FILLED,FILL,MSFT,SELL,LIMIT,DAY,144.420000,-1,0,-1,0,144.920000,0.004446,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991037,,
S17,2019-Oct-28 13:31:15.179000,2019-Oct-28 13:31:15.179000,FILLED,FILL,MSFT,BUY,LIMIT,DAY,145.390000,100,0,100,0,144.890000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361421497991038,,
