Name,Time,Cumulative PnL
S17,2019-Oct-28 13:30:17.445000,0.423131
S17,2019-Oct-28 13:31:19.597000,54.797639
S17,2019-Oct-28 13:32:20.768000,166.135544
S17,2019-Oct-28 13:33:22.853000,311.296202
S17,2019-Oct-28 13:34:29.632000,332.555908
S17,2019-Oct-28 13:35:32.957000,253.248312
S17,2019-Oct-28 13:36:36.933000,656.817547
S17,2019-Oct-28 13:37:40.867000,346.614219
S17,2019-Oct-28 13:38:43.225000,529.557738
S17,2019-Oct-28 13:39:48.745000,695.463481
S17,2019-Oct-28 13:40:53.564000,690.426634
S17,2019-Oct-28 13:41:56.703000,624.046540
S17,2019-Oct-28 13:43:12.207000,606.633766
S17,2019-Oct-28 13:44:18.613000,466.929465
S17,2019-Oct-28 13:45:21.691000,368.096831
S17,2019-Oct-28 13:46:23.753000,411.544867
S17,2019-Oct-28 13:47:25.926000,579.964228
S17,2019-Oct-28 13:48:27.465000,560.638499
S17,2019-Oct-28 13:49:35.689000,576.328418
S17,2019-Oct-28 13:50:44.841000,592.367133
S17,2019-Oct-28 13:51:52.882000,429.803157
S17,2019-Oct-28 13:53:08.833000,479.459075
S17,2019-Oct-28 13:54:16.594000,479.408635
S17,2019-Oct-28 13:55:33.804000,426.325514
S17,2019-Oct-28 13:56:38.989000,313.067755
S17,2019-Oct-28 13:57:41.994000,-58.464019
S17,2019-Oct-28 13:58:50.367000,-62.100869
S17,2019-Oct-28 14:00:04.250000,-74.094235
S17,2019-Oct-28 14:01:16.776000,-122.169964
S17,2019-Oct-28 14:02:19.886000,-163.474852
S17,2019-Oct-28 14:03:33.897000,57.676239
S17,2019-Oct-28 14:04:45.381000,124.728483
S17,2019-Oct-28 14:05:49.647000,109.362356
S17,2019-Oct-28 14:06:56.592000,153.455808
S17,2019-Oct-28 14:08:10.536000,141.205197
S17,2019-Oct-28 14:09:14.527000,271.432602
S17,2019-Oct-28 14:10:18.535000,116.964479
S17,2019-Oct-28 14:11:31.412000,108.991940
S17,2019-Oct-28 14:12:43.576000,4.106571
S17,2019-Oct-28 14:13:55.590000,16.352839
S17,2019-Oct-28 14:15:01.622000,-12.616027
S17,2019-Oct-28 14:16:20.950000,233.472706
S17,2019-Oct-28 14:17:29.225000,190.030168
S17,2019-Oct-28 14:18:37.438000,349.255733
S17,2019-Oct-28 14:19:46.420000,23.846067
S17,2019-Oct-28 14:20:53.467000,225.609432
S17,2019-Oct-28 14:21:58.356000,215.533459
S17,2019-Oct-28 14:23:02.652000,91.248459
S17,2019-Oct-28 14:24:07.561000,145.595369
S17,2019-Oct-28 14:25:23.648000,396.819287
S17,2019-Oct-28 14:26:28.997000,490.956824
S17,2019-Oct-28 14:27:37.254000,460.853212
S17,2019-Oct-28 14:28:50.131000,186.670717
S17,2019-Oct-28 14:29:53.176000,96.846215
S17,2019-Oct-28 14:30:56.609000,-174.307538
S17,2019-Oct-28 14:31:59.552000,-499.598738
S17,2019-Oct-28 14:33:05.562000,-573.788738
S17,2019-Oct-28 14:34:08.714000,-568.943417
S17,2019-Oct-28 14:35:17.780000,-1190.025577
S17,2019-Oct-28 14:36:26.367000,-1884.448842
S17,2019-Oct-28 14:37:34.988000,-1379.725707
S17,2019-Oct-28 14:38:42.537000,-1486.663397
S17,2019-Oct-28 14:39:52.753000,-1437.869998
S17,2019-Oct-28 14:41:03.494000,-1605.368019
S17,2019-Oct-28 14:42:12.949000,-1052.288019
S17,2019-Oct-28 14:43:15.650000,-968.547444
S17,2019-Oct-28 14:44:17.435000,-985.907454
S17,2019-Oct-28 14:45:25.865000,-1052.927556
S17,2019-Oct-28 14:46:36.829000,-1083.943351
S17,2019-Oct-28 14:47:39.907000,-973.928976
S17,2019-Oct-28 14:48:46.905000,-1088.054601
S17,2019-Oct-28 14:49:47.364000,-1523.482722
S17,2019-Oct-28 14:51:07.720000,-1436.355700
S17,2019-Oct-28 14:52:17.668000,-1347.879395
S17,2019-Oct-28 14:53:19.458000,-1206.496027
S17,2019-Oct-28 14:54:29.646000,-1417.073485
S17,2019-Oct-28 14:55:39.855000,-961.562329
S17,2019-Oct-28 14:56:51.692000,-1405.444365
S17,2019-Oct-28 14:57:58.773000,-1465.878789
S17,2019-Oct-28 14:59:14.334000,-1244.248836
S17,2019-Oct-28 15:00:25.651000,-1303.320450
S17,2019-Oct-28 15:01:32.138000,-1182.263677
S17,2019-Oct-28 15:02:34.490000,-1453.084877
S17,2019-Oct-28 15:03:49.929000,-1230.082928
S17,2019-Oct-28 15:05:10.282000,-1667.796444
S17,2019-Oct-28 15:06:22.812000,-1773.592031
S17,2019-Oct-28 15:07:32.270000,-1660.647330
S17,2019-Oct-28 15:08:40.355000,-1865.515445
S17,2019-Oct-28 15:09:52.559000,-1750.160627
S17,2019-Oct-28 15:11:22.430000,-1701.316872
S17,2019-Oct-28 15:12:30.361000,-1701.329272
S17,2019-Oct-28 15:13:39.792000,-2269.209893
S17,2019-Oct-28 15:15:01.346000,-2535.707533
S17,2019-Oct-28 15:16:07.705000,-2841.519579
S17,2019-Oct-28 15:17:27.219000,-2351.432018
S17,2019-Oct-28 15:18:36.985000,-2051.566286
S17,2019-Oct-28 15:19:48.920000,-2308.365170
S17,2019-Oct-28 15:21:04.845000,-2382.563231
S17,2019-Oct-28 15:22:08.903000,-1864.389833
S17,2019-Oct-28 15:23:17.635000,-2587.670453
S17,2019-Oct-28 15:24:26.745000,-3006.436653
S17,2019-Oct-28 15:25:47.961000,-2696.041072
S17,2019-Oct-28 15:26:59.555000,-2541.831110
S17,2019-Oct-28 15:28:07.177000,-2619.517530
S17,2019-Oct-28 15:29:25.431000,-2388.149930
S17,2019-Oct-28 15:30:34.561000,-2465.302371
S17,2019-Oct-28 15:31:40.699000,-2771.615590
S17,2019-Oct-28 15:32:48.119000,-3697.204758
S17,2019-Oct-28 15:34:04.562000,-3560.807109
S17,2019-Oct-28 15:35:17.943000,-3295.512727
S17,2019-Oct-28 15:36:19.994000,-2551.255127
S17,2019-Oct-28 15:37:37.302000,-2483.896327
S17,2019-Oct-28 15:38:44.364000,-2623.235206
S17,2019-Oct-28 15:39:56.644000,-2971.067813
S17,2019-Oct-28 15:40:57.950000,-2676.940523
S17,2019-Oct-28 15:42:03.615000,-2234.642923
S17,2019-Oct-28 15:43:10.937000,-1202.574168
S17,2019-Oct-28 15:44:13.692000,-524.847444
S17,2019-Oct-28 15:45:21.898000,979.908658
S17,2019-Oct-28 15:46:28.305000,449.211127
S17,2019-Oct-28 15:47:40.428000,285.275883
S17,2019-Oct-28 15:48:51.543000,370.694683
S17,2019-Oct-28 15:50:04.996000,498.645454
S17,2019-Oct-28 15:51:34.268000,-761.073401
S17,2019-Oct-28 15:52:58.881000,-207.770455
S17,2019-Oct-28 15:54:11.122000,-300.503194
S17,2019-Oct-28 15:55:30.309000,-114.081162
S17,2019-Oct-28 15:56:44.512000,-394.896790
S17,2019-Oct-28 15:57:57.590000,-778.960381
S17,2019-Oct-28 15:59:15.264000,-955.301581
S17,2019-Oct-28 16:00:50.300000,-910.382781
S17,2019-Oct-28 16:02:09.339000,-1720.922205
S17,2019-Oct-28 16:03:25.226000,-2525.933963
S17,2019-Oct-28 16:04:28.596000,-1847.797786
S17,2019-Oct-28 16:05:47.901000,-2123.132834
S17,2019-Oct-28 16:06:59.155000,-3223.754622
S17,2019-Oct-28 16:08:09.225000,-3213.001828
S17,2019-Oct-28 16:09:22.579000,-3801.568873
S17,2019-Oct-28 16:10:36.500000,-3694.658873
S17,2019-Oct-28 16:11:36.707000,-4710.248292
S17,2019-Oct-28 16:12:48.137000,-5137.863909
S17,2019-Oct-28 16:13:59.383000,-5405.093326
S17,2019-Oct-28 16:15:03.923000,-5618.909526
S17,2019-Oct-28 16:16:05.218000,-5405.168357
S17,2019-Oct-28 16:17:11.230000,-4442.868357
S17,2019-Oct-28 16:18:15.812000,-3633.729557
S17,2019-Oct-28 16:19:20.843000,-3579.790757
S17,2019-Oct-28 16:20:27.667000,-3409.174397
