Name,Time,Cumulative PnL
S6TEAM,2019-Oct-02 13:30:15.903000,-20.064000
S6TEAM,2019-Oct-02 13:31:24.739000,-57.111611
S6TEAM,2019-Oct-02 13:32:34.898000,-66.201317
S6TEAM,2019-Oct-02 13:33:40.852000,-61.758014
S6TEAM,2019-Oct-02 13:34:49.901000,-37.941673
S6TEAM,2019-Oct-02 13:35:53.505000,-38.486291
S6TEAM,2019-Oct-02 13:36:58.123000,-25.403747
S6TEAM,2019-Oct-02 13:38:00.831000,-25.960687
S6TEAM,2019-Oct-02 13:39:07.719000,-15.048601
S6TEAM,2019-Oct-02 13:40:19.828000,0.004210
S6TEAM,2019-Oct-02 13:41:25.923000,-16.495790
S6TEAM,2019-Oct-02 13:42:36.809000,-22.419265
S6TEAM,2019-Oct-02 13:43:44.146000,-18.082830
S6TEAM,2019-Oct-02 13:44:53.119000,-19.626104
S6TEAM,2019-Oct-02 13:46:05.109000,-15.626706
S6TEAM,2019-Oct-02 13:47:19.868000,-15.626706
S6TEAM,2019-Oct-02 13:48:26.257000,-15.626706
S6TEAM,2019-Oct-02 13:49:36.674000,-12.714687
S6TEAM,2019-Oct-02 13:50:52.800000,-12.714687
S6TEAM,2019-Oct-02 13:52:01.844000,-16.258139
S6TEAM,2019-Oct-02 13:53:20.758000,-16.258139
S6TEAM,2019-Oct-02 13:54:28.761000,-16.378139
S6TEAM,2019-Oct-02 13:55:41.862000,-3.921279
S6TEAM,2019-Oct-02 13:56:45.412000,-18.921279
S6TEAM,2019-Oct-02 13:57:53.112000,-62.643903
S6TEAM,2019-Oct-02 13:59:03.559000,-67.643903
S6TEAM,2019-Oct-02 14:00:04.558000,-27.784994
S6TEAM,2019-Oct-02 14:01:07.709000,-37.327215
S6TEAM,2019-Oct-02 14:02:11.117000,-31.567215
S6TEAM,2019-Oct-02 14:03:22.958000,-10.687215
S6TEAM,2019-Oct-02 14:04:35.971000,-15.697130
S6TEAM,2019-Oct-02 14:05:53.574000,-13.490853
S6TEAM,2019-Oct-02 14:07:02.352000,-4.990853
S6TEAM,2019-Oct-02 14:08:05.489000,-6.490853
S6TEAM,2019-Oct-02 14:09:10.160000,-4.033521
S6TEAM,2019-Oct-02 14:10:17.868000,-6.456280
S6TEAM,2019-Oct-02 14:11:21.682000,-6.456280
S6TEAM,2019-Oct-02 14:12:32.959000,-6.456280
S6TEAM,2019-Oct-02 14:13:37.413000,6.423720
S6TEAM,2019-Oct-02 14:14:52.714000,0.458920
S6TEAM,2019-Oct-02 14:15:56.583000,0.458920
S6TEAM,2019-Oct-02 14:17:03.123000,0.458920
S6TEAM,2019-Oct-02 14:18:08.857000,0.458920
S6TEAM,2019-Oct-02 14:19:16.225000,0.458920
S6TEAM,2019-Oct-02 14:20:19.107000,0.458920
S6TEAM,2019-Oct-02 14:21:25.575000,0.458920
S6TEAM,2019-Oct-02 14:22:29.512000,0.458920
S6TEAM,2019-Oct-02 14:23:34.682000,-8.661080
S6TEAM,2019-Oct-02 14:24:38.307000,-13.082181
S6TEAM,2019-Oct-02 14:25:44.252000,-12.164248
S6TEAM,2019-Oct-02 14:26:49.506000,7.235752
S6TEAM,2019-Oct-02 14:27:57.986000,20.131032
S6TEAM,2019-Oct-02 14:29:06.373000,13.511032
S6TEAM,2019-Oct-02 14:30:12.997000,22.778043
S6TEAM,2019-Oct-02 14:31:19.153000,26.816738
S6TEAM,2019-Oct-02 14:32:24.646000,28.156354
S6TEAM,2019-Oct-02 14:33:32.316000,23.736015
S6TEAM,2019-Oct-02 14:34:36.378000,23.736015
S6TEAM,2019-Oct-02 14:35:39.834000,23.736015
S6TEAM,2019-Oct-02 14:36:43.652000,23.496015
S6TEAM,2019-Oct-02 14:37:47.492000,21.496015
S6TEAM,2019-Oct-02 14:38:52.807000,40.876015
S6TEAM,2019-Oct-02 14:40:01.275000,31.875468
S6TEAM,2019-Oct-02 14:41:03.457000,31.034924
S6TEAM,2019-Oct-02 14:42:09.585000,36.914924
S6TEAM,2019-Oct-02 14:43:12.275000,36.494898
S6TEAM,2019-Oct-02 14:44:18.328000,35.954335
S6TEAM,2019-Oct-02 14:45:27.208000,28.289883
S6TEAM,2019-Oct-02 14:46:30.796000,40.629701
S6TEAM,2019-Oct-02 14:47:46.358000,45.669314
S6TEAM,2019-Oct-02 14:48:52.729000,45.669314
S6TEAM,2019-Oct-02 14:49:55.858000,42.726514
S6TEAM,2019-Oct-02 14:51:00.205000,35.908290
S6TEAM,2019-Oct-02 14:52:07.851000,36.908290
S6TEAM,2019-Oct-02 14:53:12.525000,36.178730
S6TEAM,2019-Oct-02 14:54:16.524000,37.247730
S6TEAM,2019-Oct-02 14:55:23.394000,33.261538
S6TEAM,2019-Oct-02 14:56:30.381000,41.720975
S6TEAM,2019-Oct-02 14:57:38.186000,41.720975
S6TEAM,2019-Oct-02 14:58:38.455000,41.720975
S6TEAM,2019-Oct-02 14:59:44.148000,41.644760
S6TEAM,2019-Oct-02 15:00:54.199000,50.143764
S6TEAM,2019-Oct-02 15:02:01.977000,64.023764
S6TEAM,2019-Oct-02 15:03:06.371000,74.982731
S6TEAM,2019-Oct-02 15:04:13.418000,66.061876
S6TEAM,2019-Oct-02 15:05:17.657000,66.061876
S6TEAM,2019-Oct-02 15:06:23.343000,66.061876
S6TEAM,2019-Oct-02 15:07:31.434000,66.061876
S6TEAM,2019-Oct-02 15:08:39.845000,66.061876
S6TEAM,2019-Oct-02 15:09:43.813000,66.061876
S6TEAM,2019-Oct-02 15:10:55.481000,66.061876
S6TEAM,2019-Oct-02 15:12:01.136000,66.821876
S6TEAM,2019-Oct-02 15:13:07.736000,60.981691
S6TEAM,2019-Oct-02 15:14:16.349000,63.441598
S6TEAM,2019-Oct-02 15:15:30.791000,66.520975
S6TEAM,2019-Oct-02 15:16:38.596000,66.520975
S6TEAM,2019-Oct-02 15:17:40.893000,71.586187
S6TEAM,2019-Oct-02 15:18:44.596000,74.564587
S6TEAM,2019-Oct-02 15:19:49.329000,80.277986
S6TEAM,2019-Oct-02 15:20:52.379000,86.403513
S6TEAM,2019-Oct-02 15:22:02.246000,86.403513
S6TEAM,2019-Oct-02 15:23:09.841000,87.167913
S6TEAM,2019-Oct-02 15:24:13.604000,92.403219
S6TEAM,2019-Oct-02 15:25:20.320000,88.482432
S6TEAM,2019-Oct-02 15:26:25.246000,88.482432
S6TEAM,2019-Oct-02 15:27:31.107000,88.482432
S6TEAM,2019-Oct-02 15:28:38.880000,90.941824
S6TEAM,2019-Oct-02 15:29:49.482000,91.321824
S6TEAM,2019-Oct-02 15:31:01.260000,97.401238
S6TEAM,2019-Oct-02 15:32:08.738000,104.281238
S6TEAM,2019-Oct-02 15:33:17.456000,119.281238
S6TEAM,2019-Oct-02 15:34:17.587000,118.747048
S6TEAM,2019-Oct-02 15:35:25.451000,118.747048
S6TEAM,2019-Oct-02 15:36:35.560000,118.874648
S6TEAM,2019-Oct-02 15:37:43.608000,118.704648
S6TEAM,2019-Oct-02 15:38:56.639000,136.044648
S6TEAM,2019-Oct-02 15:40:00.552000,136.014683
S6TEAM,2019-Oct-02 15:41:09.531000,136.394683
S6TEAM,2019-Oct-02 15:42:11.893000,132.394683
S6TEAM,2019-Oct-02 15:43:20.969000,133.353918
S6TEAM,2019-Oct-02 15:44:29.319000,132.812996
S6TEAM,2019-Oct-02 15:45:36.305000,135.772187
S6TEAM,2019-Oct-02 15:46:46.493000,129.851243
S6TEAM,2019-Oct-02 15:48:02.337000,129.731243
S6TEAM,2019-Oct-02 15:49:07.785000,123.310523
S6TEAM,2019-Oct-02 15:50:11.991000,123.310523
S6TEAM,2019-Oct-02 15:51:28.176000,123.310523
S6TEAM,2019-Oct-02 15:52:30.793000,123.310523
S6TEAM,2019-Oct-02 15:53:38.947000,123.310523
S6TEAM,2019-Oct-02 15:54:52.753000,123.310523
S6TEAM,2019-Oct-02 15:56:02.641000,130.757296
S6TEAM,2019-Oct-02 15:57:15.904000,128.637296
S6TEAM,2019-Oct-02 15:58:30.727000,137.675408
S6TEAM,2019-Oct-02 15:59:36.997000,142.435408
S6TEAM,2019-Oct-02 16:00:49.625000,114.594102
S6TEAM,2019-Oct-02 16:01:58.413000,107.053651
S6TEAM,2019-Oct-02 16:03:05.133000,113.483133
S6TEAM,2019-Oct-02 16:04:21.648000,114.627930
S6TEAM,2019-Oct-02 16:05:22.963000,111.383073
S6TEAM,2019-Oct-02 16:06:32.567000,111.383073
S6TEAM,2019-Oct-02 16:07:33.600000,111.383073
S6TEAM,2019-Oct-02 16:08:37.792000,111.383073
S6TEAM,2019-Oct-02 16:10:13.390000,111.383073
S6TEAM,2019-Oct-02 16:11:24.490000,111.383073
S6TEAM,2019-Oct-02 16:12:33.634000,110.263073
S6TEAM,2019-Oct-02 16:13:43.765000,109.842510
S6TEAM,2019-Oct-02 16:14:45.651000,109.842510
S6TEAM,2019-Oct-02 16:15:55.534000,109.842510
S6TEAM,2019-Oct-02 16:17:07.950000,109.842510
S6TEAM,2019-Oct-02 16:18:19.249000,109.931310
S6TEAM,2019-Oct-02 16:19:28.327000,109.941310
S6TEAM,2019-Oct-02 16:20:43.173000,109.917105
S6TEAM,2019-Oct-02 16:22:13.308000,109.917105
S6TEAM,2019-Oct-02 16:23:20.395000,109.917105
S6TEAM,2019-Oct-02 16:24:22.987000,115.797105
S6TEAM,2019-Oct-02 16:25:44.356000,118.256587
S6TEAM,2019-Oct-02 16:26:55.391000,113.756587
S6TEAM,2019-Oct-02 16:28:09.310000,111.256587
S6TEAM,2019-Oct-02 16:29:10.133000,108.256587
S6TEAM,2019-Oct-02 16:30:38.948000,115.875787
S6TEAM,2019-Oct-02 16:31:43.216000,117.510787
S6TEAM,2019-Oct-02 16:32:44.509000,113.237690
S6TEAM,2019-Oct-02 16:34:00.937000,113.237690
S6TEAM,2019-Oct-02 16:35:14.327000,113.237690
S6TEAM,2019-Oct-02 16:36:26.539000,123.377690
S6TEAM,2019-Oct-02 16:37:31.667000,117.377690
S6TEAM,2019-Oct-02 16:38:46.655000,111.617815
S6TEAM,2019-Oct-02 16:40:01.713000,111.617815
S6TEAM,2019-Oct-02 16:41:07.697000,108.497815
S6TEAM,2019-Oct-02 16:42:16.406000,104.497815
S6TEAM,2019-Oct-02 16:43:34.442000,102.497815
S6TEAM,2019-Oct-02 16:44:53.712000,97.997815
S6TEAM,2019-Oct-02 16:46:03.323000,103.078036
S6TEAM,2019-Oct-02 16:47:10.695000,103.078036
S6TEAM,2019-Oct-02 16:48:26.734000,103.458036
S6TEAM,2019-Oct-02 16:49:27.966000,99.458036
S6TEAM,2019-Oct-02 16:50:44.316000,89.958036
S6TEAM,2019-Oct-02 16:51:57.903000,93.838036
S6TEAM,2019-Oct-02 16:53:04.568000,97.838036
S6TEAM,2019-Oct-02 16:54:11.421000,91.838036
S6TEAM,2019-Oct-02 16:55:14.290000,94.838036
S6TEAM,2019-Oct-02 16:56:25.205000,116.718036
S6TEAM,2019-Oct-02 16:57:39.408000,146.718036
S6TEAM,2019-Oct-02 16:58:42.190000,143.718036
S6TEAM,2019-Oct-02 16:59:57.977000,142.458833
S6TEAM,2019-Oct-02 17:01:11.797000,142.557633
S6TEAM,2019-Oct-02 17:02:22.690000,142.553436
S6TEAM,2019-Oct-02 17:03:31.551000,142.553436
S6TEAM,2019-Oct-02 17:04:44.851000,142.933436
S6TEAM,2019-Oct-02 17:05:47.442000,179.392729
S6TEAM,2019-Oct-02 17:06:55.452000,174.772729
S6TEAM,2019-Oct-02 17:07:56.341000,179.272729
S6TEAM,2019-Oct-02 17:09:02.624000,176.312722
S6TEAM,2019-Oct-02 17:10:08.677000,176.312722
S6TEAM,2019-Oct-02 17:11:12.819000,176.312722
S6TEAM,2019-Oct-02 17:12:19.493000,179.152294
S6TEAM,2019-Oct-02 17:13:36.908000,175.231730
S6TEAM,2019-Oct-02 17:14:53.837000,174.393381
S6TEAM,2019-Oct-02 17:15:59.670000,174.393381
S6TEAM,2019-Oct-02 17:17:02.945000,174.393381
S6TEAM,2019-Oct-02 17:18:16.449000,174.773381
S6TEAM,2019-Oct-02 17:19:28.330000,183.773381
S6TEAM,2019-Oct-02 17:20:31.499000,176.852953
S6TEAM,2019-Oct-02 17:21:42.529000,176.852953
S6TEAM,2019-Oct-02 17:23:11.817000,171.312479
S6TEAM,2019-Oct-02 17:24:12.746000,173.692479
S6TEAM,2019-Oct-02 17:25:13.236000,169.192479
S6TEAM,2019-Oct-02 17:26:18.479000,172.772095
S6TEAM,2019-Oct-02 17:27:19.160000,176.152095
S6TEAM,2019-Oct-02 17:28:35.415000,184.652095
S6TEAM,2019-Oct-02 17:29:39.308000,187.231465
S6TEAM,2019-Oct-02 17:30:50.203000,187.231465
S6TEAM,2019-Oct-02 17:31:56.385000,187.231465
S6TEAM,2019-Oct-02 17:33:01.585000,187.231465
S6TEAM,2019-Oct-02 17:34:05.862000,187.231465
S6TEAM,2019-Oct-02 17:35:15.756000,190.111465
S6TEAM,2019-Oct-02 17:36:20.492000,188.111465
S6TEAM,2019-Oct-02 17:37:29.873000,188.111465
S6TEAM,2019-Oct-02 17:38:32.395000,191.111465
S6TEAM,2019-Oct-02 17:39:36.584000,185.611465
S6TEAM,2019-Oct-02 17:40:40.436000,190.571125
S6TEAM,2019-Oct-02 17:41:51.818000,186.071125
S6TEAM,2019-Oct-02 17:43:08.291000,190.571125
S6TEAM,2019-Oct-02 17:44:24.775000,181.610537
S6TEAM,2019-Oct-02 17:45:35.173000,181.610537
S6TEAM,2019-Oct-02 17:46:47.178000,181.610537
S6TEAM,2019-Oct-02 17:47:49.789000,181.490537
S6TEAM,2019-Oct-02 17:48:54.465000,183.990537
S6TEAM,2019-Oct-02 17:50:13.125000,172.490537
S6TEAM,2019-Oct-02 17:51:23.111000,171.531023
S6TEAM,2019-Oct-02 17:52:27.827000,171.531023
