StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
T3AAPL,2019-Oct-04 13:30:00.280000,AAPL,20,225.590000,0.024000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302327,,FILL
T3AAPL,2019-Oct-04 13:30:01.483000,AAPL,-20,225.600000,0.125069,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302328,,FILL
T3AAPL,2019-Oct-04 13:30:04.247000,AAPL,100,225.760000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302331,,FILL
T3AAPL,2019-Oct-04 13:30:05.697000,AAPL,-100,225.740000,0.625658,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302332,,FILL
T3AAPL,2019-Oct-04 13:30:10.303000,AAPL,100,225.520000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302335,,FILL
T3AAPL,2019-Oct-04 13:30:10.572000,AAPL,-100,225.490000,0.625098,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302336,,FILL
T3AAPL,2019-Oct-04 13:30:22.784000,AAPL,100,225.180000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302339,,FILL
T3AAPL,2019-Oct-04 13:30:27.535000,AAPL,-100,225.050000,0.624112,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302340,,FILL
T3AAPL,2019-Oct-04 13:30:31.675000,AAPL,1,225.150000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302341,,FILL
T3AAPL,2019-Oct-04 13:30:36.651000,AAPL,-1,225.260000,0.006246,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302342,,FILL
T3AAPL,2019-Oct-04 13:30:43.101000,AAPL,100,225.270000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302343,,FILL
T3AAPL,2019-Oct-04 13:30:44.168000,AAPL,-100,225.260000,0.624582,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302344,,FILL
T3AAPL,2019-Oct-04 13:30:46.665000,AAPL,100,225.360000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302345,,FILL
T3AAPL,2019-Oct-04 13:30:47.874000,AAPL,-100,225.310000,0.624694,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302346,,FILL
T3AAPL,2019-Oct-04 13:31:12.473000,AAPL,100,225.210000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302349,,FILL
T3AAPL,2019-Oct-04 13:31:31.541000,AAPL,-100,225.020000,0.624045,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302350,,FILL
T3AAPL,2019-Oct-04 13:31:33.594000,AAPL,100,224.980000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302351,,FILL
T3AAPL,2019-Oct-04 13:31:40.832000,AAPL,-100,225.080000,0.624179,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302352,,FILL
T3AAPL,2019-Oct-04 13:31:51.900000,AAPL,100,225.310000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302355,,FILL
T3AAPL,2019-Oct-04 13:31:53.843000,AAPL,-100,225.220000,0.624493,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302356,,FILL
T3AAPL,2019-Oct-04 13:31:56.442000,AAPL,100,225.270000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302357,,FILL
T3AAPL,2019-Oct-04 13:32:03.756000,AAPL,-100,225.140000,0.624314,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302358,,FILL
T3AAPL,2019-Oct-04 13:32:16.469000,AAPL,2,225.070000,0.002400,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302359,,FILL
T3AAPL,2019-Oct-04 13:32:20.413000,AAPL,-2,225.090000,0.012484,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302360,,FILL
T3AAPL,2019-Oct-04 13:32:31.164000,AAPL,100,224.850000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302361,,FILL
T3AAPL,2019-Oct-04 13:32:38.204000,AAPL,-100,224.870000,0.623709,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302362,,FILL
T3AAPL,2019-Oct-04 13:32:53.365000,AAPL,53,224.870000,0.063600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302363,,FILL
T3AAPL,2019-Oct-04 13:32:57.932000,AAPL,-53,224.810000,0.330494,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793302364,,FILL
