StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason
T3AAPL,2019-Oct-04 13:30:00.280000,2019-Oct-04 13:30:00.280000,FILLED,FILL,AAPL,BUY,LIMIT,DAY,225.590000,20,0,20,0,225.590000,0.024000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793302327,,
T3AAPL,2019-Oct-04 13:30:01.483000,2019-Oct-04 13:30:01.483000,FILLED,FILL,AAPL,SELL,LIMIT,DAY,225.600000,-20,0,-20,0,225.600000,0.125069,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793302328,,
T3AAPL,2019-Oct-04 13:30:01.679000,2019-Oct-04 13:30:01.679000,REJECTED,REJECT,AAPL,BUY,LIMIT,DAY,225.775000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793302329,,limit price is not an increment of minimum tick size
T3AAPL,2019-Oct-04 13:30:02.972000,2019-Oct-04 13:30:02.972000,REJECTED,REJECT,AAPL,SELL,LIMIT,DAY,225.770000,0,0,0,0,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793302330,,quantity must be positive
T3AAPL,2019-Oct-04 13:30:04.247000,2019-Oct-04 13:30:04.247000,FILLED,FILL,AAPL,BUY,LIMIT,DAY,225.760000,100,0,100,0,225.760000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793302331,,
T3AAPL,2019-Oct-04 13:30:05.697000,2019-Oct-04 13:30:05.697000,FILLED,FILL,AAPL,SELL,LIMIT,DAY,225.740000,-100,0,-100,0,225.740000,0.625658,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793302332,,
T3AAPL,2019-Oct-04 13:30:06.327000,2019-Oct-04 13:30:06.327000,REJECTED,REJECT,AAPL,BUY,LIMIT,DAY,225.645000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793302333,,limit price is not an increment of minimum tick size
T3AAPL,2019-Oct-04 13:30:06.969000,2019-Oct-04 13:30:06.969000,REJECTED,REJECT,AAPL,SELL,LIMIT,DAY,225.600000,0,0,0,0,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793302334,,quantity must be positive
T3AAPL,2019-Oct-04 13:30:10.303000,2019-Oct-04 13:30:10.303000,FILLED,FILL,AAPL,BUY,LIMIT,DAY,225.520000,100,0,100,0,225.520000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793302335,,
T3AAPL,2019-Oct-04 13:30:10.572000,2019-Oct-04 13:30:10.572000,FILLED,FILL,AAPL,SELL,LIMIT,DAY,225.490000,-100,0,-100,0,225.490000,0.625098,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793302336,,
T3AAPL,2019-Oct-04 13:30:12.900000,2019-Oct-04 13:30:12.900000,REJECTED,REJECT,AAPL,BUY,LIMIT,DAY,225.405000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793302337,,limit price is not an increment of minimum tick size
T3AAPL,2019-Oct-04 13:30:13.780000,2019-Oct-04 13:30:13.780000,REJECTED,REJECT,AAPL,SELL,LIMIT,DAY,225.350000,0,0,0,0,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793302338,,quantity must be positive
T3AAPL,2019-Oct-04 13:30:22.784000,2019-Oct-04 13:30:22.784000,FILLED,FILL,AAPL,BUY,LIMIT,DAY,225.180000,100,0,100,0,225.180000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793302339,,
T3AAPL,2019-Oct-04 13:30:27.535000,2019-Oct-04 13:30:27.535000,FILLED,FILL,AAPL,SELL,LIMIT,DAY,225.050000,-100,0,-100,0,225.050000,0.624112,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793302340,,
T3AAPL,2019-Oct-04 13:30:31.675000,2019-Oct-04 13:30:31.675000,FILLED,FILL,AAPL,BUY,LIMIT,DAY,225.150000,1,0,1,0,225.150000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793302341,,
