Name,Time,Cumulative PnL
T3AAPL,2019-Oct-04 13:30:17.689000,-6.439824
T3AAPL,2019-Oct-04 13:31:27.958000,-32.190659
T3AAPL,2019-Oct-04 13:32:31.769000,-61.642573
T3AAPL,2019-Oct-04 13:33:33.670000,-71.326696
T3AAPL,2019-Oct-04 13:34:38.549000,-91.496814
T3AAPL,2019-Oct-04 13:35:41.751000,-100.485298
T3AAPL,2019-Oct-04 13:36:43.837000,-110.347640
T3AAPL,2019-Oct-04 13:37:44.756000,-99.090654
T3AAPL,2019-Oct-04 13:38:49.158000,-64.090654
T3AAPL,2019-Oct-04 13:39:57.594000,-39.934238
T3AAPL,2019-Oct-04 13:41:06.679000,-45.523438
T3AAPL,2019-Oct-04 13:42:13.141000,-4.770409
T3AAPL,2019-Oct-04 13:43:19.646000,-12.015350
T3AAPL,2019-Oct-04 13:44:26.700000,-10.139686
T3AAPL,2019-Oct-04 13:45:37.688000,-35.369267
T3AAPL,2019-Oct-04 13:46:53.195000,-30.983688
T3AAPL,2019-Oct-04 13:48:06.918000,-30.983688
T3AAPL,2019-Oct-04 13:49:22.426000,-57.212529
T3AAPL,2019-Oct-04 13:50:27.648000,-91.954491
T3AAPL,2019-Oct-04 13:51:36.664000,-85.033850
T3AAPL,2019-Oct-04 13:52:37.446000,-93.685610
T3AAPL,2019-Oct-04 13:53:42.593000,-75.461106
T3AAPL,2019-Oct-04 13:54:46.532000,-75.703471
T3AAPL,2019-Oct-04 13:55:53.886000,-88.931215
T3AAPL,2019-Oct-04 13:57:00.277000,-76.554296
T3AAPL,2019-Oct-04 13:58:06.771000,-76.554296
T3AAPL,2019-Oct-04 13:59:15.115000,-76.554296
T3AAPL,2019-Oct-04 14:00:17.880000,-76.554296
T3AAPL,2019-Oct-04 14:01:19.760000,-72.334296
T3AAPL,2019-Oct-04 14:02:28.277000,-73.490352
T3AAPL,2019-Oct-04 14:03:38.907000,-73.490352
T3AAPL,2019-Oct-04 14:04:44.598000,-73.110352
T3AAPL,2019-Oct-04 14:05:46.553000,-102.233501
T3AAPL,2019-Oct-04 14:06:52.670000,-93.853501
T3AAPL,2019-Oct-04 14:08:02.612000,-89.976739
T3AAPL,2019-Oct-04 14:09:07.877000,-89.096739
T3AAPL,2019-Oct-04 14:10:12.369000,-128.205491
T3AAPL,2019-Oct-04 14:11:18.205000,-129.800287
T3AAPL,2019-Oct-04 14:12:26.125000,-126.200287
T3AAPL,2019-Oct-04 14:13:31.294000,-136.722287
T3AAPL,2019-Oct-04 14:14:35.710000,-78.282287
T3AAPL,2019-Oct-04 14:15:43.193000,11.697713
T3AAPL,2019-Oct-04 14:16:51.927000,9.144637
T3AAPL,2019-Oct-04 14:18:04.250000,10.611037
T3AAPL,2019-Oct-04 14:19:04.595000,21.044649
T3AAPL,2019-Oct-04 14:20:11.310000,20.764649
T3AAPL,2019-Oct-04 14:21:15.853000,2.618744
T3AAPL,2019-Oct-04 14:22:22.110000,42.618744
T3AAPL,2019-Oct-04 14:23:31.118000,64.618744
T3AAPL,2019-Oct-04 14:24:31.329000,56.618744
T3AAPL,2019-Oct-04 14:25:34.172000,38.618744
T3AAPL,2019-Oct-04 14:26:37.544000,58.618744
T3AAPL,2019-Oct-04 14:27:41.861000,53.370207
T3AAPL,2019-Oct-04 14:28:45.954000,56.750207
T3AAPL,2019-Oct-04 14:29:55.499000,17.872402
T3AAPL,2019-Oct-04 14:31:04.494000,19.372402
T3AAPL,2019-Oct-04 14:32:06.333000,41.750802
T3AAPL,2019-Oct-04 14:33:22.346000,40.266653
T3AAPL,2019-Oct-04 14:34:24.505000,25.773341
T3AAPL,2019-Oct-04 14:35:34.615000,-12.456217
T3AAPL,2019-Oct-04 14:36:37.826000,-4.576217
T3AAPL,2019-Oct-04 14:37:46.405000,10.183783
T3AAPL,2019-Oct-04 14:38:58.534000,-10.816217
T3AAPL,2019-Oct-04 14:40:02.954000,-37.816217
T3AAPL,2019-Oct-04 14:41:17.974000,-24.936217
T3AAPL,2019-Oct-04 14:42:23.818000,13.063783
T3AAPL,2019-Oct-04 14:43:32.680000,-29.429529
T3AAPL,2019-Oct-04 14:44:36.737000,-29.376729
T3AAPL,2019-Oct-04 14:45:43.270000,-33.074134
T3AAPL,2019-Oct-04 14:46:51.824000,-40.697484
T3AAPL,2019-Oct-04 14:48:03.140000,-56.060252
T3AAPL,2019-Oct-04 14:49:25.102000,-36.560252
T3AAPL,2019-Oct-04 14:50:36.555000,-21.560252
T3AAPL,2019-Oct-04 14:51:42.924000,-2.424252
T3AAPL,2019-Oct-04 14:52:49.910000,3.575748
T3AAPL,2019-Oct-04 14:53:56.924000,6.455748
T3AAPL,2019-Oct-04 14:55:07.967000,-7.536051
T3AAPL,2019-Oct-04 14:56:11.940000,-4.536051
T3AAPL,2019-Oct-04 14:57:14.772000,-5.536051
T3AAPL,2019-Oct-04 14:58:23.509000,15.463949
T3AAPL,2019-Oct-04 14:59:33.198000,8.839524
T3AAPL,2019-Oct-04 15:00:38.391000,5.347988
