StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason
T3INTC,2019-Oct-01 13:30:00.720000,2019-Oct-01 13:30:00.720000,FILLED,FILL,INTC,BUY,LIMIT,DAY,52.130000,30,0,30,0,52.130000,0.036000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793301883,,
T3INTC,2019-Oct-01 13:30:01.551000,2019-Oct-01 13:30:01.551000,FILLED,FILL,INTC,SELL,LIMIT,DAY,51.850000,-30,0,-30,0,51.850000,0.070843,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793301884,,
T3INTC,2019-Oct-01 13:30:06.781000,2019-Oct-01 13:30:06.781000,REJECTED,REJECT,INTC,BUY,LIMIT,DAY,51.925000,500,0,0,500,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793301885,,limit price is not an increment of minimum tick size
T3INTC,2019-Oct-01 13:31:22.397000,2019-Oct-01 13:31:22.397000,REJECTED,REJECT,INTC,SELL,LIMIT,DAY,52.010000,0,0,0,0,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793301886,,quantity must be positive
T3INTC,2019-Oct-01 13:34:04.422000,2019-Oct-01 13:34:04.422000,FILLED,FILL,INTC,BUY,LIMIT,DAY,51.980000,700,0,700,0,51.980000,0.840000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793301887,,
T3INTC,2019-Oct-01 13:34:23.162000,2019-Oct-01 13:34:23.162000,REJECTED,REJECT,INTC,SELL,LIMIT,DAY,51.965000,-700,0,0,-700,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793301888,,limit price is not an increment of minimum tick size
T3INTC,2019-Oct-01 13:41:26.684000,2019-Oct-01 13:41:26.684000,FILLED,FILL,INTC,BUY,LIMIT,DAY,52.110000,100,0,100,0,52.110000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793301889,,
T3INTC,2019-Oct-01 13:51:51.103000,2019-Oct-01 13:51:51.103000,FILLED,FILL,INTC,SELL,LIMIT,DAY,52.130000,-800,0,-800,0,52.130000,1.894170,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793301890,,
T3INTC,2019-Oct-01 14:00:30.604000,2019-Oct-01 14:00:30.604000,FILLED,FILL,INTC,BUY,LIMIT,DAY,51.960000,100,0,100,0,51.960000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793301891,,
T3INTC,2019-Oct-01 14:02:29.813000,2019-Oct-01 14:02:29.813000,REJECTED,REJECT,INTC,SELL,LIMIT,DAY,51.945000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793301892,,limit price is not an increment of minimum tick size
