Name,Time,Cumulative PnL
T3INTC,2019-Oct-01 13:30:06.781000,-8.506843
T3INTC,2019-Oct-01 13:31:10.918000,-8.506843
T3INTC,2019-Oct-01 13:32:20.880000,-8.506843
T3INTC,2019-Oct-01 13:33:37.179000,-8.506843
T3INTC,2019-Oct-01 13:34:56.430000,-2.346843
T3INTC,2019-Oct-01 13:36:00.956000,-9.346843
T3INTC,2019-Oct-01 13:37:18.817000,11.653157
T3INTC,2019-Oct-01 13:38:25.289000,39.653157
T3INTC,2019-Oct-01 13:39:40.155000,25.653157
T3INTC,2019-Oct-01 13:40:44.865000,43.153157
T3INTC,2019-Oct-01 13:41:56.761000,77.533157
T3INTC,2019-Oct-01 13:43:05.222000,77.533157
T3INTC,2019-Oct-01 13:44:07.545000,129.533157
T3INTC,2019-Oct-01 13:45:14.740000,129.533157
T3INTC,2019-Oct-01 13:46:23.706000,121.533157
T3INTC,2019-Oct-01 13:47:43.333000,141.533157
T3INTC,2019-Oct-01 13:48:59.545000,153.533157
T3INTC,2019-Oct-01 13:50:16.465000,173.533157
T3INTC,2019-Oct-01 13:51:30.632000,145.533157
T3INTC,2019-Oct-01 13:52:32.779000,95.638987
T3INTC,2019-Oct-01 13:53:40.381000,95.638987
T3INTC,2019-Oct-01 13:54:45.673000,95.638987
T3INTC,2019-Oct-01 13:56:00.533000,95.638987
T3INTC,2019-Oct-01 13:57:24.184000,95.638987
T3INTC,2019-Oct-01 13:58:39.299000,95.638987
T3INTC,2019-Oct-01 13:59:45.103000,95.638987
T3INTC,2019-Oct-01 14:00:47.189000,94.518987
T3INTC,2019-Oct-01 14:01:50.617000,97.018987
T3INTC,2019-Oct-01 14:02:56.229000,91.518987
T3INTC,2019-Oct-01 14:04:01.682000,86.018987
T3INTC,2019-Oct-01 14:05:12.418000,81.018987
T3INTC,2019-Oct-01 14:06:18.356000,79.518987
T3INTC,2019-Oct-01 14:07:25.963000,75.518987
T3INTC,2019-Oct-01 14:08:36.784000,72.518987
T3INTC,2019-Oct-01 14:09:46.707000,69.518987
T3INTC,2019-Oct-01 14:10:56.134000,67.018987
T3INTC,2019-Oct-01 14:12:08.472000,67.018987
T3INTC,2019-Oct-01 14:13:16.445000,57.518987
T3INTC,2019-Oct-01 14:14:29.369000,57.018987
T3INTC,2019-Oct-01 14:15:44.964000,61.018987
T3INTC,2019-Oct-01 14:16:59.698000,64.398987
T3INTC,2019-Oct-01 14:18:06.959000,69.398987
T3INTC,2019-Oct-01 14:19:13.544000,58.927730
T3INTC,2019-Oct-01 14:20:20.308000,58.927730
T3INTC,2019-Oct-01 14:21:22.852000,58.927730
T3INTC,2019-Oct-01 14:22:34.522000,58.927730
T3INTC,2019-Oct-01 14:23:41.115000,58.927730
T3INTC,2019-Oct-01 14:24:41.959000,58.927730
T3INTC,2019-Oct-01 14:25:47.179000,58.927730
T3INTC,2019-Oct-01 14:26:50.642000,58.927730
T3INTC,2019-Oct-01 14:27:53.235000,58.927730
T3INTC,2019-Oct-01 14:28:58.914000,58.927730
T3INTC,2019-Oct-01 14:30:08.476000,58.927730
T3INTC,2019-Oct-01 14:31:11.666000,58.927730
T3INTC,2019-Oct-01 14:32:19.691000,58.927730
T3INTC,2019-Oct-01 14:33:29.828000,58.927730
T3INTC,2019-Oct-01 14:34:36.662000,58.927730
T3INTC,2019-Oct-01 14:35:37.123000,58.927730
T3INTC,2019-Oct-01 14:36:41.467000,58.927730
T3INTC,2019-Oct-01 14:37:46.520000,58.927730
T3INTC,2019-Oct-01 14:38:51.238000,58.927730
T3INTC,2019-Oct-01 14:39:59.706000,58.927730
T3INTC,2019-Oct-01 14:41:06.285000,47.307730
T3INTC,2019-Oct-01 14:42:19.512000,41.307730
T3INTC,2019-Oct-01 14:43:32.977000,41.807730
T3INTC,2019-Oct-01 14:44:40.827000,38.307730
T3INTC,2019-Oct-01 14:45:49.237000,36.307730
T3INTC,2019-Oct-01 14:47:04.919000,40.807730
T3INTC,2019-Oct-01 14:48:24.898000,33.307730
T3INTC,2019-Oct-01 14:49:31.214000,25.307730
T3INTC,2019-Oct-01 14:50:38.605000,20.807730
T3INTC,2019-Oct-01 14:51:53.715000,20.807730
T3INTC,2019-Oct-01 14:52:55.606000,20.307730
T3INTC,2019-Oct-01 14:53:58.967000,16.307730
T3INTC,2019-Oct-01 14:55:00.209000,21.807730
T3INTC,2019-Oct-01 14:56:14.680000,17.807730
T3INTC,2019-Oct-01 14:57:20.111000,13.807730
T3INTC,2019-Oct-01 14:58:21.984000,16.807730
T3INTC,2019-Oct-01 14:59:29.843000,13.307730
T3INTC,2019-Oct-01 15:00:40.826000,10.307730
T3INTC,2019-Oct-01 15:01:41.448000,9.307730
T3INTC,2019-Oct-01 15:02:43.722000,6.807730
T3INTC,2019-Oct-01 15:03:54.242000,1.307730
T3INTC,2019-Oct-01 15:05:00.212000,1.307730
T3INTC,2019-Oct-01 15:06:16.136000,4.307730
T3INTC,2019-Oct-01 15:07:22.544000,7.307730
T3INTC,2019-Oct-01 15:08:24.283000,8.307730
T3INTC,2019-Oct-01 15:09:27.489000,8.307730
T3INTC,2019-Oct-01 15:10:32.339000,7.307730
T3INTC,2019-Oct-01 15:11:40.744000,3.807730
T3INTC,2019-Oct-01 15:12:45.500000,6.307730
T3INTC,2019-Oct-01 15:13:53.814000,6.307730
T3INTC,2019-Oct-01 15:15:04.258000,4.307730
T3INTC,2019-Oct-01 15:16:19.300000,1.307730
T3INTC,2019-Oct-01 15:17:31.115000,4.807730
T3INTC,2019-Oct-01 15:18:36.895000,5.307730
T3INTC,2019-Oct-01 15:19:49.802000,6.307730
T3INTC,2019-Oct-01 15:20:54.428000,6.807730
T3INTC,2019-Oct-01 15:22:00.781000,8.807730
T3INTC,2019-Oct-01 15:23:11.475000,14.807730
T3INTC,2019-Oct-01 15:24:20.770000,17.807730
T3INTC,2019-Oct-01 15:25:39.508000,19.807730
T3INTC,2019-Oct-01 15:26:39.704000,20.307730
T3INTC,2019-Oct-01 15:27:43.418000,20.807730
T3INTC,2019-Oct-01 15:29:05.707000,23.807730
T3INTC,2019-Oct-01 15:30:21.973000,23.807730
T3INTC,2019-Oct-01 15:31:40.449000,25.307730
T3INTC,2019-Oct-01 15:32:54.401000,26.307730
T3INTC,2019-Oct-01 15:34:05.269000,24.307730
T3INTC,2019-Oct-01 15:35:22.736000,24.307730
T3INTC,2019-Oct-01 15:36:35.266000,20.807730
T3INTC,2019-Oct-01 15:37:51.821000,24.307730
T3INTC,2019-Oct-01 15:39:01.805000,23.807730
T3INTC,2019-Oct-01 15:40:20.493000,22.807730
T3INTC,2019-Oct-01 15:41:32.942000,22.807730
T3INTC,2019-Oct-01 15:42:48.763000,15.307730
T3INTC,2019-Oct-01 15:43:57.930000,11.807730
T3INTC,2019-Oct-01 15:45:16.586000,13.807730
T3INTC,2019-Oct-01 15:46:35.898000,16.807730
T3INTC,2019-Oct-01 15:47:51.950000,14.807730
T3INTC,2019-Oct-01 15:48:59.270000,9.807730
T3INTC,2019-Oct-01 15:50:18.951000,8.807730
T3INTC,2019-Oct-01 15:51:28.946000,6.307730
T3INTC,2019-Oct-01 15:52:37.470000,8.807730
T3INTC,2019-Oct-01 15:53:47.913000,2.307730
T3INTC,2019-Oct-01 15:55:01.865000,3.807730
T3INTC,2019-Oct-01 15:56:17.331000,4.807730
T3INTC,2019-Oct-01 15:57:25.380000,6.307730
T3INTC,2019-Oct-01 15:58:28.985000,6.307730
T3INTC,2019-Oct-01 15:59:37.522000,4.807730
T3INTC,2019-Oct-01 16:01:02.442000,4.307730
T3INTC,2019-Oct-01 16:02:11.805000,-2.692270
T3INTC,2019-Oct-01 16:03:14.893000,-1.192270
T3INTC,2019-Oct-01 16:04:27.325000,-1.192270
T3INTC,2019-Oct-01 16:05:40.341000,-6.692270
T3INTC,2019-Oct-01 16:07:00.634000,-11.192270
T3INTC,2019-Oct-01 16:08:10.324000,-7.192270
T3INTC,2019-Oct-01 16:09:20.556000,-3.692270
T3INTC,2019-Oct-01 16:10:22.737000,-4.192270
T3INTC,2019-Oct-01 16:11:38.287000,-5.692270
T3INTC,2019-Oct-01 16:12:42.963000,-6.192270
T3INTC,2019-Oct-01 16:14:03.749000,-10.192270
T3INTC,2019-Oct-01 16:15:09.205000,-7.692270
T3INTC,2019-Oct-01 16:16:35.164000,-5.192270
T3INTC,2019-Oct-01 16:17:47.724000,-5.192270
T3INTC,2019-Oct-01 16:18:51.917000,1.573422
T3INTC,2019-Oct-01 16:19:57.782000,1.573422
T3INTC,2019-Oct-01 16:21:04.858000,1.573422
T3INTC,2019-Oct-01 16:22:19.405000,1.573422
T3INTC,2019-Oct-01 16:23:34.889000,1.573422
T3INTC,2019-Oct-01 16:24:39.783000,1.573422
T3INTC,2019-Oct-01 16:25:49.170000,1.573422
T3INTC,2019-Oct-01 16:26:54.870000,1.573422
T3INTC,2019-Oct-01 16:28:22.542000,1.573422
T3INTC,2019-Oct-01 16:29:34.815000,1.573422
T3INTC,2019-Oct-01 16:30:35.997000,1.573422
T3INTC,2019-Oct-01 16:31:48.429000,1.573422
T3INTC,2019-Oct-01 16:32:49.723000,1.573422
T3INTC,2019-Oct-01 16:34:01.843000,1.573422
T3INTC,2019-Oct-01 16:35:11.344000,1.573422
T3INTC,2019-Oct-01 16:36:27.682000,1.573422
T3INTC,2019-Oct-01 16:37:42.228000,1.573422
T3INTC,2019-Oct-01 16:38:45.952000,1.573422
