StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason
T3JPM,2019-Oct-03 13:30:00.578000,2019-Oct-03 13:30:00.578000,FILLED,FILL,JPM,BUY,LIMIT,DAY,112.350000,85,0,85,0,112.350000,0.102000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300580,,
T3JPM,2019-Oct-03 13:30:13.220000,2019-Oct-03 13:30:13.220000,FILLED,FILL,JPM,SELL,LIMIT,DAY,112.280000,-85,0,-85,0,112.280000,0.315781,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300581,,
T3JPM,2019-Oct-03 13:30:15.774000,2019-Oct-03 13:30:15.774000,FILLED,FILL,JPM,BUY,LIMIT,DAY,112.350000,100,0,100,0,112.350000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300582,,
T3JPM,2019-Oct-03 13:30:28.684000,2019-Oct-03 13:30:28.684000,FILLED,FILL,JPM,SELL,LIMIT,DAY,112.240000,-100,0,-100,0,112.240000,0.371418,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300583,,
T3JPM,2019-Oct-03 13:30:52.822000,2019-Oct-03 13:30:52.822000,FILLED,FILL,JPM,BUY,LIMIT,DAY,112.220000,100,0,100,0,112.220000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300584,,
T3JPM,2019-Oct-03 13:31:26.387000,2019-Oct-03 13:31:26.387000,FILLED,FILL,JPM,SELL,LIMIT,DAY,112.110000,-100,0,-100,0,112.110000,0.371126,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300585,,
T3JPM,2019-Oct-03 13:31:38.471000,2019-Oct-03 13:31:38.471000,FILLED,FILL,JPM,BUY,LIMIT,DAY,112.390000,100,0,100,0,112.390000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300586,,
T3JPM,2019-Oct-03 13:32:03.774000,2019-Oct-03 13:32:03.774000,FILLED,FILL,JPM,SELL,LIMIT,DAY,112.220000,-100,0,-100,0,112.220000,0.371373,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300587,,
T3JPM,2019-Oct-03 13:32:35.631000,2019-Oct-03 13:32:35.631000,FILLED,FILL,JPM,BUY,LIMIT,DAY,112.460000,100,0,100,0,112.460000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300588,,
T3JPM,2019-Oct-03 13:32:49.941000,2019-Oct-03 13:32:49.941000,FILLED,FILL,JPM,SELL,LIMIT,DAY,112.320000,-100,0,-100,0,112.320000,0.371597,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300589,,
T3JPM,2019-Oct-03 13:33:08.199000,2019-Oct-03 13:33:08.199000,FILLED,FILL,JPM,BUY,LIMIT,DAY,112.450000,100,0,100,0,112.450000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300590,,
T3JPM,2019-Oct-03 13:33:40.529000,2019-Oct-03 13:33:40.529000,FILLED,FILL,JPM,SELL,LIMIT,DAY,112.550000,-100,0,-100,0,112.550000,0.372112,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300591,,
T3JPM,2019-Oct-03 13:35:03.942000,2019-Oct-03 13:35:03.942000,REJECTED,REJECT,JPM,BUY,LIMIT,DAY,112.335000,200,0,0,200,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300592,,limit price is not an increment of minimum tick size
T3JPM,2019-Oct-03 13:37:01.621000,2019-Oct-03 13:37:01.621000,REJECTED,REJECT,JPM,SELL,LIMIT,DAY,112.430000,0,0,0,0,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300593,,quantity must be positive
T3JPM,2019-Oct-03 13:37:24.172000,2019-Oct-03 13:37:24.172000,FILLED,FILL,JPM,BUY,LIMIT,DAY,112.510000,100,0,100,0,112.510000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300594,,
T3JPM,2019-Oct-03 13:37:59.938000,2019-Oct-03 13:37:59.938000,FILLED,FILL,JPM,SELL,LIMIT,DAY,112.480000,-100,0,-100,0,112.480000,0.371955,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300595,,
T3JPM,2019-Oct-03 13:43:04.541000,2019-Oct-03 13:43:04.541000,FILLED,FILL,JPM,BUY,LIMIT,DAY,112.420000,13,0,13,0,112.420000,0.015600,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300596,,
T3JPM,2019-Oct-03 13:44:31.961000,2019-Oct-03 13:44:31.961000,FILLED,FILL,JPM,SELL,LIMIT,DAY,112.420000,-13,0,-13,0,112.420000,0.048337,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300597,,
T3JPM,2019-Oct-03 13:45:09.284000,2019-Oct-03 13:45:09.284000,FILLED,FILL,JPM,BUY,LIMIT,DAY,112.520000,120,0,120,0,112.520000,0.144000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300598,,
T3JPM,2019-Oct-03 13:45:50.313000,2019-Oct-03 13:45:50.313000,FILLED,FILL,JPM,SELL,LIMIT,DAY,112.450000,-120,0,-120,0,112.450000,0.446266,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300599,,
T3JPM,2019-Oct-03 13:46:11.309000,2019-Oct-03 13:46:11.309000,FILLED,FILL,JPM,BUY,LIMIT,DAY,112.600000,100,0,100,0,112.600000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300600,,
T3JPM,2019-Oct-03 13:48:25.757000,2019-Oct-03 13:48:25.757000,REJECTED,REJECT,JPM,SELL,LIMIT,DAY,112.555000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793300601,,limit price is not an increment of minimum tick size
