Name,Time,Cumulative PnL
T3JPM,2019-Oct-03 13:30:15.774000,-6.367781
T3JPM,2019-Oct-03 13:31:32.303000,-29.350325
T3JPM,2019-Oct-03 13:32:41.993000,-46.961698
T3JPM,2019-Oct-03 13:33:46.295000,-51.825407
T3JPM,2019-Oct-03 13:34:59.749000,-51.825407
T3JPM,2019-Oct-03 13:36:05.873000,-51.825407
T3JPM,2019-Oct-03 13:37:17.905000,-51.825407
T3JPM,2019-Oct-03 13:38:30.852000,-55.317362
T3JPM,2019-Oct-03 13:39:35.597000,-55.317362
T3JPM,2019-Oct-03 13:40:42.737000,-55.317362
T3JPM,2019-Oct-03 13:41:59.877000,-55.317362
T3JPM,2019-Oct-03 13:43:06.156000,-55.332962
T3JPM,2019-Oct-03 13:44:16.207000,-55.007962
T3JPM,2019-Oct-03 13:45:22.414000,-57.925299
T3JPM,2019-Oct-03 13:46:27.486000,-64.491564
T3JPM,2019-Oct-03 13:47:35.881000,-58.491564
T3JPM,2019-Oct-03 13:48:44.722000,-69.491564
T3JPM,2019-Oct-03 13:49:53.709000,-46.491564
T3JPM,2019-Oct-03 13:50:59.527000,-51.864079
T3JPM,2019-Oct-03 13:52:13.756000,-51.864079
T3JPM,2019-Oct-03 13:53:23.882000,-51.864079
T3JPM,2019-Oct-03 13:54:39.364000,-51.484079
T3JPM,2019-Oct-03 13:55:49.849000,-51.356819
T3JPM,2019-Oct-03 13:57:07.479000,-51.356819
T3JPM,2019-Oct-03 13:58:16.403000,-45.476819
T3JPM,2019-Oct-03 13:59:28.591000,-50.976819
T3JPM,2019-Oct-03 14:00:31.765000,-82.339542
T3JPM,2019-Oct-03 14:01:36.178000,-89.949705
T3JPM,2019-Oct-03 14:02:41.760000,-140.418246
T3JPM,2019-Oct-03 14:03:54.292000,-148.787737
T3JPM,2019-Oct-03 14:05:00.184000,-149.232937
T3JPM,2019-Oct-03 14:06:09.145000,-150.990384
T3JPM,2019-Oct-03 14:07:09.867000,-150.990384
T3JPM,2019-Oct-03 14:08:14.279000,-150.990384
T3JPM,2019-Oct-03 14:09:18.913000,-151.140137
T3JPM,2019-Oct-03 14:10:23.249000,-152.437695
T3JPM,2019-Oct-03 14:11:30.235000,-152.305695
T3JPM,2019-Oct-03 14:12:35.764000,-150.710894
T3JPM,2019-Oct-03 14:13:43.424000,-150.710894
T3JPM,2019-Oct-03 14:14:46.801000,-150.522094
T3JPM,2019-Oct-03 14:15:54.723000,-150.592094
T3JPM,2019-Oct-03 14:16:57.377000,-150.735772
T3JPM,2019-Oct-03 14:18:10.525000,-150.735772
T3JPM,2019-Oct-03 14:19:12.148000,-150.735772
T3JPM,2019-Oct-03 14:20:19.619000,-163.176844
T3JPM,2019-Oct-03 14:21:22.815000,-159.796844
T3JPM,2019-Oct-03 14:22:28.101000,-154.665417
T3JPM,2019-Oct-03 14:23:31.211000,-148.905417
T3JPM,2019-Oct-03 14:24:46.302000,-120.905417
T3JPM,2019-Oct-03 14:26:00.679000,-135.763145
T3JPM,2019-Oct-03 14:27:03.986000,-128.132277
T3JPM,2019-Oct-03 14:28:12.531000,-128.132277
T3JPM,2019-Oct-03 14:29:15.948000,-128.132277
T3JPM,2019-Oct-03 14:30:27.170000,-128.132277
T3JPM,2019-Oct-03 14:31:30.975000,-125.780277
T3JPM,2019-Oct-03 14:32:37.436000,-124.580277
T3JPM,2019-Oct-03 14:33:42.535000,-124.580277
T3JPM,2019-Oct-03 14:34:54.404000,-124.580277
T3JPM,2019-Oct-03 14:35:58.850000,-118.780277
T3JPM,2019-Oct-03 14:37:05.657000,-111.780277
T3JPM,2019-Oct-03 14:38:23.383000,-115.528110
T3JPM,2019-Oct-03 14:39:44.162000,-115.528110
T3JPM,2019-Oct-03 14:40:50.140000,-115.528110
T3JPM,2019-Oct-03 14:42:05.180000,-115.528110
T3JPM,2019-Oct-03 14:43:16.728000,-115.528110
T3JPM,2019-Oct-03 14:44:31.623000,-115.528110
T3JPM,2019-Oct-03 14:45:48.993000,-115.528110
T3JPM,2019-Oct-03 14:46:56.674000,-114.648110
T3JPM,2019-Oct-03 14:48:02.787000,-126.016996
T3JPM,2019-Oct-03 14:49:13.956000,-126.016996
T3JPM,2019-Oct-03 14:50:23.605000,-126.016996
T3JPM,2019-Oct-03 14:51:31.180000,-126.016996
T3JPM,2019-Oct-03 14:52:34.674000,-138.994814
T3JPM,2019-Oct-03 14:53:45.136000,-138.994814
T3JPM,2019-Oct-03 14:54:49.224000,-139.234814
T3JPM,2019-Oct-03 14:55:49.756000,-133.234814
T3JPM,2019-Oct-03 14:56:58.365000,-107.234814
T3JPM,2019-Oct-03 14:58:00.444000,-84.234814
T3JPM,2019-Oct-03 14:59:09.144000,-75.234814
T3JPM,2019-Oct-03 15:00:17.349000,-59.974199
T3JPM,2019-Oct-03 15:01:27.242000,-60.334199
T3JPM,2019-Oct-03 15:02:34.904000,-42.334199
T3JPM,2019-Oct-03 15:03:36.690000,35.665801
T3JPM,2019-Oct-03 15:04:43.523000,25.165801
T3JPM,2019-Oct-03 15:05:47.760000,56.665801
T3JPM,2019-Oct-03 15:06:52.496000,59.665801
T3JPM,2019-Oct-03 15:07:59.834000,82.552825
T3JPM,2019-Oct-03 15:09:05.375000,82.552825
T3JPM,2019-Oct-03 15:10:20.200000,80.432825
T3JPM,2019-Oct-03 15:11:24.632000,91.432825
T3JPM,2019-Oct-03 15:12:35.938000,90.061497
