Name,Time,Cumulative PnL
T3MSFT,2019-Oct-02 13:30:15.903000,0.000000
T3MSFT,2019-Oct-02 13:31:24.739000,-9.664640
T3MSFT,2019-Oct-02 13:32:34.898000,-22.114189
T3MSFT,2019-Oct-02 13:33:40.852000,-35.754970
T3MSFT,2019-Oct-02 13:34:49.901000,-18.183451
T3MSFT,2019-Oct-02 13:35:53.505000,-65.183451
T3MSFT,2019-Oct-02 13:36:58.123000,-44.271163
T3MSFT,2019-Oct-02 13:38:00.831000,-57.271163
T3MSFT,2019-Oct-02 13:39:07.719000,-68.782910
T3MSFT,2019-Oct-02 13:40:19.828000,-61.902910
T3MSFT,2019-Oct-02 13:41:25.923000,-67.326766
T3MSFT,2019-Oct-02 13:42:36.809000,-67.326766
T3MSFT,2019-Oct-02 13:43:44.146000,-67.326766
T3MSFT,2019-Oct-02 13:44:53.119000,-50.046766
T3MSFT,2019-Oct-02 13:46:05.109000,-106.128987
T3MSFT,2019-Oct-02 13:47:19.868000,-105.248987
T3MSFT,2019-Oct-02 13:48:26.257000,-87.248987
T3MSFT,2019-Oct-02 13:49:36.674000,-94.672955
T3MSFT,2019-Oct-02 13:50:52.800000,-94.672955
T3MSFT,2019-Oct-02 13:52:01.844000,-100.216363
T3MSFT,2019-Oct-02 13:53:20.758000,-103.690674
T3MSFT,2019-Oct-02 13:54:28.761000,-107.613500
T3MSFT,2019-Oct-02 13:55:41.862000,-140.328188
T3MSFT,2019-Oct-02 13:56:45.412000,-140.328188
T3MSFT,2019-Oct-02 13:57:53.112000,-140.328188
T3MSFT,2019-Oct-02 13:59:03.559000,-140.328188
T3MSFT,2019-Oct-02 14:00:04.558000,-140.328188
T3MSFT,2019-Oct-02 14:01:07.709000,-140.328188
T3MSFT,2019-Oct-02 14:02:11.117000,-151.870252
T3MSFT,2019-Oct-02 14:03:22.958000,-150.990252
T3MSFT,2019-Oct-02 14:04:35.971000,-139.490252
T3MSFT,2019-Oct-02 14:05:53.574000,-126.412786
T3MSFT,2019-Oct-02 14:07:02.352000,-120.032786
T3MSFT,2019-Oct-02 14:08:05.489000,-126.955366
T3MSFT,2019-Oct-02 14:09:10.160000,-126.955366
T3MSFT,2019-Oct-02 14:10:17.868000,-126.955366
T3MSFT,2019-Oct-02 14:11:21.682000,-126.955366
T3MSFT,2019-Oct-02 14:12:32.959000,-126.955366
T3MSFT,2019-Oct-02 14:13:37.413000,-118.075366
T3MSFT,2019-Oct-02 14:14:52.714000,-124.497743
T3MSFT,2019-Oct-02 14:15:56.583000,-124.497743
T3MSFT,2019-Oct-02 14:17:03.123000,-124.497743
T3MSFT,2019-Oct-02 14:18:08.857000,-124.497743
T3MSFT,2019-Oct-02 14:19:16.225000,-124.497743
T3MSFT,2019-Oct-02 14:20:19.107000,-124.497743
T3MSFT,2019-Oct-02 14:21:25.575000,-124.497743
T3MSFT,2019-Oct-02 14:22:29.512000,-124.497743
T3MSFT,2019-Oct-02 14:23:34.682000,-124.521743
T3MSFT,2019-Oct-02 14:24:38.307000,-125.525963
T3MSFT,2019-Oct-02 14:25:44.252000,-135.525963
T3MSFT,2019-Oct-02 14:26:49.506000,-142.525963
T3MSFT,2019-Oct-02 14:27:57.986000,-138.525963
T3MSFT,2019-Oct-02 14:29:06.373000,-147.025963
T3MSFT,2019-Oct-02 14:30:12.997000,-150.487672
T3MSFT,2019-Oct-02 14:31:19.153000,-150.487672
T3MSFT,2019-Oct-02 14:32:24.646000,-150.487672
T3MSFT,2019-Oct-02 14:33:32.316000,-150.487672
T3MSFT,2019-Oct-02 14:34:36.378000,-133.607672
T3MSFT,2019-Oct-02 14:35:39.834000,-129.473672
T3MSFT,2019-Oct-02 14:36:43.652000,-131.675233
T3MSFT,2019-Oct-02 14:37:47.492000,-134.215482
T3MSFT,2019-Oct-02 14:38:52.807000,-132.755777
T3MSFT,2019-Oct-02 14:40:01.275000,-132.755777
T3MSFT,2019-Oct-02 14:41:03.457000,-134.296049
T3MSFT,2019-Oct-02 14:42:09.585000,-134.296049
T3MSFT,2019-Oct-02 14:43:12.275000,-126.416049
T3MSFT,2019-Oct-02 14:44:18.328000,-121.416049
T3MSFT,2019-Oct-02 14:45:27.208000,-142.416049
