StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason
T3AAPL,2019-Oct-04 13:30:00.280000,2019-Oct-04 13:30:00.280000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.210000,500,0,500,0,291.210000,0.600000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793268082,,
T3AAPL,2019-Oct-04 13:30:01.483000,2019-Oct-04 13:30:01.483000,REJECTED,REJECT,SPY,SELL,LIMIT,DAY,291.265000,-500,0,0,-500,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793268083,,limit price is not an increment of minimum tick size
T3AAPL,2019-Oct-04 13:30:01.679000,2019-Oct-04 13:30:01.679000,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,291.265000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793268084,,limit price is not an increment of minimum tick size
T3AAPL,2019-Oct-04 13:30:02.972000,2019-Oct-04 13:30:02.972000,REJECTED,REJECT,SPY,SELL,LIMIT,DAY,291.265000,-500,0,0,-500,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793268085,,limit price is not an increment of minimum tick size
T3AAPL,2019-Oct-04 13:30:04.247000,2019-Oct-04 13:30:04.247000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.280000,264,0,264,0,291.280000,0.316800,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793268086,,
T3AAPL,2019-Oct-04 13:30:05.697000,2019-Oct-04 13:30:05.697000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.220000,-764,0,-764,0,291.220000,5.900623,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793268087,,
T3AAPL,2019-Oct-04 13:30:06.327000,2019-Oct-04 13:30:06.327000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.220000,100,0,100,0,291.220000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793268088,,
T3AAPL,2019-Oct-04 13:30:06.969000,2019-Oct-04 13:30:06.969000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.200000,-100,0,-100,0,291.200000,0.772288,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793268089,,
T3AAPL,2019-Oct-04 13:30:10.303000,2019-Oct-04 13:30:10.303000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.200000,60,0,60,0,291.200000,0.072000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793268090,,
T3AAPL,2019-Oct-04 13:30:10.572000,2019-Oct-04 13:30:10.572000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.200000,-60,0,-60,0,291.200000,0.463373,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793268091,,
T3AAPL,2019-Oct-04 13:30:12.900000,2019-Oct-04 13:30:12.900000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.200000,60,0,60,0,291.200000,0.072000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793268092,,
T3AAPL,2019-Oct-04 13:30:13.780000,2019-Oct-04 13:30:13.780000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.200000,-60,0,-60,0,291.200000,0.463373,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793268093,,
T3AAPL,2019-Oct-04 13:30:22.784000,2019-Oct-04 13:30:22.784000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.150000,100,0,100,0,291.150000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793268094,,
