Name,Time,Cumulative PnL
T3AAPL,2019-Oct-04 13:30:17.689000,-21.620456
T3AAPL,2019-Oct-04 13:31:27.958000,46.958451
T3AAPL,2019-Oct-04 13:32:31.769000,74.947609
T3AAPL,2019-Oct-04 13:33:33.670000,71.493238
T3AAPL,2019-Oct-04 13:34:38.549000,72.696154
T3AAPL,2019-Oct-04 13:35:41.751000,79.612147
T3AAPL,2019-Oct-04 13:36:43.837000,100.659977
T3AAPL,2019-Oct-04 13:37:44.756000,88.265808
T3AAPL,2019-Oct-04 13:38:49.158000,83.991840
T3AAPL,2019-Oct-04 13:39:57.594000,73.478185
T3AAPL,2019-Oct-04 13:41:06.679000,63.858185
T3AAPL,2019-Oct-04 13:42:13.141000,68.311325
T3AAPL,2019-Oct-04 13:43:19.646000,72.417872
T3AAPL,2019-Oct-04 13:44:26.700000,82.404173
T3AAPL,2019-Oct-04 13:45:37.688000,77.950272
T3AAPL,2019-Oct-04 13:46:53.195000,91.043411
T3AAPL,2019-Oct-04 13:48:06.918000,90.269376
T3AAPL,2019-Oct-04 13:49:22.426000,79.755654
T3AAPL,2019-Oct-04 13:50:27.648000,30.002134
T3AAPL,2019-Oct-04 13:51:36.664000,-7.997911
T3AAPL,2019-Oct-04 13:52:37.446000,13.628883
T3AAPL,2019-Oct-04 13:53:42.593000,-30.237597
T3AAPL,2019-Oct-04 13:54:46.532000,-30.088797
T3AAPL,2019-Oct-04 13:55:53.886000,-32.030595
T3AAPL,2019-Oct-04 13:57:00.277000,-32.030595
T3AAPL,2019-Oct-04 13:58:06.771000,-21.650595
T3AAPL,2019-Oct-04 13:59:15.115000,-15.164765
T3AAPL,2019-Oct-04 14:00:17.880000,-11.713821
T3AAPL,2019-Oct-04 14:01:19.760000,-11.713821
T3AAPL,2019-Oct-04 14:02:28.277000,-8.333821
T3AAPL,2019-Oct-04 14:03:38.907000,0.390755
T3AAPL,2019-Oct-04 14:04:44.598000,0.389555
T3AAPL,2019-Oct-04 14:05:46.553000,0.349555
T3AAPL,2019-Oct-04 14:06:52.670000,-13.910445
T3AAPL,2019-Oct-04 14:08:02.612000,-16.713216
T3AAPL,2019-Oct-04 14:09:07.877000,-19.529216
T3AAPL,2019-Oct-04 14:10:12.369000,-22.705243
