StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
T3INTC,2019-Oct-01 13:30:00.720000,SPY,5,297.720000,0.006000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267662,,FILL
T3INTC,2019-Oct-01 13:30:01.551000,SPY,-5,297.720000,0.039345,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267663,,FILL
T3INTC,2019-Oct-01 13:30:06.781000,SPY,100,297.730000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267664,,FILL
T3INTC,2019-Oct-01 13:31:22.397000,SPY,-100,297.910000,0.787318,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267665,,FILL
T3INTC,2019-Oct-01 13:34:04.422000,SPY,300,297.900000,0.360000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267666,,FILL
T3INTC,2019-Oct-01 13:34:23.162000,SPY,-300,297.980000,2.362426,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267667,,FILL
T3INTC,2019-Oct-01 13:41:26.684000,SPY,70,298.150000,0.084000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267668,,FILL
T3INTC,2019-Oct-01 13:51:51.103000,SPY,-70,298.320000,0.551766,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267669,,FILL
T3INTC,2019-Oct-01 14:00:30.604000,SPY,500,297.500000,0.600000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267670,,FILL
T3INTC,2019-Oct-01 14:02:29.813000,SPY,-500,297.400000,3.930880,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267671,,FILL
T3INTC,2019-Oct-01 14:04:38.148000,SPY,100,296.990000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267672,,FILL
T3INTC,2019-Oct-01 14:05:34.214000,SPY,-100,296.460000,0.784070,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267673,,FILL
T3INTC,2019-Oct-01 14:16:40.779000,SPY,100,295.800000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267674,,FILL
T3INTC,2019-Oct-01 14:18:08.593000,SPY,-100,295.960000,0.782950,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267675,,FILL
T3INTC,2019-Oct-01 14:39:59.706000,SPY,100,296.290000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267676,,FILL
T3INTC,2019-Oct-01 14:40:48.512000,SPY,-100,296.160000,0.783398,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267677,,FILL
T3INTC,2019-Oct-01 16:17:47.724000,SPY,100,293.970000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267680,,FILL
T3INTC,2019-Oct-01 16:24:47.404000,SPY,-100,294.010000,0.778582,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267681,,FILL
T3INTC,2019-Oct-01 17:33:33.157000,SPY,100,293.320000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267682,,FILL
T3INTC,2019-Oct-01 18:05:42.478000,SPY,-100,293.290000,0.776970,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267683,,FILL
T3INTC,2019-Oct-02 13:31:21.541000,SPY,100,291.240000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267686,,FILL
T3INTC,2019-Oct-02 13:34:31.967000,SPY,-100,290.860000,0.771526,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267687,,FILL
T3INTC,2019-Oct-02 13:43:33.156000,SPY,100,290.030000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267692,,FILL
T3INTC,2019-Oct-02 13:50:17.981000,SPY,-100,289.810000,0.769174,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267693,,FILL
T3INTC,2019-Oct-02 14:05:14.232000,SPY,100,289.540000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267694,,FILL
T3INTC,2019-Oct-02 14:08:50.991000,SPY,-100,289.780000,0.769107,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267695,,FILL
T3INTC,2019-Oct-02 14:38:19.754000,SPY,100,288.610000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267698,,FILL
T3INTC,2019-Oct-02 15:00:40.700000,SPY,100,288.590000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267700,,FILL
T3INTC,2019-Oct-02 15:20:53.244000,SPY,-200,288.470000,1.532346,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267701,,FILL
T3INTC,2019-Oct-02 15:23:31.775000,SPY,100,288.570000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267702,,FILL
T3INTC,2019-Oct-02 15:31:01.291000,SPY,-100,287.900000,0.764896,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267703,,FILL
T3INTC,2019-Oct-02 17:12:18.675000,SPY,100,287.760000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267710,,FILL
T3INTC,2019-Oct-02 19:24:20.600000,SPY,-100,288.690000,0.766666,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267711,,FILL
T3INTC,2019-Oct-02 19:57:56.521000,SPY,100,288.010000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267712,,FILL
T3INTC,2019-Oct-03 13:30:45.636000,SPY,-100,287.620000,0.764269,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267713,,FILL
T3INTC,2019-Oct-03 13:32:09.132000,SPY,80,287.860000,0.096000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267714,,FILL
T3INTC,2019-Oct-03 13:34:40.636000,SPY,-80,288.190000,0.612436,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267715,,FILL
T3INTC,2019-Oct-03 13:44:49.677000,SPY,100,287.990000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267716,,FILL
T3INTC,2019-Oct-03 13:51:11.690000,SPY,-100,288.190000,0.765546,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267717,,FILL
T3INTC,2019-Oct-03 14:00:15.975000,SPY,500,286.790000,0.600000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267718,,FILL
T3INTC,2019-Oct-03 14:00:20.591000,SPY,-500,286.570000,3.809584,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267719,,FILL
T3INTC,2019-Oct-03 14:00:56.920000,SPY,100,286.280000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267720,,FILL
T3INTC,2019-Oct-03 14:01:30.256000,SPY,-100,286.200000,0.761088,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267721,,FILL
T3INTC,2019-Oct-03 14:04:32.394000,SPY,100,285.700000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267722,,FILL
T3INTC,2019-Oct-03 14:05:32.537000,SPY,-100,285.500000,0.759520,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267723,,FILL
T3INTC,2019-Oct-03 14:08:41.363000,SPY,200,284.890000,0.240000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267724,,FILL
T3INTC,2019-Oct-03 14:13:00.430000,SPY,-200,284.950000,1.516576,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267725,,FILL
T3INTC,2019-Oct-03 14:15:08.730000,SPY,100,285.530000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267726,,FILL
T3INTC,2019-Oct-03 14:15:55.674000,SPY,-100,285.490000,0.759498,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267727,,FILL
T3INTC,2019-Oct-03 14:17:48.203000,SPY,200,285.500000,0.240000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267728,,FILL
T3INTC,2019-Oct-03 14:28:01.501000,SPY,-200,287.270000,1.526970,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267729,,FILL
T3INTC,2019-Oct-03 14:31:21.982000,SPY,100,287.150000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267730,,FILL
T3INTC,2019-Oct-03 14:37:34.485000,SPY,-100,287.350000,0.763664,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267731,,FILL
T3INTC,2019-Oct-03 14:46:09.139000,SPY,1,287.360000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267732,,FILL
T3INTC,2019-Oct-03 14:47:05.569000,SPY,-1,287.050000,0.007630,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267733,,FILL
T3INTC,2019-Oct-03 15:11:24.659000,SPY,300,288.950000,0.360000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267736,,FILL
T3INTC,2019-Oct-03 19:18:08.812000,SPY,-300,289.430000,2.304970,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267737,,FILL
T3INTC,2019-Oct-03 19:55:31.335000,SPY,100,289.950000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267738,,FILL
T3INTC,2019-Oct-04 13:32:16.689000,SPY,-100,291.870000,0.773789,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793267739,,FILL
