StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason
T3INTC,2019-Oct-01 13:30:00.720000,2019-Oct-01 13:30:00.720000,FILLED,FILL,SPY,BUY,LIMIT,DAY,297.720000,5,0,5,0,297.720000,0.006000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793267662,,
T3INTC,2019-Oct-01 13:30:01.551000,2019-Oct-01 13:30:01.551000,FILLED,FILL,SPY,SELL,LIMIT,DAY,297.720000,-5,0,-5,0,297.720000,0.039345,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793267663,,
T3INTC,2019-Oct-01 13:30:06.781000,2019-Oct-01 13:30:06.781000,FILLED,FILL,SPY,BUY,LIMIT,DAY,297.730000,100,0,100,0,297.730000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793267664,,
T3INTC,2019-Oct-01 13:31:22.397000,2019-Oct-01 13:31:22.397000,FILLED,FILL,SPY,SELL,LIMIT,DAY,297.910000,-100,0,-100,0,297.910000,0.787318,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793267665,,
T3INTC,2019-Oct-01 13:34:04.422000,2019-Oct-01 13:34:04.422000,FILLED,FILL,SPY,BUY,LIMIT,DAY,297.900000,300,0,300,0,297.900000,0.360000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793267666,,
T3INTC,2019-Oct-01 13:34:23.162000,2019-Oct-01 13:34:23.162000,FILLED,FILL,SPY,SELL,LIMIT,DAY,297.980000,-300,0,-300,0,297.980000,2.362426,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793267667,,
T3INTC,2019-Oct-01 13:41:26.684000,2019-Oct-01 13:41:26.684000,FILLED,FILL,SPY,BUY,LIMIT,DAY,298.150000,70,0,70,0,298.150000,0.084000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793267668,,
T3INTC,2019-Oct-01 13:51:51.103000,2019-Oct-01 13:51:51.103000,FILLED,FILL,SPY,SELL,LIMIT,DAY,298.320000,-70,0,-70,0,298.320000,0.551766,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793267669,,
T3INTC,2019-Oct-01 14:00:30.604000,2019-Oct-01 14:00:30.604000,FILLED,FILL,SPY,BUY,LIMIT,DAY,297.500000,500,0,500,0,297.500000,0.600000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793267670,,
T3INTC,2019-Oct-01 14:02:29.813000,2019-Oct-01 14:02:29.813000,FILLED,FILL,SPY,SELL,LIMIT,DAY,297.400000,-500,0,-500,0,297.400000,3.930880,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793267671,,
