Name,Time,Cumulative PnL
T3INTC,2019-Oct-01 13:30:06.781000,-0.045345
T3INTC,2019-Oct-01 13:31:10.918000,20.834655
T3INTC,2019-Oct-01 13:32:20.880000,17.047337
T3INTC,2019-Oct-01 13:33:37.179000,17.047337
T3INTC,2019-Oct-01 13:34:56.430000,38.324911
T3INTC,2019-Oct-01 13:36:00.956000,38.324911
T3INTC,2019-Oct-01 13:37:18.817000,38.324911
T3INTC,2019-Oct-01 13:38:25.289000,38.324911
T3INTC,2019-Oct-01 13:39:40.155000,38.324911
T3INTC,2019-Oct-01 13:40:44.865000,38.324911
T3INTC,2019-Oct-01 13:41:56.761000,35.790911
T3INTC,2019-Oct-01 13:43:05.222000,41.740911
T3INTC,2019-Oct-01 13:44:07.545000,41.040911
T3INTC,2019-Oct-01 13:45:14.740000,43.840911
T3INTC,2019-Oct-01 13:46:23.706000,55.040911
T3INTC,2019-Oct-01 13:47:43.333000,52.240911
T3INTC,2019-Oct-01 13:48:59.545000,55.740911
T3INTC,2019-Oct-01 13:50:16.465000,53.990911
T3INTC,2019-Oct-01 13:51:30.632000,45.240911
T3INTC,2019-Oct-01 13:52:32.779000,49.589146
T3INTC,2019-Oct-01 13:53:40.381000,49.589146
T3INTC,2019-Oct-01 13:54:45.673000,49.589146
T3INTC,2019-Oct-01 13:56:00.533000,49.589146
T3INTC,2019-Oct-01 13:57:24.184000,49.589146
T3INTC,2019-Oct-01 13:58:39.299000,49.589146
T3INTC,2019-Oct-01 13:59:45.103000,49.589146
T3INTC,2019-Oct-01 14:00:47.189000,-1.010854
T3INTC,2019-Oct-01 14:01:50.617000,111.489146
T3INTC,2019-Oct-01 14:02:56.229000,-4.941734
T3INTC,2019-Oct-01 14:04:01.682000,-4.941734
T3INTC,2019-Oct-01 14:05:12.418000,-19.061734
T3INTC,2019-Oct-01 14:06:18.356000,-58.845805
T3INTC,2019-Oct-01 14:07:25.963000,-58.845805
T3INTC,2019-Oct-01 14:08:36.784000,-58.845805
T3INTC,2019-Oct-01 14:09:46.707000,-58.845805
T3INTC,2019-Oct-01 14:10:56.134000,-58.845805
T3INTC,2019-Oct-01 14:12:08.472000,-58.845805
T3INTC,2019-Oct-01 14:13:16.445000,-58.845805
T3INTC,2019-Oct-01 14:14:29.369000,-58.845805
T3INTC,2019-Oct-01 14:15:44.964000,-58.845805
T3INTC,2019-Oct-01 14:16:59.698000,-44.965805
T3INTC,2019-Oct-01 14:18:06.959000,-36.965805
T3INTC,2019-Oct-01 14:19:13.544000,-43.748755
T3INTC,2019-Oct-01 14:20:20.308000,-43.748755
T3INTC,2019-Oct-01 14:21:22.852000,-43.748755
T3INTC,2019-Oct-01 14:22:34.522000,-43.748755
T3INTC,2019-Oct-01 14:23:41.115000,-43.748755
T3INTC,2019-Oct-01 14:24:41.959000,-43.748755
T3INTC,2019-Oct-01 14:25:47.179000,-43.748755
T3INTC,2019-Oct-01 14:26:50.642000,-43.748755
T3INTC,2019-Oct-01 14:27:53.235000,-43.748755
T3INTC,2019-Oct-01 14:28:58.914000,-43.748755
T3INTC,2019-Oct-01 14:30:08.476000,-43.748755
T3INTC,2019-Oct-01 14:31:11.666000,-43.748755
T3INTC,2019-Oct-01 14:32:19.691000,-43.748755
T3INTC,2019-Oct-01 14:33:29.828000,-43.748755
T3INTC,2019-Oct-01 14:34:36.662000,-43.748755
T3INTC,2019-Oct-01 14:35:37.123000,-43.748755
T3INTC,2019-Oct-01 14:36:41.467000,-43.748755
T3INTC,2019-Oct-01 14:37:46.520000,-43.748755
T3INTC,2019-Oct-01 14:38:51.238000,-43.748755
T3INTC,2019-Oct-01 14:39:59.706000,-43.748755
T3INTC,2019-Oct-01 14:41:06.285000,-57.652154
T3INTC,2019-Oct-01 14:42:19.512000,-57.652154
T3INTC,2019-Oct-01 14:43:32.977000,-57.652154
T3INTC,2019-Oct-01 14:44:40.827000,-57.652154
T3INTC,2019-Oct-01 14:45:49.237000,-57.652154
T3INTC,2019-Oct-01 14:47:04.919000,-57.652154
T3INTC,2019-Oct-01 14:48:24.898000,-57.652154
T3INTC,2019-Oct-01 14:49:31.214000,-57.652154
T3INTC,2019-Oct-01 14:50:38.605000,-57.652154
T3INTC,2019-Oct-01 14:51:53.715000,-57.652154
T3INTC,2019-Oct-01 14:52:55.606000,-57.652154
T3INTC,2019-Oct-01 14:53:58.967000,-57.652154
T3INTC,2019-Oct-01 14:55:00.209000,-57.652154
T3INTC,2019-Oct-01 14:56:14.680000,-57.652154
T3INTC,2019-Oct-01 14:57:20.111000,-57.652154
T3INTC,2019-Oct-01 14:58:21.984000,-57.652154
T3INTC,2019-Oct-01 14:59:29.843000,-57.652154
T3INTC,2019-Oct-01 15:00:40.826000,-57.652154
T3INTC,2019-Oct-01 15:01:41.448000,-57.652154
T3INTC,2019-Oct-01 15:02:43.722000,-57.652154
T3INTC,2019-Oct-01 15:03:54.242000,-57.652154
T3INTC,2019-Oct-01 15:05:00.212000,-57.652154
T3INTC,2019-Oct-01 15:06:16.136000,-57.652154
T3INTC,2019-Oct-01 15:07:22.544000,-57.652154
T3INTC,2019-Oct-01 15:08:24.283000,-57.652154
T3INTC,2019-Oct-01 15:09:27.489000,-57.652154
T3INTC,2019-Oct-01 15:10:32.339000,-57.652154
T3INTC,2019-Oct-01 15:11:40.744000,-57.652154
T3INTC,2019-Oct-01 15:12:45.500000,-57.652154
T3INTC,2019-Oct-01 15:13:53.814000,-57.652154
T3INTC,2019-Oct-01 15:15:04.258000,-57.652154
T3INTC,2019-Oct-01 15:16:19.300000,-57.652154
T3INTC,2019-Oct-01 15:17:31.115000,-57.652154
T3INTC,2019-Oct-01 15:18:36.895000,-57.652154
T3INTC,2019-Oct-01 15:19:49.802000,-57.652154
T3INTC,2019-Oct-01 15:20:54.428000,-57.652154
T3INTC,2019-Oct-01 15:22:00.781000,-57.652154
T3INTC,2019-Oct-01 15:23:11.475000,-57.652154
T3INTC,2019-Oct-01 15:24:20.770000,-57.652154
T3INTC,2019-Oct-01 15:25:39.508000,-57.652154
T3INTC,2019-Oct-01 15:26:39.704000,-57.652154
T3INTC,2019-Oct-01 15:27:43.418000,-57.652154
T3INTC,2019-Oct-01 15:29:05.707000,-57.652154
T3INTC,2019-Oct-01 15:30:21.973000,-57.652154
T3INTC,2019-Oct-01 15:31:40.449000,-57.652154
T3INTC,2019-Oct-01 15:32:54.401000,-57.652154
T3INTC,2019-Oct-01 15:34:05.269000,-57.652154
T3INTC,2019-Oct-01 15:35:22.736000,-57.652154
T3INTC,2019-Oct-01 15:36:35.266000,-57.652154
T3INTC,2019-Oct-01 15:37:51.821000,-57.652154
T3INTC,2019-Oct-01 15:39:01.805000,-57.652154
T3INTC,2019-Oct-01 15:40:20.493000,-57.652154
T3INTC,2019-Oct-01 15:41:32.942000,-57.652154
T3INTC,2019-Oct-01 15:42:48.763000,-57.652154
T3INTC,2019-Oct-01 15:43:57.930000,-57.652154
T3INTC,2019-Oct-01 15:45:16.586000,-57.652154
T3INTC,2019-Oct-01 15:46:35.898000,-57.652154
T3INTC,2019-Oct-01 15:47:51.950000,-57.652154
T3INTC,2019-Oct-01 15:48:59.270000,-57.652154
T3INTC,2019-Oct-01 15:50:18.951000,-57.652154
T3INTC,2019-Oct-01 15:51:28.946000,-57.652154
T3INTC,2019-Oct-01 15:52:37.470000,-57.652154
T3INTC,2019-Oct-01 15:53:47.913000,-57.652154
T3INTC,2019-Oct-01 15:55:01.865000,-57.652154
T3INTC,2019-Oct-01 15:56:17.331000,-57.652154
T3INTC,2019-Oct-01 15:57:25.380000,-57.652154
T3INTC,2019-Oct-01 15:58:28.985000,-57.652154
T3INTC,2019-Oct-01 15:59:37.522000,-57.652154
T3INTC,2019-Oct-01 16:01:02.442000,-57.652154
T3INTC,2019-Oct-01 16:02:11.805000,-57.652154
T3INTC,2019-Oct-01 16:03:14.893000,-57.652154
T3INTC,2019-Oct-01 16:04:27.325000,-57.652154
T3INTC,2019-Oct-01 16:05:40.341000,-57.652154
T3INTC,2019-Oct-01 16:07:00.634000,-57.652154
T3INTC,2019-Oct-01 16:08:10.324000,-57.652154
T3INTC,2019-Oct-01 16:09:20.556000,-57.652154
T3INTC,2019-Oct-01 16:10:22.737000,-57.652154
T3INTC,2019-Oct-01 16:11:38.287000,-57.652154
T3INTC,2019-Oct-01 16:12:42.963000,-57.652154
