Name,Time,Cumulative PnL
T3JPM,2019-Oct-04 13:30:17.689000,-0.072000
T3JPM,2019-Oct-04 13:31:30.750000,69.784627
T3JPM,2019-Oct-04 13:32:44.913000,106.123776
T3JPM,2019-Oct-04 13:33:55.823000,106.123776
T3JPM,2019-Oct-04 13:35:06.158000,116.003776
T3JPM,2019-Oct-04 13:36:12.872000,113.336557
T3JPM,2019-Oct-04 13:37:19.938000,113.336557
T3JPM,2019-Oct-04 13:38:23.166000,113.336557
T3JPM,2019-Oct-04 13:39:32.345000,113.336557
T3JPM,2019-Oct-04 13:40:42.234000,113.336557
T3JPM,2019-Oct-04 13:41:57.326000,109.716557
T3JPM,2019-Oct-04 13:43:15.252000,109.216557
T3JPM,2019-Oct-04 13:44:20.828000,117.216557
T3JPM,2019-Oct-04 13:46:11.776000,113.216557
T3JPM,2019-Oct-04 13:47:31.313000,108.322858
T3JPM,2019-Oct-04 13:48:42.369000,100.549382
T3JPM,2019-Oct-04 13:49:54.858000,100.549382
T3JPM,2019-Oct-04 13:50:56.153000,80.929382
T3JPM,2019-Oct-04 13:52:06.240000,76.656042
T3JPM,2019-Oct-04 13:53:16.303000,76.656042
T3JPM,2019-Oct-04 13:54:19.698000,270.864042
T3JPM,2019-Oct-04 13:55:30.992000,136.989042
T3JPM,2019-Oct-04 13:56:37.687000,181.614042
T3JPM,2019-Oct-04 13:57:50.505000,101.289042
T3JPM,2019-Oct-04 13:58:57.220000,672.489042
T3JPM,2019-Oct-04 14:00:04.116000,685.438317
T3JPM,2019-Oct-04 14:01:17.196000,689.318317
T3JPM,2019-Oct-04 14:02:18.289000,695.318317
T3JPM,2019-Oct-04 14:03:22.845000,710.318317
T3JPM,2019-Oct-04 14:04:34.220000,708.318317
T3JPM,2019-Oct-04 14:05:43.964000,703.318317
T3JPM,2019-Oct-04 14:06:47.142000,690.818317
T3JPM,2019-Oct-04 14:07:57.770000,681.543386
T3JPM,2019-Oct-04 14:09:07.877000,681.543386
T3JPM,2019-Oct-04 14:10:12.369000,681.543386
T3JPM,2019-Oct-04 14:11:25.352000,681.543386
T3JPM,2019-Oct-04 14:12:31.559000,681.543386
T3JPM,2019-Oct-04 14:13:47.408000,681.543386
T3JPM,2019-Oct-04 14:14:55.868000,681.543386
T3JPM,2019-Oct-04 14:16:00.886000,681.543386
T3JPM,2019-Oct-04 14:17:05.610000,681.543386
T3JPM,2019-Oct-04 14:18:15.221000,681.543386
T3JPM,2019-Oct-04 14:19:15.654000,681.543386
T3JPM,2019-Oct-04 14:20:24.746000,675.923386
T3JPM,2019-Oct-04 14:21:39.621000,678.923386
T3JPM,2019-Oct-04 14:22:49.262000,684.423386
T3JPM,2019-Oct-04 14:23:57.504000,682.423386
T3JPM,2019-Oct-04 14:25:06.302000,686.923386
T3JPM,2019-Oct-04 14:26:17.119000,691.923386
T3JPM,2019-Oct-04 14:27:23.198000,686.423386
T3JPM,2019-Oct-04 14:28:30.834000,664.423386
T3JPM,2019-Oct-04 14:29:40.294000,647.923386
T3JPM,2019-Oct-04 14:30:50.390000,648.423386
T3JPM,2019-Oct-04 14:31:59.630000,637.423386
T3JPM,2019-Oct-04 14:33:01.769000,639.423386
T3JPM,2019-Oct-04 14:34:13.404000,631.423386
T3JPM,2019-Oct-04 14:35:19.612000,634.423386
T3JPM,2019-Oct-04 14:36:37.826000,623.423386
T3JPM,2019-Oct-04 14:37:49.254000,644.303386
T3JPM,2019-Oct-04 14:38:57.912000,615.303386
T3JPM,2019-Oct-04 14:40:05.317000,615.756346
T3JPM,2019-Oct-04 14:41:06.481000,615.756346
T3JPM,2019-Oct-04 14:42:16.975000,615.756346
T3JPM,2019-Oct-04 14:43:32.680000,615.756346
T3JPM,2019-Oct-04 14:44:36.737000,606.636346
T3JPM,2019-Oct-04 14:45:43.270000,611.636346
T3JPM,2019-Oct-04 14:46:51.824000,594.136346
T3JPM,2019-Oct-04 14:47:52.374000,584.636346
T3JPM,2019-Oct-04 14:49:02.578000,599.136346
T3JPM,2019-Oct-04 14:50:16.938000,610.136346
T3JPM,2019-Oct-04 14:51:25.277000,621.636346
T3JPM,2019-Oct-04 14:52:45.261000,617.636346
T3JPM,2019-Oct-04 14:53:57.292000,640.136346
T3JPM,2019-Oct-04 14:55:07.967000,640.636346
T3JPM,2019-Oct-04 14:56:23.871000,643.136346
T3JPM,2019-Oct-04 14:57:28.614000,629.636346
T3JPM,2019-Oct-04 14:58:44.334000,639.136346
T3JPM,2019-Oct-04 14:59:56.990000,621.636346
T3JPM,2019-Oct-04 15:01:01.953000,663.516346
T3JPM,2019-Oct-04 15:02:25.735000,622.516346
T3JPM,2019-Oct-04 15:03:48.636000,604.516346
T3JPM,2019-Oct-04 15:05:03.471000,630.516346
T3JPM,2019-Oct-04 15:06:20.895000,634.967962
T3JPM,2019-Oct-04 15:07:31.910000,621.867962
T3JPM,2019-Oct-04 15:08:42.508000,619.367962
T3JPM,2019-Oct-04 15:09:47.214000,609.367962
T3JPM,2019-Oct-04 15:10:55.884000,581.867962
T3JPM,2019-Oct-04 15:12:20.407000,591.867962
