StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
T3MSFT,2019-Oct-04 13:30:35.665000,SPY,100,291.240000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273021,,FILL
T3MSFT,2019-Oct-04 13:31:13.695000,SPY,-100,291.570000,0.773117,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273022,,FILL
T3MSFT,2019-Oct-04 13:31:16.974000,SPY,500,291.670000,0.600000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273023,,FILL
T3MSFT,2019-Oct-04 13:31:25.900000,SPY,-500,291.670000,3.866704,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273024,,FILL
T3MSFT,2019-Oct-04 13:31:30.913000,SPY,500,291.670000,0.600000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273025,,FILL
T3MSFT,2019-Oct-04 13:31:39.399000,SPY,-500,291.860000,3.868832,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273026,,FILL
T3MSFT,2019-Oct-04 13:31:43.902000,SPY,300,291.800000,0.360000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273027,,FILL
T3MSFT,2019-Oct-04 13:31:59.559000,SPY,-300,291.920000,2.321702,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273028,,FILL
T3MSFT,2019-Oct-04 13:32:00.707000,SPY,100,291.920000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273029,,FILL
T3MSFT,2019-Oct-04 13:32:02.424000,SPY,-100,291.920000,0.773901,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273030,,FILL
T3MSFT,2019-Oct-04 13:32:23.517000,SPY,100,291.900000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273031,,FILL
T3MSFT,2019-Oct-04 13:32:50.823000,SPY,-100,291.790000,0.773610,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273032,,FILL
T3MSFT,2019-Oct-04 13:33:09.636000,SPY,100,291.810000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273033,,FILL
T3MSFT,2019-Oct-04 13:33:29.134000,SPY,-100,291.730000,0.773475,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273034,,FILL
T3MSFT,2019-Oct-04 13:34:09.904000,SPY,17,291.690000,0.020400,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273035,,FILL
T3MSFT,2019-Oct-04 13:34:34.330000,SPY,-17,291.580000,0.131434,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273036,,FILL
T3MSFT,2019-Oct-04 13:34:40.799000,SPY,100,291.660000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273037,,FILL
T3MSFT,2019-Oct-04 13:35:04.184000,SPY,85,291.760000,0.102000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273039,,FILL
T3MSFT,2019-Oct-04 13:35:06.130000,SPY,-185,291.760000,1.431053,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273040,,FILL
T3MSFT,2019-Oct-04 13:35:14.634000,SPY,100,291.800000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273041,,FILL
T3MSFT,2019-Oct-04 13:37:29.682000,SPY,-100,291.980000,0.774035,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273042,,FILL
T3MSFT,2019-Oct-04 13:37:50.999000,SPY,100,291.840000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273043,,FILL
T3MSFT,2019-Oct-04 13:38:16.444000,SPY,100,291.830000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273045,,FILL
T3MSFT,2019-Oct-04 13:39:25.722000,SPY,-200,291.810000,1.547309,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273046,,FILL
T3MSFT,2019-Oct-04 13:40:49.988000,SPY,100,291.680000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273047,,FILL
T3MSFT,2019-Oct-04 13:41:16.475000,SPY,-100,291.680000,0.773363,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273048,,FILL
T3MSFT,2019-Oct-04 13:41:19.269000,SPY,100,291.680000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793273049,,FILL
