StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason
T3MSFT,2019-Oct-04 13:30:03.175000,2019-Oct-04 13:30:03.175000,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,291.265000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273019,,limit price is not an increment of minimum tick size
T3MSFT,2019-Oct-04 13:30:03.401000,2019-Oct-04 13:30:03.401000,REJECTED,REJECT,SPY,SELL,LIMIT,DAY,291.280000,0,0,0,0,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273020,,quantity must be positive
T3MSFT,2019-Oct-04 13:30:35.665000,2019-Oct-04 13:30:35.665000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.240000,100,0,100,0,291.240000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273021,,
T3MSFT,2019-Oct-04 13:31:13.695000,2019-Oct-04 13:31:13.695000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.570000,-100,0,-100,0,291.570000,0.773117,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273022,,
T3MSFT,2019-Oct-04 13:31:16.974000,2019-Oct-04 13:31:16.974000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.670000,500,0,500,0,291.670000,0.600000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273023,,
T3MSFT,2019-Oct-04 13:31:25.900000,2019-Oct-04 13:31:25.900000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.670000,-500,0,-500,0,291.670000,3.866704,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273024,,
T3MSFT,2019-Oct-04 13:31:30.913000,2019-Oct-04 13:31:30.913000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.670000,500,0,500,0,291.670000,0.600000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273025,,
T3MSFT,2019-Oct-04 13:31:39.399000,2019-Oct-04 13:31:39.399000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.860000,-500,0,-500,0,291.860000,3.868832,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273026,,
T3MSFT,2019-Oct-04 13:31:43.902000,2019-Oct-04 13:31:43.902000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.800000,300,0,300,0,291.800000,0.360000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273027,,
T3MSFT,2019-Oct-04 13:31:59.559000,2019-Oct-04 13:31:59.559000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.920000,-300,0,-300,0,291.920000,2.321702,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273028,,
T3MSFT,2019-Oct-04 13:32:00.707000,2019-Oct-04 13:32:00.707000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.920000,100,0,100,0,291.920000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273029,,
T3MSFT,2019-Oct-04 13:32:02.424000,2019-Oct-04 13:32:02.424000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.920000,-100,0,-100,0,291.920000,0.773901,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273030,,
T3MSFT,2019-Oct-04 13:32:23.517000,2019-Oct-04 13:32:23.517000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.900000,100,0,100,0,291.900000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273031,,
T3MSFT,2019-Oct-04 13:32:50.823000,2019-Oct-04 13:32:50.823000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.790000,-100,0,-100,0,291.790000,0.773610,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273032,,
T3MSFT,2019-Oct-04 13:33:09.636000,2019-Oct-04 13:33:09.636000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.810000,100,0,100,0,291.810000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273033,,
T3MSFT,2019-Oct-04 13:33:29.134000,2019-Oct-04 13:33:29.134000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.730000,-100,0,-100,0,291.730000,0.773475,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273034,,
T3MSFT,2019-Oct-04 13:34:09.904000,2019-Oct-04 13:34:09.904000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.690000,17,0,17,0,291.690000,0.020400,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273035,,
T3MSFT,2019-Oct-04 13:34:34.330000,2019-Oct-04 13:34:34.330000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.580000,-17,0,-17,0,291.580000,0.131434,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273036,,
T3MSFT,2019-Oct-04 13:34:40.799000,2019-Oct-04 13:34:40.799000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.660000,100,0,100,0,291.660000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273037,,
T3MSFT,2019-Oct-04 13:35:00.276000,2019-Oct-04 13:35:00.276000,REJECTED,REJECT,SPY,SELL,LIMIT,DAY,291.735000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273038,,limit price is not an increment of minimum tick size
T3MSFT,2019-Oct-04 13:35:04.184000,2019-Oct-04 13:35:04.184000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.760000,85,0,85,0,291.760000,0.102000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273039,,
T3MSFT,2019-Oct-04 13:35:06.130000,2019-Oct-04 13:35:06.130000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.760000,-185,0,-185,0,291.760000,1.431053,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273040,,
T3MSFT,2019-Oct-04 13:35:14.634000,2019-Oct-04 13:35:14.634000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.800000,100,0,100,0,291.800000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273041,,
T3MSFT,2019-Oct-04 13:37:29.682000,2019-Oct-04 13:37:29.682000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.980000,-100,0,-100,0,291.980000,0.774035,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273042,,
T3MSFT,2019-Oct-04 13:37:50.999000,2019-Oct-04 13:37:50.999000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.840000,100,0,100,0,291.840000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273043,,
T3MSFT,2019-Oct-04 13:38:04.583000,2019-Oct-04 13:38:04.583000,REJECTED,REJECT,SPY,SELL,LIMIT,DAY,291.775000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273044,,limit price is not an increment of minimum tick size
T3MSFT,2019-Oct-04 13:38:16.444000,2019-Oct-04 13:38:16.444000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.830000,100,0,100,0,291.830000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273045,,
T3MSFT,2019-Oct-04 13:39:25.722000,2019-Oct-04 13:39:25.722000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.810000,-200,0,-200,0,291.810000,1.547309,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273046,,
T3MSFT,2019-Oct-04 13:40:49.988000,2019-Oct-04 13:40:49.988000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.680000,100,0,100,0,291.680000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273047,,
T3MSFT,2019-Oct-04 13:41:16.475000,2019-Oct-04 13:41:16.475000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.680000,-100,0,-100,0,291.680000,0.773363,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273048,,
T3MSFT,2019-Oct-04 13:41:19.269000,2019-Oct-04 13:41:19.269000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.680000,100,0,100,0,291.680000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273049,,
T3MSFT,2019-Oct-04 13:42:50.210000,2019-Oct-04 13:42:50.210000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.670000,-100,0,-100,0,291.670000,0.773341,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793273050,,
