Name,Time,Cumulative PnL
T3MSFT,2019-Oct-04 13:30:17.689000,0.000000
T3MSFT,2019-Oct-04 13:31:24.222000,31.506883
T3MSFT,2019-Oct-04 13:32:32.947000,150.475744
T3MSFT,2019-Oct-04 13:33:38.689000,129.808659
T3MSFT,2019-Oct-04 13:34:43.418000,127.666826
T3MSFT,2019-Oct-04 13:35:47.387000,142.013772
T3MSFT,2019-Oct-04 13:36:55.242000,160.013772
T3MSFT,2019-Oct-04 13:38:04.200000,155.119737
T3MSFT,2019-Oct-04 13:39:14.535000,159.999737
T3MSFT,2019-Oct-04 13:40:20.109000,146.452428
T3MSFT,2019-Oct-04 13:41:29.800000,145.439065
T3MSFT,2019-Oct-04 13:42:37.121000,156.939065
T3MSFT,2019-Oct-04 13:43:50.381000,154.545724
T3MSFT,2019-Oct-04 13:44:55.604000,142.545724
T3MSFT,2019-Oct-04 13:46:02.990000,142.425724
T3MSFT,2019-Oct-04 13:47:16.734000,156.984470
T3MSFT,2019-Oct-04 13:48:22.563000,163.864470
T3MSFT,2019-Oct-04 13:49:35.219000,144.744470
T3MSFT,2019-Oct-04 13:50:40.163000,158.027072
T3MSFT,2019-Oct-04 13:51:49.823000,158.027072
T3MSFT,2019-Oct-04 13:52:58.908000,179.547072
T3MSFT,2019-Oct-04 13:54:02.623000,227.547072
T3MSFT,2019-Oct-04 13:55:12.112000,286.450752
T3MSFT,2019-Oct-04 13:56:20.245000,291.330752
T3MSFT,2019-Oct-04 13:57:24.302000,281.556874
T3MSFT,2019-Oct-04 13:58:28.484000,270.216874
T3MSFT,2019-Oct-04 13:59:31.453000,357.716874
T3MSFT,2019-Oct-04 14:00:35.783000,508.596874
T3MSFT,2019-Oct-04 14:01:39.950000,520.596874
T3MSFT,2019-Oct-04 14:02:46.551000,620.596874
T3MSFT,2019-Oct-04 14:03:58.754000,646.393482
T3MSFT,2019-Oct-04 14:05:05.471000,646.393482
T3MSFT,2019-Oct-04 14:06:12.515000,646.393482
T3MSFT,2019-Oct-04 14:07:18.392000,646.393482
T3MSFT,2019-Oct-04 14:08:18.580000,646.393482
T3MSFT,2019-Oct-04 14:09:23.472000,646.393482
T3MSFT,2019-Oct-04 14:10:30.968000,646.394537
T3MSFT,2019-Oct-04 14:11:45.649000,646.394537
T3MSFT,2019-Oct-04 14:12:49.916000,646.394537
T3MSFT,2019-Oct-04 14:13:59.369000,646.394537
T3MSFT,2019-Oct-04 14:15:07.346000,646.394537
T3MSFT,2019-Oct-04 14:16:15.901000,646.394537
T3MSFT,2019-Oct-04 14:17:27.783000,646.394537
T3MSFT,2019-Oct-04 14:18:31.632000,646.394537
T3MSFT,2019-Oct-04 14:19:34.600000,646.394537
T3MSFT,2019-Oct-04 14:20:41.574000,649.274537
T3MSFT,2019-Oct-04 14:21:50.730000,638.274537
T3MSFT,2019-Oct-04 14:23:00.356000,649.499628
T3MSFT,2019-Oct-04 14:24:04.581000,649.499628
T3MSFT,2019-Oct-04 14:25:08.143000,649.499628
T3MSFT,2019-Oct-04 14:26:14.193000,649.499628
T3MSFT,2019-Oct-04 14:27:23.198000,649.499628
T3MSFT,2019-Oct-04 14:28:31.378000,649.499628
T3MSFT,2019-Oct-04 14:29:35.680000,649.499628
T3MSFT,2019-Oct-04 14:30:48.159000,649.499628
T3MSFT,2019-Oct-04 14:31:57.240000,649.499628
T3MSFT,2019-Oct-04 14:33:00.930000,649.499628
T3MSFT,2019-Oct-04 14:34:13.404000,649.499628
T3MSFT,2019-Oct-04 14:35:19.612000,649.499628
T3MSFT,2019-Oct-04 14:36:29.685000,649.499628
T3MSFT,2019-Oct-04 14:37:37.110000,649.499628
T3MSFT,2019-Oct-04 14:38:53.791000,649.499628
