StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
T3AAPL,2019-Oct-04 13:30:00.486000,AAPL,20,225.590000,0.024000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258971,,FILL
T3AAPL,2019-Oct-04 13:30:33.697000,AAPL,100,225.240000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258973,,FILL
T3AAPL,2019-Oct-04 13:32:07.856000,AAPL,-120,225.140000,0.749176,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258974,,FILL
T3AAPL,2019-Oct-04 13:32:15.578000,AAPL,100,225.030000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258975,,FILL
T3AAPL,2019-Oct-04 13:32:40.316000,AAPL,-100,224.850000,0.623664,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258976,,FILL
T3AAPL,2019-Oct-04 13:33:48.533000,AAPL,100,224.310000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258977,,FILL
T3AAPL,2019-Oct-04 13:34:23.168000,AAPL,-100,224.590000,0.623082,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258978,,FILL
T3AAPL,2019-Oct-04 13:34:39.119000,AAPL,100,224.470000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258979,,FILL
T3AAPL,2019-Oct-04 13:37:29.520000,AAPL,-100,224.770000,0.623485,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258980,,FILL
T3AAPL,2019-Oct-04 13:38:14.890000,AAPL,7,225.090000,0.008400,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258981,,FILL
T3AAPL,2019-Oct-04 13:40:35.266000,AAPL,-7,225.320000,0.043730,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258984,,FILL
T3AAPL,2019-Oct-04 13:42:19.241000,AAPL,100,225.380000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258985,,FILL
T3AAPL,2019-Oct-04 13:42:44.745000,AAPL,-100,225.360000,0.624806,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258986,,FILL
T3AAPL,2019-Oct-04 13:43:15.252000,AAPL,40,225.250000,0.048000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258987,,FILL
T3AAPL,2019-Oct-04 13:46:17.487000,AAPL,100,224.530000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258989,,FILL
T3AAPL,2019-Oct-04 13:47:00.450000,AAPL,-140,224.750000,0.872816,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258990,,FILL
T3AAPL,2019-Oct-04 13:48:00.348000,AAPL,100,224.540000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258991,,FILL
T3AAPL,2019-Oct-04 13:48:22.563000,AAPL,-100,224.620000,0.623149,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258992,,FILL
T3AAPL,2019-Oct-04 13:48:42.369000,AAPL,100,224.520000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258993,,FILL
T3AAPL,2019-Oct-04 13:49:04.174000,AAPL,23,224.500000,0.027600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258995,,FILL
T3AAPL,2019-Oct-04 13:49:54.858000,AAPL,68,224.320000,0.081600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793258999,,FILL
T3AAPL,2019-Oct-04 13:50:06.744000,AAPL,-191,224.540000,1.189872,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793259000,,FILL
T3AAPL,2019-Oct-04 13:50:23.397000,AAPL,37,224.070000,0.044400,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793259001,,FILL
T3AAPL,2019-Oct-04 13:50:24.881000,AAPL,-37,224.070000,0.230109,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793259002,,FILL
T3AAPL,2019-Oct-04 13:51:16.337000,AAPL,100,224.030000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793259007,,FILL
T3AAPL,2019-Oct-04 13:52:15.914000,AAPL,-100,224.120000,0.622029,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793259008,,FILL
T3AAPL,2019-Oct-04 13:53:48.844000,AAPL,800,224.340000,0.960000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793259009,,FILL
T3AAPL,2019-Oct-04 13:54:15.633000,AAPL,300,224.400000,0.360000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793259011,,FILL
T3AAPL,2019-Oct-04 13:55:01.147000,AAPL,-1100,224.440000,6.850202,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793259012,,FILL
T3AAPL,2019-Oct-04 13:55:49.417000,AAPL,100,224.460000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793259013,,FILL
T3AAPL,2019-Oct-04 13:56:31.877000,AAPL,-100,224.690000,0.623306,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793259014,,FILL
T3AAPL,2019-Oct-04 13:57:50.505000,AAPL,100,224.750000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793259015,,FILL
