StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason
T3AAPL,2019-Oct-04 13:30:00.486000,2019-Oct-04 13:30:00.486000,FILLED,FILL,AAPL,BUY,LIMIT,DAY,225.590000,20,0,20,0,225.590000,0.024000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793258971,,
T3AAPL,2019-Oct-04 13:30:05.550000,2019-Oct-04 13:30:05.550000,REJECTED,REJECT,AAPL,SELL,LIMIT,DAY,225.765000,-20,0,0,-20,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793258972,,limit price is not an increment of minimum tick size
T3AAPL,2019-Oct-04 13:30:33.697000,2019-Oct-04 13:30:33.697000,FILLED,FILL,AAPL,BUY,LIMIT,DAY,225.240000,100,0,100,0,225.240000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793258973,,
T3AAPL,2019-Oct-04 13:32:07.856000,2019-Oct-04 13:32:07.856000,FILLED,FILL,AAPL,SELL,LIMIT,DAY,225.140000,-120,0,-120,0,225.140000,0.749176,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793258974,,
T3AAPL,2019-Oct-04 13:32:15.578000,2019-Oct-04 13:32:15.578000,FILLED,FILL,AAPL,BUY,LIMIT,DAY,225.030000,100,0,100,0,225.030000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793258975,,
T3AAPL,2019-Oct-04 13:32:40.316000,2019-Oct-04 13:32:40.316000,FILLED,FILL,AAPL,SELL,LIMIT,DAY,224.850000,-100,0,-100,0,224.850000,0.623664,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793258976,,
T3AAPL,2019-Oct-04 13:33:48.533000,2019-Oct-04 13:33:48.533000,FILLED,FILL,AAPL,BUY,LIMIT,DAY,224.310000,100,0,100,0,224.310000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793258977,,
T3AAPL,2019-Oct-04 13:34:23.168000,2019-Oct-04 13:34:23.168000,FILLED,FILL,AAPL,SELL,LIMIT,DAY,224.590000,-100,0,-100,0,224.590000,0.623082,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793258978,,
T3AAPL,2019-Oct-04 13:34:39.119000,2019-Oct-04 13:34:39.119000,FILLED,FILL,AAPL,BUY,LIMIT,DAY,224.470000,100,0,100,0,224.470000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793258979,,
T3AAPL,2019-Oct-04 13:37:29.520000,2019-Oct-04 13:37:29.520000,FILLED,FILL,AAPL,SELL,LIMIT,DAY,224.770000,-100,0,-100,0,224.770000,0.623485,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793258980,,
T3AAPL,2019-Oct-04 13:38:14.890000,2019-Oct-04 13:38:14.890000,FILLED,FILL,AAPL,BUY,LIMIT,DAY,225.090000,7,0,7,0,225.090000,0.008400,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793258981,,
T3AAPL,2019-Oct-04 13:38:32.915000,2019-Oct-04 13:38:32.915000,REJECTED,REJECT,AAPL,SELL,LIMIT,DAY,225.185000,-7,0,0,-7,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793258982,,limit price is not an increment of minimum tick size
T3AAPL,2019-Oct-04 13:40:22.667000,2019-Oct-04 13:40:22.667000,REJECTED,REJECT,AAPL,BUY,LIMIT,DAY,225.345000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793258983,,limit price is not an increment of minimum tick size
T3AAPL,2019-Oct-04 13:40:35.266000,2019-Oct-04 13:40:35.266000,FILLED,FILL,AAPL,SELL,LIMIT,DAY,225.320000,-7,0,-7,0,225.320000,0.043730,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793258984,,
T3AAPL,2019-Oct-04 13:42:19.241000,2019-Oct-04 13:42:19.241000,FILLED,FILL,AAPL,BUY,LIMIT,DAY,225.380000,100,0,100,0,225.380000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793258985,,
T3AAPL,2019-Oct-04 13:42:44.745000,2019-Oct-04 13:42:44.745000,FILLED,FILL,AAPL,SELL,LIMIT,DAY,225.360000,-100,0,-100,0,225.360000,0.624806,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793258986,,
T3AAPL,2019-Oct-04 13:43:15.252000,2019-Oct-04 13:43:15.252000,FILLED,FILL,AAPL,BUY,LIMIT,DAY,225.250000,40,0,40,0,225.250000,0.048000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793258987,,
T3AAPL,2019-Oct-04 13:44:13.838000,2019-Oct-04 13:44:13.838000,REJECTED,REJECT,AAPL,SELL,LIMIT,DAY,224.795000,-40,0,0,-40,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793258988,,limit price is not an increment of minimum tick size
