Name,Time,Cumulative PnL
T3AAPL,2019-Oct-04 13:30:17.689000,-6.824000
T3AAPL,2019-Oct-04 13:31:27.958000,-16.144000
T3AAPL,2019-Oct-04 13:32:31.769000,-38.013176
T3AAPL,2019-Oct-04 13:33:33.670000,-38.636840
T3AAPL,2019-Oct-04 13:34:38.549000,-11.379922
T3AAPL,2019-Oct-04 13:35:41.751000,-30.499922
T3AAPL,2019-Oct-04 13:36:43.837000,4.500078
T3AAPL,2019-Oct-04 13:37:44.756000,17.876593
T3AAPL,2019-Oct-04 13:38:49.158000,18.498193
T3AAPL,2019-Oct-04 13:39:57.594000,20.318193
T3AAPL,2019-Oct-04 13:41:06.679000,19.434463
T3AAPL,2019-Oct-04 13:42:13.141000,19.434463
T3AAPL,2019-Oct-04 13:43:19.646000,11.641657
T3AAPL,2019-Oct-04 13:44:26.700000,2.041657
T3AAPL,2019-Oct-04 13:45:37.688000,-18.158343
T3AAPL,2019-Oct-04 13:46:53.195000,34.621657
T3AAPL,2019-Oct-04 13:48:06.918000,17.528841
T3AAPL,2019-Oct-04 13:49:22.426000,30.753092
T3AAPL,2019-Oct-04 13:50:27.648000,41.092111
T3AAPL,2019-Oct-04 13:51:36.664000,45.472111
T3AAPL,2019-Oct-04 13:52:37.446000,49.350082
T3AAPL,2019-Oct-04 13:53:42.593000,49.350082
T3AAPL,2019-Oct-04 13:54:46.532000,140.030082
T3AAPL,2019-Oct-04 13:55:53.886000,133.059880
T3AAPL,2019-Oct-04 13:57:00.277000,155.436575
T3AAPL,2019-Oct-04 13:58:06.771000,155.816575
T3AAPL,2019-Oct-04 13:59:15.115000,164.452844
T3AAPL,2019-Oct-04 14:00:17.880000,167.452844
T3AAPL,2019-Oct-04 14:01:19.760000,228.084216
T3AAPL,2019-Oct-04 14:02:28.277000,215.839880
T3AAPL,2019-Oct-04 14:03:38.907000,232.339880
T3AAPL,2019-Oct-04 14:04:44.598000,231.715634
T3AAPL,2019-Oct-04 14:05:46.553000,219.095634
T3AAPL,2019-Oct-04 14:06:52.670000,223.972687
T3AAPL,2019-Oct-04 14:08:02.612000,223.972687
T3AAPL,2019-Oct-04 14:09:07.877000,223.972687
T3AAPL,2019-Oct-04 14:10:12.369000,227.229784
T3AAPL,2019-Oct-04 14:11:18.205000,227.229784
T3AAPL,2019-Oct-04 14:12:26.125000,227.377808
T3AAPL,2019-Oct-04 14:13:31.294000,226.897808
T3AAPL,2019-Oct-04 14:14:35.710000,236.977808
T3AAPL,2019-Oct-04 14:15:43.193000,260.297808
T3AAPL,2019-Oct-04 14:16:51.927000,245.856440
T3AAPL,2019-Oct-04 14:18:04.250000,246.200440
T3AAPL,2019-Oct-04 14:19:04.595000,246.769263
T3AAPL,2019-Oct-04 14:20:11.310000,250.649263
T3AAPL,2019-Oct-04 14:21:15.853000,250.794428
T3AAPL,2019-Oct-04 14:22:22.110000,263.930674
T3AAPL,2019-Oct-04 14:23:31.118000,268.306428
T3AAPL,2019-Oct-04 14:24:31.329000,271.562137
T3AAPL,2019-Oct-04 14:25:34.172000,294.676664
T3AAPL,2019-Oct-04 14:26:37.544000,304.676664
T3AAPL,2019-Oct-04 14:27:41.861000,306.676664
T3AAPL,2019-Oct-04 14:28:45.954000,301.052418
T3AAPL,2019-Oct-04 14:29:55.499000,302.932418
T3AAPL,2019-Oct-04 14:31:04.494000,317.932418
T3AAPL,2019-Oct-04 14:32:06.333000,322.932418
T3AAPL,2019-Oct-04 14:33:22.346000,327.189202
T3AAPL,2019-Oct-04 14:34:24.505000,317.822546
T3AAPL,2019-Oct-04 14:35:34.615000,319.202546
T3AAPL,2019-Oct-04 14:36:37.826000,333.335890
T3AAPL,2019-Oct-04 14:37:46.405000,345.215890
T3AAPL,2019-Oct-04 14:38:58.534000,340.880383
T3AAPL,2019-Oct-04 14:40:02.954000,342.574632
T3AAPL,2019-Oct-04 14:41:17.974000,342.574632
T3AAPL,2019-Oct-04 14:42:23.818000,342.574632
T3AAPL,2019-Oct-04 14:43:32.680000,355.454632
T3AAPL,2019-Oct-04 14:44:36.737000,354.831013
T3AAPL,2019-Oct-04 14:45:43.270000,354.831013
T3AAPL,2019-Oct-04 14:46:51.824000,354.831013
T3AAPL,2019-Oct-04 14:48:03.140000,354.831013
T3AAPL,2019-Oct-04 14:49:25.102000,354.831013
T3AAPL,2019-Oct-04 14:50:36.555000,354.831013
T3AAPL,2019-Oct-04 14:51:42.924000,354.831013
T3AAPL,2019-Oct-04 14:52:49.910000,354.711013
T3AAPL,2019-Oct-04 14:53:56.924000,354.711013
T3AAPL,2019-Oct-04 14:55:07.967000,349.087103
T3AAPL,2019-Oct-04 14:56:11.940000,347.967103
T3AAPL,2019-Oct-04 14:57:14.772000,349.342946
T3AAPL,2019-Oct-04 14:58:23.509000,349.342946
T3AAPL,2019-Oct-04 14:59:33.198000,349.342946
T3AAPL,2019-Oct-04 15:00:38.391000,361.222946
T3AAPL,2019-Oct-04 15:01:45.567000,376.598095
T3AAPL,2019-Oct-04 15:02:52.649000,371.853490
T3AAPL,2019-Oct-04 15:03:58.369000,371.816259
T3AAPL,2019-Oct-04 15:05:18.313000,366.951407
T3AAPL,2019-Oct-04 15:06:28.765000,421.831407
T3AAPL,2019-Oct-04 15:07:31.910000,409.831407
T3AAPL,2019-Oct-04 15:08:34.869000,408.581123
T3AAPL,2019-Oct-04 15:09:47.125000,408.757123
T3AAPL,2019-Oct-04 15:10:57.451000,410.232067
T3AAPL,2019-Oct-04 15:12:09.459000,405.486790
T3AAPL,2019-Oct-04 15:13:21.168000,413.366790
T3AAPL,2019-Oct-04 15:14:34.574000,420.621222
T3AAPL,2019-Oct-04 15:16:01.714000,422.995274
T3AAPL,2019-Oct-04 15:17:14.454000,422.995274
