StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason
T3INTC,2019-Oct-01 13:30:00.440000,2019-Oct-01 13:30:00.440000,FILLED,FILL,INTC,BUY,LIMIT,DAY,52.000000,500,0,500,0,52.000000,0.600000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254348,,
T3INTC,2019-Oct-01 13:30:30.184000,2019-Oct-01 13:30:30.184000,FILLED,FILL,INTC,SELL,LIMIT,DAY,51.980000,-500,0,-500,0,51.980000,1.182176,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254349,,
T3INTC,2019-Oct-01 13:30:40.247000,2019-Oct-01 13:30:40.247000,FILLED,FILL,INTC,BUY,LIMIT,DAY,51.980000,100,0,100,0,51.980000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254350,,
T3INTC,2019-Oct-01 13:30:55.875000,2019-Oct-01 13:30:55.875000,FILLED,FILL,INTC,SELL,LIMIT,DAY,52.110000,-100,0,-100,0,52.110000,0.236726,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254351,,
T3INTC,2019-Oct-01 13:31:08.845000,2019-Oct-01 13:31:08.845000,FILLED,FILL,INTC,BUY,LIMIT,DAY,52.130000,4,0,4,0,52.130000,0.004800,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254352,,
T3INTC,2019-Oct-01 13:31:19.666000,2019-Oct-01 13:31:19.666000,FILLED,FILL,INTC,SELL,LIMIT,DAY,52.100000,-4,0,-4,0,52.100000,0.009468,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254353,,
T3INTC,2019-Oct-01 13:31:21.212000,2019-Oct-01 13:31:21.212000,FILLED,FILL,INTC,BUY,LIMIT,DAY,52.100000,100,0,100,0,52.100000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254354,,
T3INTC,2019-Oct-01 13:31:39.809000,2019-Oct-01 13:31:39.809000,FILLED,FILL,INTC,SELL,LIMIT,DAY,51.910000,-100,0,-100,0,51.910000,0.236278,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254355,,
T3INTC,2019-Oct-01 13:31:47.395000,2019-Oct-01 13:31:47.395000,FILLED,FILL,INTC,BUY,LIMIT,DAY,51.910000,100,0,100,0,51.910000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254356,,
T3INTC,2019-Oct-01 13:32:48.130000,2019-Oct-01 13:32:48.130000,REJECTED,REJECT,INTC,SELL,LIMIT,DAY,51.915000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254357,,limit price is not an increment of minimum tick size
T3INTC,2019-Oct-01 13:32:51.110000,2019-Oct-01 13:32:51.110000,REJECTED,REJECT,INTC,BUY,LIMIT,DAY,51.875000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254358,,limit price is not an increment of minimum tick size
T3INTC,2019-Oct-01 13:33:02.270000,2019-Oct-01 13:33:02.270000,REJECTED,REJECT,INTC,SELL,LIMIT,DAY,51.875000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254359,,limit price is not an increment of minimum tick size
T3INTC,2019-Oct-01 13:33:20.762000,2019-Oct-01 13:33:20.762000,REJECTED,REJECT,INTC,BUY,LIMIT,DAY,51.905000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254360,,limit price is not an increment of minimum tick size
T3INTC,2019-Oct-01 13:33:28.734000,2019-Oct-01 13:33:28.734000,REJECTED,REJECT,INTC,SELL,LIMIT,DAY,51.905000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254361,,limit price is not an increment of minimum tick size
T3INTC,2019-Oct-01 13:34:07.663000,2019-Oct-01 13:34:07.663000,FILLED,FILL,INTC,BUY,LIMIT,DAY,51.980000,700,0,700,0,51.980000,0.840000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254362,,
T3INTC,2019-Oct-01 13:37:18.817000,2019-Oct-01 13:37:18.817000,FILLED,FILL,INTC,SELL,LIMIT,DAY,52.010000,-800,0,-800,0,52.010000,1.892019,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254363,,
T3INTC,2019-Oct-01 13:37:42.381000,2019-Oct-01 13:37:42.381000,REJECTED,REJECT,INTC,BUY,LIMIT,DAY,52.015000,200,0,0,200,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254364,,limit price is not an increment of minimum tick size
T3INTC,2019-Oct-01 13:38:49.704000,2019-Oct-01 13:38:49.704000,REJECTED,REJECT,INTC,SELL,LIMIT,DAY,52.030000,0,0,0,0,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254365,,quantity must be positive
T3INTC,2019-Oct-01 13:39:52.903000,2019-Oct-01 13:39:52.903000,REJECTED,REJECT,INTC,BUY,LIMIT,DAY,52.055000,72,0,0,72,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254366,,limit price is not an increment of minimum tick size
T3INTC,2019-Oct-01 13:40:14.414000,2019-Oct-01 13:40:14.414000,REJECTED,REJECT,INTC,SELL,LIMIT,DAY,52.055000,0,0,0,0,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254367,,quantity must be positive
T3INTC,2019-Oct-01 13:42:58.735000,2019-Oct-01 13:42:58.735000,REJECTED,REJECT,INTC,BUY,LIMIT,DAY,52.105000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254368,,limit price is not an increment of minimum tick size
T3INTC,2019-Oct-01 13:43:19.757000,2019-Oct-01 13:43:19.757000,REJECTED,REJECT,INTC,SELL,LIMIT,DAY,52.120000,0,0,0,0,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254369,,quantity must be positive
T3INTC,2019-Oct-01 13:44:07.545000,2019-Oct-01 13:44:07.545000,FILLED,FILL,INTC,BUY,LIMIT,DAY,52.170000,18,0,18,0,52.170000,0.021600,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254370,,
T3INTC,2019-Oct-01 13:44:41.817000,2019-Oct-01 13:44:41.817000,FILLED,FILL,INTC,SELL,LIMIT,DAY,52.180000,-18,0,-18,0,52.180000,0.042639,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254371,,
T3INTC,2019-Oct-01 13:44:49.856000,2019-Oct-01 13:44:49.856000,FILLED,FILL,INTC,BUY,LIMIT,DAY,52.130000,9,0,9,0,52.130000,0.010800,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254372,,
T3INTC,2019-Oct-01 13:45:22.415000,2019-Oct-01 13:45:22.415000,FILLED,FILL,INTC,SELL,LIMIT,DAY,52.170000,-9,0,-9,0,52.170000,0.021317,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254373,,
T3INTC,2019-Oct-01 13:46:12.314000,2019-Oct-01 13:46:12.314000,FILLED,FILL,INTC,BUY,LIMIT,DAY,52.160000,9,0,9,0,52.160000,0.010800,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254374,,
T3INTC,2019-Oct-01 13:46:23.706000,2019-Oct-01 13:46:23.706000,FILLED,FILL,INTC,SELL,LIMIT,DAY,52.160000,-9,0,-9,0,52.160000,0.021315,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254375,,
T3INTC,2019-Oct-01 13:47:27.373000,2019-Oct-01 13:47:27.373000,REJECTED,REJECT,INTC,BUY,LIMIT,DAY,52.185000,200,0,0,200,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254376,,limit price is not an increment of minimum tick size
T3INTC,2019-Oct-01 13:50:32.249000,2019-Oct-01 13:50:32.249000,REJECTED,REJECT,INTC,SELL,LIMIT,DAY,52.230000,0,0,0,0,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254377,,quantity must be positive
T3INTC,2019-Oct-01 13:51:44.781000,2019-Oct-01 13:51:44.781000,FILLED,FILL,INTC,BUY,LIMIT,DAY,52.160000,100,0,100,0,52.160000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254378,,
T3INTC,2019-Oct-01 13:52:23.889000,2019-Oct-01 13:52:23.889000,REJECTED,REJECT,INTC,SELL,LIMIT,DAY,52.135000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254379,,limit price is not an increment of minimum tick size
T3INTC,2019-Oct-01 13:54:29.389000,2019-Oct-01 13:54:29.389000,REJECTED,REJECT,INTC,BUY,LIMIT,DAY,52.145000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254380,,limit price is not an increment of minimum tick size
T3INTC,2019-Oct-01 13:58:53.809000,2019-Oct-01 13:58:53.809000,FILLED,FILL,INTC,SELL,LIMIT,DAY,52.050000,-100,0,-100,0,52.050000,0.236592,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254381,,
T3INTC,2019-Oct-01 14:00:11.821000,2019-Oct-01 14:00:11.821000,FILLED,FILL,INTC,BUY,LIMIT,DAY,51.820000,100,0,100,0,51.820000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254382,,
T3INTC,2019-Oct-01 14:00:13.302000,2019-Oct-01 14:00:13.302000,FILLED,FILL,INTC,SELL,LIMIT,DAY,51.820000,-100,0,-100,0,51.820000,0.236077,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254383,,
T3INTC,2019-Oct-01 14:00:16.692000,2019-Oct-01 14:00:16.692000,FILLED,FILL,INTC,BUY,LIMIT,DAY,51.870000,100,0,100,0,51.870000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254384,,
T3INTC,2019-Oct-01 14:00:20.855000,2019-Oct-01 14:00:20.855000,FILLED,FILL,INTC,SELL,LIMIT,DAY,51.870000,-100,0,-100,0,51.870000,0.236189,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254385,,
T3INTC,2019-Oct-01 14:00:30.525000,2019-Oct-01 14:00:30.525000,FILLED,FILL,INTC,BUY,LIMIT,DAY,51.870000,100,0,100,0,51.870000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254386,,
T3INTC,2019-Oct-01 14:00:37.512000,2019-Oct-01 14:00:37.512000,FILLED,FILL,INTC,SELL,LIMIT,DAY,51.950000,-100,0,-100,0,51.950000,0.236368,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254387,,
T3INTC,2019-Oct-01 14:00:47.189000,2019-Oct-01 14:00:47.189000,FILLED,FILL,INTC,BUY,LIMIT,DAY,51.950000,100,0,100,0,51.950000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254388,,
T3INTC,2019-Oct-01 14:00:54.166000,2019-Oct-01 14:00:54.166000,FILLED,FILL,INTC,SELL,LIMIT,DAY,51.980000,-100,0,-100,0,51.980000,0.236435,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254389,,
T3INTC,2019-Oct-01 14:00:55.425000,2019-Oct-01 14:00:55.425000,FILLED,FILL,INTC,BUY,LIMIT,DAY,51.980000,1,0,1,0,51.980000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254390,,
T3INTC,2019-Oct-01 14:01:00.407000,2019-Oct-01 14:01:00.407000,FILLED,FILL,INTC,SELL,LIMIT,DAY,51.980000,-1,0,-1,0,51.980000,0.002364,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254391,,
T3INTC,2019-Oct-01 14:01:05.139000,2019-Oct-01 14:01:05.139000,FILLED,FILL,INTC,BUY,LIMIT,DAY,51.980000,1,0,1,0,51.980000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254392,,
T3INTC,2019-Oct-01 14:01:08.189000,2019-Oct-01 14:01:08.189000,FILLED,FILL,INTC,SELL,LIMIT,DAY,51.990000,-1,0,-1,0,51.990000,0.002365,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254393,,
T3INTC,2019-Oct-01 14:01:10.158000,2019-Oct-01 14:01:10.158000,FILLED,FILL,INTC,BUY,LIMIT,DAY,51.970000,100,0,100,0,51.970000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254394,,
T3INTC,2019-Oct-01 14:01:13.541000,2019-Oct-01 14:01:13.541000,FILLED,FILL,INTC,SELL,LIMIT,DAY,51.960000,-100,0,-100,0,51.960000,0.236390,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254395,,
T3INTC,2019-Oct-01 14:01:20.618000,2019-Oct-01 14:01:20.618000,FILLED,FILL,INTC,BUY,LIMIT,DAY,51.960000,100,0,100,0,51.960000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254396,,
T3INTC,2019-Oct-01 14:02:07.764000,2019-Oct-01 14:02:07.764000,REJECTED,REJECT,INTC,SELL,LIMIT,DAY,52.005000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254397,,limit price is not an increment of minimum tick size
T3INTC,2019-Oct-01 14:02:08.614000,2019-Oct-01 14:02:08.614000,REJECTED,REJECT,INTC,BUY,LIMIT,DAY,52.005000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254398,,limit price is not an increment of minimum tick size
T3INTC,2019-Oct-01 14:02:12.157000,2019-Oct-01 14:02:12.157000,REJECTED,REJECT,INTC,SELL,LIMIT,DAY,51.985000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254399,,limit price is not an increment of minimum tick size
T3INTC,2019-Oct-01 14:03:26.533000,2019-Oct-01 14:03:26.533000,REJECTED,REJECT,INTC,BUY,LIMIT,DAY,51.905000,138,0,0,138,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793254400,,limit price is not an increment of minimum tick size
