Name,Time,Cumulative PnL
T3INTC,2019-Oct-01 13:30:06.781000,-63.100000
T3INTC,2019-Oct-01 13:31:10.918000,0.856298
T3INTC,2019-Oct-01 13:32:20.880000,-24.249449
T3INTC,2019-Oct-01 13:33:37.179000,-19.249449
T3INTC,2019-Oct-01 13:34:56.430000,-4.589449
T3INTC,2019-Oct-01 13:36:00.956000,-12.589449
T3INTC,2019-Oct-01 13:37:18.817000,11.410551
T3INTC,2019-Oct-01 13:38:25.289000,9.518532
T3INTC,2019-Oct-01 13:39:40.155000,9.518532
T3INTC,2019-Oct-01 13:40:44.865000,9.518532
T3INTC,2019-Oct-01 13:41:56.761000,9.518532
T3INTC,2019-Oct-01 13:43:05.222000,9.518532
T3INTC,2019-Oct-01 13:44:07.545000,9.518532
T3INTC,2019-Oct-01 13:45:14.740000,9.983493
T3INTC,2019-Oct-01 13:46:23.706000,9.951375
T3INTC,2019-Oct-01 13:47:43.333000,9.930060
T3INTC,2019-Oct-01 13:48:59.545000,9.930060
T3INTC,2019-Oct-01 13:50:16.465000,9.930060
T3INTC,2019-Oct-01 13:51:30.632000,9.930060
T3INTC,2019-Oct-01 13:52:32.779000,7.310060
T3INTC,2019-Oct-01 13:53:40.381000,5.310060
T3INTC,2019-Oct-01 13:54:45.673000,7.310060
T3INTC,2019-Oct-01 13:56:00.533000,12.310060
T3INTC,2019-Oct-01 13:57:24.184000,8.310060
T3INTC,2019-Oct-01 13:58:39.299000,-1.189940
T3INTC,2019-Oct-01 13:59:45.103000,-1.426532
T3INTC,2019-Oct-01 14:00:47.189000,5.504834
T3INTC,2019-Oct-01 14:01:50.617000,8.174880
T3INTC,2019-Oct-01 14:02:56.229000,2.674880
T3INTC,2019-Oct-01 14:04:01.682000,-2.825120
T3INTC,2019-Oct-01 14:05:12.418000,-7.825120
T3INTC,2019-Oct-01 14:06:18.356000,-2.565120
T3INTC,2019-Oct-01 14:07:25.963000,-7.513216
T3INTC,2019-Oct-01 14:08:36.784000,-8.024247
T3INTC,2019-Oct-01 14:09:46.707000,-8.144247
T3INTC,2019-Oct-01 14:10:56.134000,-11.379988
T3INTC,2019-Oct-01 14:12:08.472000,-11.379988
T3INTC,2019-Oct-01 14:13:16.445000,-13.179988
T3INTC,2019-Oct-01 14:14:29.369000,-17.068638
T3INTC,2019-Oct-01 14:15:44.964000,-17.068638
T3INTC,2019-Oct-01 14:16:59.698000,-17.068638
T3INTC,2019-Oct-01 14:18:06.959000,-17.068638
T3INTC,2019-Oct-01 14:19:13.544000,-15.790238
T3INTC,2019-Oct-01 14:20:20.308000,-15.950496
T3INTC,2019-Oct-01 14:21:22.852000,-8.957296
T3INTC,2019-Oct-01 14:22:34.522000,-6.677296
T3INTC,2019-Oct-01 14:23:41.115000,-10.097296
T3INTC,2019-Oct-01 14:24:41.959000,-8.762713
T3INTC,2019-Oct-01 14:25:47.179000,-6.537713
T3INTC,2019-Oct-01 14:26:50.642000,-6.537713
T3INTC,2019-Oct-01 14:27:53.235000,0.347287
T3INTC,2019-Oct-01 14:28:58.914000,14.522287
T3INTC,2019-Oct-01 14:30:08.476000,29.115026
T3INTC,2019-Oct-01 14:31:11.666000,29.115026
T3INTC,2019-Oct-01 14:32:19.691000,29.115026
T3INTC,2019-Oct-01 14:33:29.828000,29.115026
T3INTC,2019-Oct-01 14:34:36.662000,25.995026
T3INTC,2019-Oct-01 14:35:37.123000,25.759285
T3INTC,2019-Oct-01 14:36:41.467000,25.759285
T3INTC,2019-Oct-01 14:37:46.520000,24.639285
T3INTC,2019-Oct-01 14:38:51.238000,27.403768
T3INTC,2019-Oct-01 14:39:59.706000,29.093768
T3INTC,2019-Oct-01 14:41:06.285000,28.726032
T3INTC,2019-Oct-01 14:42:19.512000,28.726032
T3INTC,2019-Oct-01 14:43:32.977000,28.726032
T3INTC,2019-Oct-01 14:44:40.827000,28.726032
T3INTC,2019-Oct-01 14:45:49.237000,30.106032
T3INTC,2019-Oct-01 14:47:04.919000,34.015670
T3INTC,2019-Oct-01 14:48:24.898000,34.015670
T3INTC,2019-Oct-01 14:49:31.214000,34.015670
T3INTC,2019-Oct-01 14:50:38.605000,34.015670
T3INTC,2019-Oct-01 14:51:53.715000,34.015670
T3INTC,2019-Oct-01 14:52:55.606000,33.395670
T3INTC,2019-Oct-01 14:53:58.967000,29.395670
T3INTC,2019-Oct-01 14:55:00.209000,34.895670
T3INTC,2019-Oct-01 14:56:14.680000,30.895670
T3INTC,2019-Oct-01 14:57:20.111000,26.661094
T3INTC,2019-Oct-01 14:58:21.984000,32.421094
T3INTC,2019-Oct-01 14:59:29.843000,31.641808
T3INTC,2019-Oct-01 15:00:40.826000,31.154520
T3INTC,2019-Oct-01 15:01:41.448000,30.535320
T3INTC,2019-Oct-01 15:02:43.722000,27.635320
T3INTC,2019-Oct-01 15:03:54.242000,27.363394
T3INTC,2019-Oct-01 15:05:00.212000,27.363394
T3INTC,2019-Oct-01 15:06:16.136000,27.363394
T3INTC,2019-Oct-01 15:07:22.544000,27.363394
T3INTC,2019-Oct-01 15:08:24.283000,27.363394
T3INTC,2019-Oct-01 15:09:27.489000,27.363394
T3INTC,2019-Oct-01 15:10:32.339000,27.363394
T3INTC,2019-Oct-01 15:11:40.744000,27.200392
T3INTC,2019-Oct-01 15:12:45.500000,27.310148
T3INTC,2019-Oct-01 15:13:53.814000,27.310148
T3INTC,2019-Oct-01 15:15:04.258000,27.310148
T3INTC,2019-Oct-01 15:16:19.300000,27.310148
T3INTC,2019-Oct-01 15:17:31.115000,31.190148
T3INTC,2019-Oct-01 15:18:36.895000,33.955706
T3INTC,2019-Oct-01 15:19:49.802000,33.955706
T3INTC,2019-Oct-01 15:20:54.428000,33.835706
T3INTC,2019-Oct-01 15:22:00.781000,35.835706
T3INTC,2019-Oct-01 15:23:11.475000,41.835706
T3INTC,2019-Oct-01 15:24:20.770000,44.835706
T3INTC,2019-Oct-01 15:25:39.508000,47.600974
T3INTC,2019-Oct-01 15:26:39.704000,47.600974
T3INTC,2019-Oct-01 15:27:43.418000,47.477774
T3INTC,2019-Oct-01 15:29:05.707000,48.687774
T3INTC,2019-Oct-01 15:30:21.973000,48.687774
T3INTC,2019-Oct-01 15:31:40.449000,48.427146
T3INTC,2019-Oct-01 15:32:54.401000,48.427146
T3INTC,2019-Oct-01 15:34:05.269000,48.427146
T3INTC,2019-Oct-01 15:35:22.736000,48.427146
T3INTC,2019-Oct-01 15:36:35.266000,48.427146
T3INTC,2019-Oct-01 15:37:51.821000,49.807146
T3INTC,2019-Oct-01 15:39:01.805000,49.307146
T3INTC,2019-Oct-01 15:40:20.493000,48.187146
T3INTC,2019-Oct-01 15:41:32.942000,47.717590
T3INTC,2019-Oct-01 15:42:48.763000,47.717590
T3INTC,2019-Oct-01 15:43:57.930000,47.738610
T3INTC,2019-Oct-01 15:45:16.586000,48.481229
T3INTC,2019-Oct-01 15:46:35.898000,49.681229
T3INTC,2019-Oct-01 15:47:51.950000,48.787390
T3INTC,2019-Oct-01 15:48:59.270000,48.787390
T3INTC,2019-Oct-01 15:50:18.951000,48.432926
