Name,Time,Cumulative PnL
T3JPM,2019-Oct-03 13:30:15.774000,-6.052000
T3JPM,2019-Oct-03 13:31:32.303000,-21.887705
T3JPM,2019-Oct-03 13:32:41.993000,37.620362
T3JPM,2019-Oct-03 13:33:46.295000,47.620362
T3JPM,2019-Oct-03 13:34:59.749000,33.756452
T3JPM,2019-Oct-03 13:36:05.873000,52.636452
T3JPM,2019-Oct-03 13:37:17.905000,46.772631
T3JPM,2019-Oct-03 13:38:30.852000,48.668497
T3JPM,2019-Oct-03 13:39:35.597000,48.364074
T3JPM,2019-Oct-03 13:40:42.737000,48.346638
T3JPM,2019-Oct-03 13:41:59.877000,51.363534
T3JPM,2019-Oct-03 13:43:06.156000,61.481934
T3JPM,2019-Oct-03 13:44:16.207000,62.996099
T3JPM,2019-Oct-03 13:45:22.414000,66.012054
T3JPM,2019-Oct-03 13:46:27.486000,66.204198
T3JPM,2019-Oct-03 13:47:35.881000,69.711840
T3JPM,2019-Oct-03 13:48:44.722000,69.219481
T3JPM,2019-Oct-03 13:49:53.709000,69.099481
T3JPM,2019-Oct-03 13:50:59.527000,68.726854
T3JPM,2019-Oct-03 13:52:13.756000,68.726854
T3JPM,2019-Oct-03 13:53:23.882000,68.726854
T3JPM,2019-Oct-03 13:54:39.364000,72.106854
T3JPM,2019-Oct-03 13:55:49.849000,71.940281
T3JPM,2019-Oct-03 13:57:07.479000,58.440281
T3JPM,2019-Oct-03 13:58:16.403000,71.067542
T3JPM,2019-Oct-03 13:59:28.591000,71.067542
T3JPM,2019-Oct-03 14:00:31.765000,72.657573
T3JPM,2019-Oct-03 14:01:36.178000,66.105355
T3JPM,2019-Oct-03 14:02:41.760000,71.132053
T3JPM,2019-Oct-03 14:03:54.292000,42.294245
T3JPM,2019-Oct-03 14:05:00.184000,43.924313
T3JPM,2019-Oct-03 14:06:09.145000,43.310198
T3JPM,2019-Oct-03 14:07:09.867000,30.491598
T3JPM,2019-Oct-03 14:08:14.279000,28.567291
T3JPM,2019-Oct-03 14:09:18.913000,39.491376
T3JPM,2019-Oct-03 14:10:23.249000,30.635866
T3JPM,2019-Oct-03 14:11:30.235000,37.477466
T3JPM,2019-Oct-03 14:12:35.764000,42.867124
T3JPM,2019-Oct-03 14:13:43.424000,47.379380
T3JPM,2019-Oct-03 14:14:46.801000,50.334958
T3JPM,2019-Oct-03 14:15:54.723000,42.211275
T3JPM,2019-Oct-03 14:16:57.377000,25.799610
T3JPM,2019-Oct-03 14:18:10.525000,21.405705
T3JPM,2019-Oct-03 14:19:12.148000,41.785705
T3JPM,2019-Oct-03 14:20:19.619000,76.042827
T3JPM,2019-Oct-03 14:21:22.815000,90.089611
T3JPM,2019-Oct-03 14:22:28.101000,76.134782
T3JPM,2019-Oct-03 14:23:31.211000,82.925264
T3JPM,2019-Oct-03 14:24:46.302000,89.067469
T3JPM,2019-Oct-03 14:26:00.679000,90.947469
T3JPM,2019-Oct-03 14:27:03.986000,105.599892
