StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
T3AAPL,2019-Oct-04 13:30:00.486000,SPY,100,291.240000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318447,,FILL
T3AAPL,2019-Oct-04 13:30:05.550000,SPY,-100,291.220000,0.772333,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318448,,FILL
T3AAPL,2019-Oct-04 13:30:33.697000,SPY,100,291.240000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318449,,FILL
T3AAPL,2019-Oct-04 13:32:07.856000,SPY,-100,291.810000,0.773654,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318450,,FILL
T3AAPL,2019-Oct-04 13:32:15.578000,SPY,100,291.870000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318451,,FILL
T3AAPL,2019-Oct-04 13:32:40.316000,SPY,-100,291.790000,0.773610,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318452,,FILL
T3AAPL,2019-Oct-04 13:33:48.533000,SPY,100,291.560000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318453,,FILL
T3AAPL,2019-Oct-04 13:34:23.168000,SPY,-100,291.770000,0.773565,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318454,,FILL
T3AAPL,2019-Oct-04 13:34:39.119000,SPY,100,291.660000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318455,,FILL
T3AAPL,2019-Oct-04 13:37:29.520000,SPY,-100,291.980000,0.774035,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318456,,FILL
T3AAPL,2019-Oct-04 13:38:14.890000,SPY,100,291.830000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318457,,FILL
T3AAPL,2019-Oct-04 13:38:32.915000,SPY,-100,291.950000,0.773968,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318458,,FILL
T3AAPL,2019-Oct-04 13:40:22.667000,SPY,100,291.820000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318459,,FILL
T3AAPL,2019-Oct-04 13:40:35.266000,SPY,-100,291.760000,0.773542,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318460,,FILL
T3AAPL,2019-Oct-04 13:43:15.252000,SPY,100,291.720000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318463,,FILL
T3AAPL,2019-Oct-04 13:46:17.487000,SPY,100,291.830000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318465,,FILL
T3AAPL,2019-Oct-04 13:47:00.450000,SPY,-200,291.930000,1.547846,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318466,,FILL
T3AAPL,2019-Oct-04 13:48:00.348000,SPY,100,291.820000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318467,,FILL
T3AAPL,2019-Oct-04 13:48:22.563000,SPY,-100,291.840000,0.773722,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318468,,FILL
T3AAPL,2019-Oct-04 13:48:42.369000,SPY,100,291.890000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318469,,FILL
T3AAPL,2019-Oct-04 13:48:45.125000,SPY,-100,291.840000,0.773722,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318470,,FILL
T3AAPL,2019-Oct-04 13:49:04.174000,SPY,100,291.880000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318471,,FILL
T3AAPL,2019-Oct-04 13:49:22.426000,SPY,-100,291.750000,0.773520,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318472,,FILL
T3AAPL,2019-Oct-04 13:49:28.229000,SPY,72,291.800000,0.086400,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318473,,FILL
T3AAPL,2019-Oct-04 13:49:44.828000,SPY,-72,291.800000,0.557015,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318474,,FILL
T3AAPL,2019-Oct-04 13:49:54.858000,SPY,100,291.860000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318475,,FILL
T3AAPL,2019-Oct-04 13:50:06.744000,SPY,-100,291.900000,0.773856,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318476,,FILL
T3AAPL,2019-Oct-04 13:50:30.381000,SPY,100,291.810000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318479,,FILL
T3AAPL,2019-Oct-04 13:50:40.998000,SPY,-100,291.720000,0.773453,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318480,,FILL
T3AAPL,2019-Oct-04 13:50:45.896000,SPY,100,291.720000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318481,,FILL
T3AAPL,2019-Oct-04 13:51:16.337000,SPY,8,291.670000,0.009600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318483,,FILL
T3AAPL,2019-Oct-04 13:53:48.844000,SPY,1,291.850000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318485,,FILL
T3AAPL,2019-Oct-04 13:53:59.361000,SPY,-109,291.810000,0.843283,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318486,,FILL
T3AAPL,2019-Oct-04 13:54:15.633000,SPY,100,291.970000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318487,,FILL
T3AAPL,2019-Oct-04 13:55:01.147000,SPY,-100,291.960000,0.773990,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318488,,FILL
T3AAPL,2019-Oct-04 13:57:50.505000,SPY,100,291.940000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318491,,FILL
T3AAPL,2019-Oct-04 13:58:14.517000,SPY,-100,292.060000,0.774214,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318492,,FILL
T3AAPL,2019-Oct-04 13:58:24.685000,SPY,100,292.100000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318493,,FILL
T3AAPL,2019-Oct-04 13:59:03.166000,SPY,-100,292.150000,0.774416,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318494,,FILL
T3AAPL,2019-Oct-04 14:01:39.950000,SPY,100,292.490000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318499,,FILL
T3AAPL,2019-Oct-04 14:03:41.266000,SPY,-100,292.640000,0.775514,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318500,,FILL
T3AAPL,2019-Oct-04 14:05:05.471000,SPY,32,292.600000,0.038400,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318501,,FILL
T3AAPL,2019-Oct-04 14:06:07.210000,SPY,-32,292.570000,0.248114,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318502,,FILL
T3AAPL,2019-Oct-04 14:09:34.212000,SPY,100,292.150000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318503,,FILL
T3AAPL,2019-Oct-04 14:10:09.973000,SPY,-100,292.120000,0.774349,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318504,,FILL
T3AAPL,2019-Oct-04 14:14:03.359000,SPY,100,292.120000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318509,,FILL
T3AAPL,2019-Oct-04 14:16:46.512000,SPY,-100,292.320000,0.774797,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318510,,FILL
T3AAPL,2019-Oct-04 14:19:47.864000,SPY,186,292.200000,0.223200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318513,,FILL
T3AAPL,2019-Oct-04 14:20:11.310000,SPY,-186,292.250000,1.440830,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318514,,FILL
T3AAPL,2019-Oct-04 14:21:20.152000,SPY,100,292.330000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318517,,FILL
T3AAPL,2019-Oct-04 14:22:06.777000,SPY,100,292.290000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318519,,FILL
T3AAPL,2019-Oct-04 14:23:53.438000,SPY,100,292.310000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318521,,FILL
T3AAPL,2019-Oct-04 14:24:23.673000,SPY,-300,292.290000,2.324189,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318522,,FILL
T3AAPL,2019-Oct-04 14:24:33.793000,SPY,100,292.380000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318523,,FILL
T3AAPL,2019-Oct-04 14:24:42.357000,SPY,-100,292.360000,0.774886,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318524,,FILL
T3AAPL,2019-Oct-04 14:24:58.399000,SPY,100,292.410000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318525,,FILL
T3AAPL,2019-Oct-04 14:25:03.407000,SPY,-100,292.370000,0.774909,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318526,,FILL
T3AAPL,2019-Oct-04 14:25:27.501000,SPY,1,292.300000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318527,,FILL
T3AAPL,2019-Oct-04 14:28:47.281000,SPY,100,292.180000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318529,,FILL
T3AAPL,2019-Oct-04 14:29:00.547000,SPY,-101,292.120000,0.782092,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318530,,FILL
T3AAPL,2019-Oct-04 14:33:23.463000,SPY,100,291.880000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318535,,FILL
T3AAPL,2019-Oct-04 14:35:33.486000,SPY,200,291.650000,0.240000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318537,,FILL
T3AAPL,2019-Oct-04 14:35:38.629000,SPY,-300,291.590000,2.319485,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318538,,FILL
T3AAPL,2019-Oct-04 14:35:56.806000,SPY,1,291.690000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318539,,FILL
T3AAPL,2019-Oct-04 14:36:21.743000,SPY,-1,291.720000,0.007735,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318540,,FILL
T3AAPL,2019-Oct-04 14:37:24.387000,SPY,300,291.750000,0.360000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318541,,FILL
T3AAPL,2019-Oct-04 14:38:06.917000,SPY,-300,291.800000,2.320896,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318542,,FILL
T3AAPL,2019-Oct-04 14:38:29.803000,SPY,30,291.720000,0.036000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318543,,FILL
T3AAPL,2019-Oct-04 14:39:01.764000,SPY,-30,291.690000,0.232016,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318544,,FILL
T3AAPL,2019-Oct-04 14:39:14.701000,SPY,100,291.760000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318545,,FILL
T3AAPL,2019-Oct-04 14:39:24.410000,SPY,-100,291.710000,0.773430,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318546,,FILL
T3AAPL,2019-Oct-04 14:40:05.317000,SPY,100,291.660000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318547,,FILL
T3AAPL,2019-Oct-04 14:43:08.793000,SPY,1,291.600000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318549,,FILL
T3AAPL,2019-Oct-04 14:44:36.343000,SPY,-101,291.690000,0.781119,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318550,,FILL
T3AAPL,2019-Oct-04 14:47:45.104000,SPY,100,291.440000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318551,,FILL
T3AAPL,2019-Oct-04 14:54:09.528000,SPY,-100,291.970000,0.774013,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318554,,FILL
T3AAPL,2019-Oct-04 15:00:04.985000,SPY,200,291.730000,0.240000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318559,,FILL
T3AAPL,2019-Oct-04 15:00:48.912000,SPY,-200,292.090000,1.548563,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318560,,FILL
T3AAPL,2019-Oct-04 15:00:49.659000,SPY,100,292.120000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318561,,FILL
T3AAPL,2019-Oct-04 15:02:08.207000,SPY,500,291.980000,0.600000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318563,,FILL
T3AAPL,2019-Oct-04 15:02:25.735000,SPY,-600,291.840000,4.642330,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793318564,,FILL
