Name,Time,Cumulative PnL
T3AAPL,2019-Oct-04 13:30:17.689000,-2.892333
T3AAPL,2019-Oct-04 13:31:27.958000,39.987667
T3AAPL,2019-Oct-04 13:32:31.769000,56.094013
T3AAPL,2019-Oct-04 13:33:33.670000,44.320403
T3AAPL,2019-Oct-04 13:34:38.549000,64.426838
T3AAPL,2019-Oct-04 13:35:41.751000,86.306838
T3AAPL,2019-Oct-04 13:36:43.837000,107.306838
T3AAPL,2019-Oct-04 13:37:44.756000,95.532803
T3AAPL,2019-Oct-04 13:38:49.158000,106.638835
T3AAPL,2019-Oct-04 13:39:57.594000,106.638835
T3AAPL,2019-Oct-04 13:41:06.679000,99.745293
T3AAPL,2019-Oct-04 13:42:13.141000,99.745293
T3AAPL,2019-Oct-04 13:43:19.646000,99.625293
T3AAPL,2019-Oct-04 13:44:26.700000,105.625293
T3AAPL,2019-Oct-04 13:45:37.688000,98.625293
T3AAPL,2019-Oct-04 13:46:53.195000,140.505293
T3AAPL,2019-Oct-04 13:48:06.918000,136.837446
T3AAPL,2019-Oct-04 13:49:22.426000,120.550003
T3AAPL,2019-Oct-04 13:50:27.648000,112.739212
T3AAPL,2019-Oct-04 13:51:36.664000,94.476159
T3AAPL,2019-Oct-04 13:52:37.446000,104.196159
T3AAPL,2019-Oct-04 13:53:42.593000,108.516159
T3AAPL,2019-Oct-04 13:54:46.532000,118.831676
T3AAPL,2019-Oct-04 13:55:53.886000,110.057686
T3AAPL,2019-Oct-04 13:57:00.277000,110.057686
T3AAPL,2019-Oct-04 13:58:06.771000,115.437686
T3AAPL,2019-Oct-04 13:59:15.115000,125.269055
T3AAPL,2019-Oct-04 14:00:17.880000,125.269055
T3AAPL,2019-Oct-04 14:01:19.760000,125.269055
T3AAPL,2019-Oct-04 14:02:28.277000,126.649055
T3AAPL,2019-Oct-04 14:03:38.907000,145.149055
T3AAPL,2019-Oct-04 14:04:44.598000,139.373542
T3AAPL,2019-Oct-04 14:05:46.553000,138.695142
T3AAPL,2019-Oct-04 14:06:52.670000,138.127027
T3AAPL,2019-Oct-04 14:08:02.612000,138.127027
T3AAPL,2019-Oct-04 14:09:07.877000,138.127027
T3AAPL,2019-Oct-04 14:10:12.369000,134.232679
T3AAPL,2019-Oct-04 14:11:18.205000,134.232679
T3AAPL,2019-Oct-04 14:12:26.125000,134.232679
T3AAPL,2019-Oct-04 14:13:31.294000,134.232679
T3AAPL,2019-Oct-04 14:14:35.710000,140.112679
T3AAPL,2019-Oct-04 14:15:43.193000,151.612679
T3AAPL,2019-Oct-04 14:16:51.927000,153.337882
T3AAPL,2019-Oct-04 14:18:04.250000,153.337882
T3AAPL,2019-Oct-04 14:19:04.595000,153.337882
T3AAPL,2019-Oct-04 14:20:11.310000,171.714682
T3AAPL,2019-Oct-04 14:21:15.853000,160.973851
T3AAPL,2019-Oct-04 14:22:22.110000,183.733851
T3AAPL,2019-Oct-04 14:23:31.118000,158.733851
T3AAPL,2019-Oct-04 14:24:31.329000,152.289663
