Name,Time,Cumulative PnL
T3INTC,2019-Oct-01 13:30:06.781000,-0.360000
T3INTC,2019-Oct-01 13:31:10.918000,-5.747818
T3INTC,2019-Oct-01 13:32:20.880000,-16.562163
T3INTC,2019-Oct-01 13:33:37.179000,-42.284858
T3INTC,2019-Oct-01 13:34:56.430000,-42.284858
T3INTC,2019-Oct-01 13:36:00.956000,-36.284858
T3INTC,2019-Oct-01 13:37:18.817000,-18.284858
T3INTC,2019-Oct-01 13:38:25.289000,-57.172758
T3INTC,2019-Oct-01 13:39:40.155000,-88.611590
T3INTC,2019-Oct-01 13:40:44.865000,-92.731590
T3INTC,2019-Oct-01 13:41:56.761000,-93.231590
T3INTC,2019-Oct-01 13:43:05.222000,-84.851590
T3INTC,2019-Oct-01 13:44:07.545000,-96.427302
T3INTC,2019-Oct-01 13:45:14.740000,-100.455158
T3INTC,2019-Oct-01 13:46:23.706000,-110.843104
T3INTC,2019-Oct-01 13:47:43.333000,-130.963104
T3INTC,2019-Oct-01 13:48:59.545000,-100.963104
T3INTC,2019-Oct-01 13:50:16.465000,-115.963104
T3INTC,2019-Oct-01 13:51:30.632000,-147.692659
T3INTC,2019-Oct-01 13:52:32.779000,-159.812659
T3INTC,2019-Oct-01 13:53:40.381000,-160.312659
T3INTC,2019-Oct-01 13:54:45.673000,-159.312659
T3INTC,2019-Oct-01 13:56:00.533000,-148.312659
T3INTC,2019-Oct-01 13:57:24.184000,-148.812659
T3INTC,2019-Oct-01 13:58:39.299000,-150.812659
T3INTC,2019-Oct-01 13:59:45.103000,-160.312659
T3INTC,2019-Oct-01 14:00:47.189000,-291.034346
T3INTC,2019-Oct-01 14:01:50.617000,-303.216206
T3INTC,2019-Oct-01 14:02:56.229000,-303.652473
T3INTC,2019-Oct-01 14:04:01.682000,-333.180441
T3INTC,2019-Oct-01 14:05:12.418000,-318.780441
T3INTC,2019-Oct-01 14:06:18.356000,-340.728761
T3INTC,2019-Oct-01 14:07:25.963000,-348.537328
T3INTC,2019-Oct-01 14:08:36.784000,-365.129337
T3INTC,2019-Oct-01 14:09:46.707000,-365.129337
T3INTC,2019-Oct-01 14:10:56.134000,-372.032444
T3INTC,2019-Oct-01 14:12:08.472000,-372.157244
T3INTC,2019-Oct-01 14:13:16.445000,-374.411174
T3INTC,2019-Oct-01 14:14:29.369000,-373.835920
T3INTC,2019-Oct-01 14:15:44.964000,-358.612510
T3INTC,2019-Oct-01 14:16:59.698000,-361.414661
T3INTC,2019-Oct-01 14:18:06.959000,-360.099958
T3INTC,2019-Oct-01 14:19:13.544000,-343.199958
T3INTC,2019-Oct-01 14:20:20.308000,-374.614710
T3INTC,2019-Oct-01 14:21:22.852000,-372.246888
T3INTC,2019-Oct-01 14:22:34.522000,-368.029279
