StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
T3JPM,2019-Oct-03 13:30:00.834000,SPY,100,287.790000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310039,,FILL
T3JPM,2019-Oct-03 13:30:40.902000,SPY,-100,287.630000,0.764291,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310040,,FILL
T3JPM,2019-Oct-03 13:31:16.620000,SPY,20,287.480000,0.024000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310041,,FILL
T3JPM,2019-Oct-03 13:32:00.789000,SPY,-20,287.670000,0.152876,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310042,,FILL
T3JPM,2019-Oct-03 13:32:06.681000,SPY,20,287.850000,0.024000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310043,,FILL
T3JPM,2019-Oct-03 13:33:57.458000,SPY,-20,288.230000,0.153127,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310044,,FILL
T3JPM,2019-Oct-03 13:34:28.804000,SPY,100,288.300000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310045,,FILL
T3JPM,2019-Oct-03 13:34:38.807000,SPY,-100,288.200000,0.765568,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310046,,FILL
T3JPM,2019-Oct-03 13:34:48.487000,SPY,100,288.260000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310047,,FILL
T3JPM,2019-Oct-03 13:35:02.734000,SPY,-100,288.240000,0.765658,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310048,,FILL
T3JPM,2019-Oct-03 13:35:12.828000,SPY,100,288.220000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310049,,FILL
T3JPM,2019-Oct-03 13:37:08.865000,SPY,-100,288.180000,0.765523,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310052,,FILL
T3JPM,2019-Oct-03 13:37:35.926000,SPY,100,288.250000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310053,,FILL
T3JPM,2019-Oct-03 13:37:50.394000,SPY,-100,288.130000,0.765411,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310054,,FILL
T3JPM,2019-Oct-03 13:38:05.916000,SPY,100,288.100000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310055,,FILL
T3JPM,2019-Oct-03 13:38:22.587000,SPY,-100,288.020000,0.765165,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310056,,FILL
T3JPM,2019-Oct-03 13:39:10.199000,SPY,39,287.970000,0.046800,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310059,,FILL
T3JPM,2019-Oct-03 13:39:57.124000,SPY,-39,287.990000,0.298388,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310060,,FILL
T3JPM,2019-Oct-03 13:40:52.223000,SPY,100,287.890000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310061,,FILL
T3JPM,2019-Oct-03 13:40:55.104000,SPY,-100,287.830000,0.764739,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310062,,FILL
T3JPM,2019-Oct-03 13:41:04.291000,SPY,200,287.910000,0.240000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310063,,FILL
T3JPM,2019-Oct-03 13:41:34.136000,SPY,-200,288.030000,1.530374,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310064,,FILL
T3JPM,2019-Oct-03 13:43:02.517000,SPY,100,287.960000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310065,,FILL
T3JPM,2019-Oct-03 13:43:45.514000,SPY,-100,287.990000,0.765098,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310066,,FILL
T3JPM,2019-Oct-03 13:45:15.380000,SPY,100,288.140000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310069,,FILL
T3JPM,2019-Oct-03 13:45:18.163000,SPY,-100,288.090000,0.765322,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310070,,FILL
T3JPM,2019-Oct-03 13:45:24.737000,SPY,100,288.190000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310071,,FILL
T3JPM,2019-Oct-03 13:45:42.214000,SPY,-100,288.150000,0.765456,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310072,,FILL
T3JPM,2019-Oct-03 13:45:47.593000,SPY,100,288.200000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310073,,FILL
T3JPM,2019-Oct-03 13:45:50.308000,SPY,-100,288.130000,0.765411,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310074,,FILL
T3JPM,2019-Oct-03 13:46:07.652000,SPY,100,288.240000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310075,,FILL
T3JPM,2019-Oct-03 13:46:26.477000,SPY,-100,288.280000,0.765747,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310076,,FILL
T3JPM,2019-Oct-03 13:47:14.576000,SPY,44,288.350000,0.052800,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310077,,FILL
T3JPM,2019-Oct-03 13:47:23.256000,SPY,-44,288.340000,0.336988,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793310078,,FILL
