StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason
T3JPM,2019-Oct-03 13:30:00.834000,2019-Oct-03 13:30:00.834000,FILLED,FILL,SPY,BUY,LIMIT,DAY,287.790000,100,0,100,0,287.790000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310039,,
T3JPM,2019-Oct-03 13:30:40.902000,2019-Oct-03 13:30:40.902000,FILLED,FILL,SPY,SELL,LIMIT,DAY,287.630000,-100,0,-100,0,287.630000,0.764291,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310040,,
T3JPM,2019-Oct-03 13:31:16.620000,2019-Oct-03 13:31:16.620000,FILLED,FILL,SPY,BUY,LIMIT,DAY,287.480000,20,0,20,0,287.480000,0.024000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310041,,
T3JPM,2019-Oct-03 13:32:00.789000,2019-Oct-03 13:32:00.789000,FILLED,FILL,SPY,SELL,LIMIT,DAY,287.670000,-20,0,-20,0,287.670000,0.152876,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310042,,
T3JPM,2019-Oct-03 13:32:06.681000,2019-Oct-03 13:32:06.681000,FILLED,FILL,SPY,BUY,LIMIT,DAY,287.850000,20,0,20,0,287.850000,0.024000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310043,,
T3JPM,2019-Oct-03 13:33:57.458000,2019-Oct-03 13:33:57.458000,FILLED,FILL,SPY,SELL,LIMIT,DAY,288.230000,-20,0,-20,0,288.230000,0.153127,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310044,,
T3JPM,2019-Oct-03 13:34:28.804000,2019-Oct-03 13:34:28.804000,FILLED,FILL,SPY,BUY,LIMIT,DAY,288.300000,100,0,100,0,288.300000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310045,,
T3JPM,2019-Oct-03 13:34:38.807000,2019-Oct-03 13:34:38.807000,FILLED,FILL,SPY,SELL,LIMIT,DAY,288.200000,-100,0,-100,0,288.200000,0.765568,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310046,,
T3JPM,2019-Oct-03 13:34:48.487000,2019-Oct-03 13:34:48.487000,FILLED,FILL,SPY,BUY,LIMIT,DAY,288.260000,100,0,100,0,288.260000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310047,,
T3JPM,2019-Oct-03 13:35:02.734000,2019-Oct-03 13:35:02.734000,FILLED,FILL,SPY,SELL,LIMIT,DAY,288.240000,-100,0,-100,0,288.240000,0.765658,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310048,,
T3JPM,2019-Oct-03 13:35:12.828000,2019-Oct-03 13:35:12.828000,FILLED,FILL,SPY,BUY,LIMIT,DAY,288.220000,100,0,100,0,288.220000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310049,,
T3JPM,2019-Oct-03 13:36:40.264000,2019-Oct-03 13:36:40.264000,REJECTED,REJECT,SPY,SELL,LIMIT,DAY,288.285000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310050,,limit price is not an increment of minimum tick size
T3JPM,2019-Oct-03 13:36:48.401000,2019-Oct-03 13:36:48.401000,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,288.295000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310051,,limit price is not an increment of minimum tick size
T3JPM,2019-Oct-03 13:37:08.865000,2019-Oct-03 13:37:08.865000,FILLED,FILL,SPY,SELL,LIMIT,DAY,288.180000,-100,0,-100,0,288.180000,0.765523,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310052,,
T3JPM,2019-Oct-03 13:37:35.926000,2019-Oct-03 13:37:35.926000,FILLED,FILL,SPY,BUY,LIMIT,DAY,288.250000,100,0,100,0,288.250000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310053,,
T3JPM,2019-Oct-03 13:37:50.394000,2019-Oct-03 13:37:50.394000,FILLED,FILL,SPY,SELL,LIMIT,DAY,288.130000,-100,0,-100,0,288.130000,0.765411,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310054,,
T3JPM,2019-Oct-03 13:38:05.916000,2019-Oct-03 13:38:05.916000,FILLED,FILL,SPY,BUY,LIMIT,DAY,288.100000,100,0,100,0,288.100000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310055,,
T3JPM,2019-Oct-03 13:38:22.587000,2019-Oct-03 13:38:22.587000,FILLED,FILL,SPY,SELL,LIMIT,DAY,288.020000,-100,0,-100,0,288.020000,0.765165,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310056,,
T3JPM,2019-Oct-03 13:38:27.476000,2019-Oct-03 13:38:27.476000,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,288.085000,12,0,0,12,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310057,,limit price is not an increment of minimum tick size
T3JPM,2019-Oct-03 13:38:55.375000,2019-Oct-03 13:38:55.375000,REJECTED,REJECT,SPY,SELL,LIMIT,DAY,288.020000,0,0,0,0,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310058,,quantity must be positive
T3JPM,2019-Oct-03 13:39:10.199000,2019-Oct-03 13:39:10.199000,FILLED,FILL,SPY,BUY,LIMIT,DAY,287.970000,39,0,39,0,287.970000,0.046800,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310059,,
T3JPM,2019-Oct-03 13:39:57.124000,2019-Oct-03 13:39:57.124000,FILLED,FILL,SPY,SELL,LIMIT,DAY,287.990000,-39,0,-39,0,287.990000,0.298388,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310060,,
T3JPM,2019-Oct-03 13:40:52.223000,2019-Oct-03 13:40:52.223000,FILLED,FILL,SPY,BUY,LIMIT,DAY,287.890000,100,0,100,0,287.890000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310061,,
T3JPM,2019-Oct-03 13:40:55.104000,2019-Oct-03 13:40:55.104000,FILLED,FILL,SPY,SELL,LIMIT,DAY,287.830000,-100,0,-100,0,287.830000,0.764739,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310062,,
T3JPM,2019-Oct-03 13:41:04.291000,2019-Oct-03 13:41:04.291000,FILLED,FILL,SPY,BUY,LIMIT,DAY,287.910000,200,0,200,0,287.910000,0.240000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310063,,
T3JPM,2019-Oct-03 13:41:34.136000,2019-Oct-03 13:41:34.136000,FILLED,FILL,SPY,SELL,LIMIT,DAY,288.030000,-200,0,-200,0,288.030000,1.530374,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310064,,
T3JPM,2019-Oct-03 13:43:02.517000,2019-Oct-03 13:43:02.517000,FILLED,FILL,SPY,BUY,LIMIT,DAY,287.960000,100,0,100,0,287.960000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310065,,
T3JPM,2019-Oct-03 13:43:45.514000,2019-Oct-03 13:43:45.514000,FILLED,FILL,SPY,SELL,LIMIT,DAY,287.990000,-100,0,-100,0,287.990000,0.765098,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310066,,
T3JPM,2019-Oct-03 13:45:02.394000,2019-Oct-03 13:45:02.394000,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,287.985000,44,0,0,44,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793310067,,limit price is not an increment of minimum tick size
