Name,Time,Cumulative PnL
T3JPM,2019-Oct-03 13:30:15.774000,-0.120000
T3JPM,2019-Oct-03 13:31:32.303000,-15.908291
T3JPM,2019-Oct-03 13:32:41.993000,-7.485167
T3JPM,2019-Oct-03 13:33:46.295000,-5.685167
T3JPM,2019-Oct-03 13:34:59.749000,-16.343862
T3JPM,2019-Oct-03 13:36:05.873000,-12.729520
T3JPM,2019-Oct-03 13:37:17.905000,-24.495043
T3JPM,2019-Oct-03 13:38:30.852000,-46.265619
T3JPM,2019-Oct-03 13:39:35.597000,-48.847419
T3JPM,2019-Oct-03 13:40:42.737000,-45.830807
T3JPM,2019-Oct-03 13:41:59.877000,-30.485921
T3JPM,2019-Oct-03 13:43:06.156000,-30.605921
T3JPM,2019-Oct-03 13:44:16.207000,-28.371018
T3JPM,2019-Oct-03 13:45:22.414000,-34.256340
T3JPM,2019-Oct-03 13:46:27.486000,-43.912954
T3JPM,2019-Oct-03 13:47:35.881000,-44.742742
T3JPM,2019-Oct-03 13:48:44.722000,-46.919896
T3JPM,2019-Oct-03 13:49:53.709000,-47.039896
T3JPM,2019-Oct-03 13:50:59.527000,-51.805599
T3JPM,2019-Oct-03 13:52:13.756000,-49.925599
T3JPM,2019-Oct-03 13:53:23.882000,-56.691144
T3JPM,2019-Oct-03 13:54:39.364000,-59.576847
T3JPM,2019-Oct-03 13:55:49.849000,-65.918498
T3JPM,2019-Oct-03 13:57:07.479000,-54.918498
T3JPM,2019-Oct-03 13:58:16.403000,-45.684425
T3JPM,2019-Oct-03 13:59:28.591000,-45.684425
T3JPM,2019-Oct-03 14:00:31.765000,-181.320652
T3JPM,2019-Oct-03 14:01:36.178000,-203.486782
T3JPM,2019-Oct-03 14:02:41.760000,-230.546659
T3JPM,2019-Oct-03 14:03:54.292000,-284.067539
T3JPM,2019-Oct-03 14:05:00.184000,-276.947642
T3JPM,2019-Oct-03 14:06:09.145000,-292.587219
T3JPM,2019-Oct-03 14:07:09.867000,-292.586448
T3JPM,2019-Oct-03 14:08:14.279000,-351.523981
T3JPM,2019-Oct-03 14:09:18.913000,-347.508131
T3JPM,2019-Oct-03 14:10:23.249000,-350.886979
T3JPM,2019-Oct-03 14:11:30.235000,-336.132872
T3JPM,2019-Oct-03 14:12:35.764000,-333.409408
T3JPM,2019-Oct-03 14:13:43.424000,-323.287988
T3JPM,2019-Oct-03 14:14:46.801000,-322.967981
T3JPM,2019-Oct-03 14:15:54.723000,-328.965232
T3JPM,2019-Oct-03 14:16:57.377000,-346.724438
T3JPM,2019-Oct-03 14:18:10.525000,-346.843958
T3JPM,2019-Oct-03 14:19:12.148000,-262.463958
T3JPM,2019-Oct-03 14:20:19.619000,-215.006553
T3JPM,2019-Oct-03 14:21:22.815000,-202.006857
T3JPM,2019-Oct-03 14:22:28.101000,-205.649033
T3JPM,2019-Oct-03 14:23:31.211000,-199.581288
T3JPM,2019-Oct-03 14:24:46.302000,-186.224405
T3JPM,2019-Oct-03 14:26:00.679000,-174.344405
T3JPM,2019-Oct-03 14:27:03.986000,-146.871230
T3JPM,2019-Oct-03 14:28:12.531000,-171.272883
T3JPM,2019-Oct-03 14:29:15.948000,-255.509311
T3JPM,2019-Oct-03 14:30:27.170000,-274.768777
T3JPM,2019-Oct-03 14:31:30.975000,-264.595066
T3JPM,2019-Oct-03 14:32:37.436000,-275.477902
T3JPM,2019-Oct-03 14:33:42.535000,-275.477902
T3JPM,2019-Oct-03 14:34:54.404000,-269.480647
T3JPM,2019-Oct-03 14:35:58.850000,-251.441615
T3JPM,2019-Oct-03 14:37:05.657000,-216.205973
T3JPM,2019-Oct-03 14:38:23.383000,-216.205973
T3JPM,2019-Oct-03 14:39:44.162000,-221.209637
T3JPM,2019-Oct-03 14:40:50.140000,-237.856696
T3JPM,2019-Oct-03 14:42:05.180000,-245.739778
T3JPM,2019-Oct-03 14:43:16.728000,-268.505986
T3JPM,2019-Oct-03 14:44:31.623000,-268.614816
T3JPM,2019-Oct-03 14:45:48.993000,-259.854816
T3JPM,2019-Oct-03 14:46:56.674000,-222.450666
T3JPM,2019-Oct-03 14:48:02.787000,-252.098768
T3JPM,2019-Oct-03 14:49:13.956000,-257.101021
T3JPM,2019-Oct-03 14:50:23.605000,-268.483565
T3JPM,2019-Oct-03 14:51:31.180000,-262.103565
T3JPM,2019-Oct-03 14:52:34.674000,-306.103565
T3JPM,2019-Oct-03 14:53:45.136000,-301.509853
T3JPM,2019-Oct-03 14:54:49.224000,-303.462611
T3JPM,2019-Oct-03 14:55:49.756000,-316.422438
T3JPM,2019-Oct-03 14:56:58.365000,-303.267975
T3JPM,2019-Oct-03 14:58:00.444000,-297.387975
T3JPM,2019-Oct-03 14:59:09.144000,-255.390833
T3JPM,2019-Oct-03 15:00:17.349000,-251.025354
T3JPM,2019-Oct-03 15:01:27.242000,-257.178836
T3JPM,2019-Oct-03 15:02:34.904000,-71.004660
T3JPM,2019-Oct-03 15:03:36.690000,-120.037973
T3JPM,2019-Oct-03 15:04:43.523000,-123.043496
T3JPM,2019-Oct-03 15:05:47.760000,-126.198592
