StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
T3MSFT,2019-Oct-02 13:30:20.402000,SPY,100,291.270000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793321736,,FILL
T3MSFT,2019-Oct-02 13:30:43.326000,SPY,-100,291.180000,0.772243,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793321737,,FILL
T3MSFT,2019-Oct-02 13:31:24.857000,SPY,100,291.330000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793321738,,FILL
T3MSFT,2019-Oct-02 13:31:34.810000,SPY,-100,291.200000,0.772288,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793321739,,FILL
T3MSFT,2019-Oct-02 13:31:55.552000,SPY,100,291.200000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793321740,,FILL
T3MSFT,2019-Oct-02 13:33:03.165000,SPY,100,291.110000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793321742,,FILL
T3MSFT,2019-Oct-02 13:33:06.377000,SPY,-200,291.010000,1.543725,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793321743,,FILL
T3MSFT,2019-Oct-02 13:33:15.278000,SPY,300,291.020000,0.360000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793321744,,FILL
T3MSFT,2019-Oct-02 13:33:20.810000,SPY,-300,290.980000,2.315386,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793321745,,FILL
T3MSFT,2019-Oct-02 13:33:28.870000,SPY,100,291.070000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793321746,,FILL
T3MSFT,2019-Oct-02 13:33:59.762000,SPY,-100,290.870000,0.771549,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793321747,,FILL
T3MSFT,2019-Oct-02 13:34:12.498000,SPY,100,290.850000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793321748,,FILL
T3MSFT,2019-Oct-02 13:34:49.901000,SPY,-100,290.750000,0.771280,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793321749,,FILL
T3MSFT,2019-Oct-02 13:35:41.411000,SPY,100,290.490000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793321750,,FILL
T3MSFT,2019-Oct-02 13:36:01.463000,SPY,-100,290.640000,0.771034,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793321751,,FILL
T3MSFT,2019-Oct-02 13:36:41.342000,SPY,100,290.590000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793321752,,FILL
T3MSFT,2019-Oct-02 13:37:13.382000,SPY,-100,290.560000,0.770854,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793321753,,FILL
T3MSFT,2019-Oct-02 13:37:19.142000,SPY,100,290.630000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361425793321754,,FILL
