StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason
T3MSFT,2019-Oct-02 13:30:01.792000,2019-Oct-02 13:30:01.792000,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,291.395000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793321734,,limit price is not an increment of minimum tick size
T3MSFT,2019-Oct-02 13:30:01.982000,2019-Oct-02 13:30:01.982000,REJECTED,REJECT,SPY,SELL,LIMIT,DAY,291.360000,0,0,0,0,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793321735,,quantity must be positive
T3MSFT,2019-Oct-02 13:30:20.402000,2019-Oct-02 13:30:20.402000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.270000,100,0,100,0,291.270000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793321736,,
T3MSFT,2019-Oct-02 13:30:43.326000,2019-Oct-02 13:30:43.326000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.180000,-100,0,-100,0,291.180000,0.772243,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793321737,,
T3MSFT,2019-Oct-02 13:31:24.857000,2019-Oct-02 13:31:24.857000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.330000,100,0,100,0,291.330000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793321738,,
T3MSFT,2019-Oct-02 13:31:34.810000,2019-Oct-02 13:31:34.810000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.200000,-100,0,-100,0,291.200000,0.772288,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793321739,,
T3MSFT,2019-Oct-02 13:31:55.552000,2019-Oct-02 13:31:55.552000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.200000,100,0,100,0,291.200000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793321740,,
T3MSFT,2019-Oct-02 13:32:18.401000,2019-Oct-02 13:32:18.401000,REJECTED,REJECT,SPY,SELL,LIMIT,DAY,291.085000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793321741,,limit price is not an increment of minimum tick size
T3MSFT,2019-Oct-02 13:33:03.165000,2019-Oct-02 13:33:03.165000,FILLED,FILL,SPY,BUY,LIMIT,DAY,291.110000,100,0,100,0,291.110000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793321742,,
T3MSFT,2019-Oct-02 13:33:06.377000,2019-Oct-02 13:33:06.377000,FILLED,FILL,SPY,SELL,LIMIT,DAY,291.010000,-200,0,-200,0,291.010000,1.543725,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361425793321743,,
