Name,Time,Cumulative PnL
T3MSFT,2019-Oct-02 13:30:15.903000,0.000000
T3MSFT,2019-Oct-02 13:31:24.739000,-9.892243
T3MSFT,2019-Oct-02 13:32:34.898000,-33.904531
T3MSFT,2019-Oct-02 13:33:40.852000,-71.863642
T3MSFT,2019-Oct-02 13:34:49.901000,-93.255190
T3MSFT,2019-Oct-02 13:35:53.505000,-95.146470
T3MSFT,2019-Oct-02 13:36:58.123000,-89.037504
T3MSFT,2019-Oct-02 13:38:00.831000,-103.699101
T3MSFT,2019-Oct-02 13:39:07.719000,-117.588992
T3MSFT,2019-Oct-02 13:40:19.828000,-118.478906
T3MSFT,2019-Oct-02 13:41:25.923000,-118.478906
T3MSFT,2019-Oct-02 13:42:36.809000,-135.368528
T3MSFT,2019-Oct-02 13:43:44.146000,-134.377926
T3MSFT,2019-Oct-02 13:44:53.119000,-140.737926
T3MSFT,2019-Oct-02 13:46:05.109000,-186.825523
T3MSFT,2019-Oct-02 13:47:19.868000,-182.325523
T3MSFT,2019-Oct-02 13:48:26.257000,-159.325523
T3MSFT,2019-Oct-02 13:49:36.674000,-182.375062
T3MSFT,2019-Oct-02 13:50:52.800000,-189.495062
T3MSFT,2019-Oct-02 13:52:01.844000,-199.153187
T3MSFT,2019-Oct-02 13:53:20.758000,-199.153187
T3MSFT,2019-Oct-02 13:54:28.761000,-199.153187
T3MSFT,2019-Oct-02 13:55:41.862000,-205.273187
T3MSFT,2019-Oct-02 13:56:45.412000,-212.273187
T3MSFT,2019-Oct-02 13:57:53.112000,-212.041690
T3MSFT,2019-Oct-02 13:59:03.559000,-212.041690
T3MSFT,2019-Oct-02 14:00:04.558000,-203.050170
T3MSFT,2019-Oct-02 14:01:07.709000,-253.170170
T3MSFT,2019-Oct-02 14:02:11.117000,-275.170170
T3MSFT,2019-Oct-02 14:03:22.958000,-279.326189
T3MSFT,2019-Oct-02 14:04:35.971000,-309.153462
T3MSFT,2019-Oct-02 14:05:53.574000,-291.041942
T3MSFT,2019-Oct-02 14:07:02.352000,-274.541942
T3MSFT,2019-Oct-02 14:08:05.489000,-271.041942
T3MSFT,2019-Oct-02 14:09:10.160000,-273.931072
T3MSFT,2019-Oct-02 14:10:17.868000,-280.700045
T3MSFT,2019-Oct-02 14:11:21.682000,-292.077643
T3MSFT,2019-Oct-02 14:12:32.959000,-291.983843
T3MSFT,2019-Oct-02 14:13:37.413000,-291.928843
T3MSFT,2019-Oct-02 14:14:52.714000,-291.966537
T3MSFT,2019-Oct-02 14:15:56.583000,-291.966537
T3MSFT,2019-Oct-02 14:17:03.123000,-291.966537
T3MSFT,2019-Oct-02 14:18:08.857000,-291.966537
T3MSFT,2019-Oct-02 14:19:16.225000,-291.987737
T3MSFT,2019-Oct-02 14:20:19.107000,-292.137737
T3MSFT,2019-Oct-02 14:21:25.575000,-292.025431
T3MSFT,2019-Oct-02 14:22:29.512000,-292.025431
T3MSFT,2019-Oct-02 14:23:34.682000,-292.207831
T3MSFT,2019-Oct-02 14:24:38.307000,-292.427831
T3MSFT,2019-Oct-02 14:25:44.252000,-301.347300
T3MSFT,2019-Oct-02 14:26:49.506000,-307.157300
T3MSFT,2019-Oct-02 14:27:57.986000,-319.559180
T3MSFT,2019-Oct-02 14:29:06.373000,-327.447123
T3MSFT,2019-Oct-02 14:30:12.997000,-327.567123
T3MSFT,2019-Oct-02 14:31:19.153000,-350.109203
T3MSFT,2019-Oct-02 14:32:24.646000,-352.536623
T3MSFT,2019-Oct-02 14:33:32.316000,-353.124957
T3MSFT,2019-Oct-02 14:34:36.378000,-352.059357
T3MSFT,2019-Oct-02 14:35:39.834000,-350.739357
T3MSFT,2019-Oct-02 14:36:43.652000,-359.091378
T3MSFT,2019-Oct-02 14:37:47.492000,-359.357730
T3MSFT,2019-Oct-02 14:38:52.807000,-361.477730
T3MSFT,2019-Oct-02 14:40:01.275000,-371.363746
T3MSFT,2019-Oct-02 14:41:03.457000,-357.016316
T3MSFT,2019-Oct-02 14:42:09.585000,-357.016316
T3MSFT,2019-Oct-02 14:43:12.275000,-359.022108
T3MSFT,2019-Oct-02 14:44:18.328000,-377.188598
T3MSFT,2019-Oct-02 14:45:27.208000,-417.443815
T3MSFT,2019-Oct-02 14:46:30.796000,-403.672853
T3MSFT,2019-Oct-02 14:47:46.358000,-404.438645
T3MSFT,2019-Oct-02 14:48:52.729000,-404.438645
T3MSFT,2019-Oct-02 14:49:55.858000,-422.209288
T3MSFT,2019-Oct-02 14:51:00.205000,-412.100424
T3MSFT,2019-Oct-02 14:52:07.851000,-413.866127
T3MSFT,2019-Oct-02 14:53:12.525000,-445.871628
T3MSFT,2019-Oct-02 14:54:16.524000,-418.871628
T3MSFT,2019-Oct-02 14:55:23.394000,-397.326527
T3MSFT,2019-Oct-02 14:56:30.381000,-397.534706
T3MSFT,2019-Oct-02 14:57:38.186000,-394.034706
T3MSFT,2019-Oct-02 14:58:38.455000,-409.534706
T3MSFT,2019-Oct-02 14:59:44.148000,-410.421013
T3MSFT,2019-Oct-02 15:00:54.199000,-427.072732
T3MSFT,2019-Oct-02 15:02:01.977000,-416.192732
T3MSFT,2019-Oct-02 15:03:06.371000,-419.199509
T3MSFT,2019-Oct-02 15:04:13.418000,-428.733064
T3MSFT,2019-Oct-02 15:05:17.657000,-428.733064
T3MSFT,2019-Oct-02 15:06:23.343000,-428.733064
T3MSFT,2019-Oct-02 15:07:31.434000,-445.693064
T3MSFT,2019-Oct-02 15:08:39.845000,-487.447464
T3MSFT,2019-Oct-02 15:09:43.813000,-483.947464
T3MSFT,2019-Oct-02 15:10:55.481000,-504.947464
T3MSFT,2019-Oct-02 15:12:01.136000,-523.292343
T3MSFT,2019-Oct-02 15:13:07.736000,-522.912343
T3MSFT,2019-Oct-02 15:14:16.349000,-555.088308
T3MSFT,2019-Oct-02 15:15:30.791000,-559.974190
T3MSFT,2019-Oct-02 15:16:38.596000,-564.094190
T3MSFT,2019-Oct-02 15:17:40.893000,-556.746401
T3MSFT,2019-Oct-02 15:18:44.596000,-554.986401
T3MSFT,2019-Oct-02 15:19:49.329000,-507.606401
T3MSFT,2019-Oct-02 15:20:52.379000,-496.830410
T3MSFT,2019-Oct-02 15:22:02.246000,-496.830410
T3MSFT,2019-Oct-02 15:23:09.841000,-418.609610
T3MSFT,2019-Oct-02 15:24:13.604000,-264.897008
T3MSFT,2019-Oct-02 15:25:20.320000,-274.663405
T3MSFT,2019-Oct-02 15:26:25.246000,-274.663405
T3MSFT,2019-Oct-02 15:27:31.107000,-274.663405
T3MSFT,2019-Oct-02 15:28:38.880000,-289.434788
T3MSFT,2019-Oct-02 15:29:49.482000,-289.434788
T3MSFT,2019-Oct-02 15:31:01.260000,-297.320288
T3MSFT,2019-Oct-02 15:32:08.738000,-296.325140
T3MSFT,2019-Oct-02 15:33:17.456000,-293.089856
T3MSFT,2019-Oct-02 15:34:17.587000,-293.326395
T3MSFT,2019-Oct-02 15:35:25.451000,-293.326395
T3MSFT,2019-Oct-02 15:36:35.560000,-289.446395
T3MSFT,2019-Oct-02 15:37:43.608000,-291.830574
T3MSFT,2019-Oct-02 15:38:56.639000,-271.330574
T3MSFT,2019-Oct-02 15:40:00.552000,-276.980411
T3MSFT,2019-Oct-02 15:41:09.531000,-276.742811
T3MSFT,2019-Oct-02 15:42:11.893000,-278.097757
T3MSFT,2019-Oct-02 15:43:20.969000,-278.341317
T3MSFT,2019-Oct-02 15:44:29.319000,-284.106348
T3MSFT,2019-Oct-02 15:45:36.305000,-279.226348
T3MSFT,2019-Oct-02 15:46:46.493000,-288.991490
T3MSFT,2019-Oct-02 15:48:02.337000,-291.111490
T3MSFT,2019-Oct-02 15:49:07.785000,-300.876364
T3MSFT,2019-Oct-02 15:50:11.991000,-300.876364
T3MSFT,2019-Oct-02 15:51:28.176000,-300.876364
T3MSFT,2019-Oct-02 15:52:30.793000,-300.876364
T3MSFT,2019-Oct-02 15:53:38.947000,-277.996364
T3MSFT,2019-Oct-02 15:54:52.753000,-286.761797
T3MSFT,2019-Oct-02 15:56:02.641000,-286.647455
T3MSFT,2019-Oct-02 15:57:15.904000,-289.532978
T3MSFT,2019-Oct-02 15:58:30.727000,-285.418524
T3MSFT,2019-Oct-02 15:59:36.997000,-291.303957
T3MSFT,2019-Oct-02 16:00:49.625000,-291.303957
T3MSFT,2019-Oct-02 16:01:58.413000,-301.189010
T3MSFT,2019-Oct-02 16:03:05.133000,-309.073861
T3MSFT,2019-Oct-02 16:04:21.648000,-309.073861
T3MSFT,2019-Oct-02 16:05:22.963000,-323.844325
T3MSFT,2019-Oct-02 16:06:32.567000,-328.729513
T3MSFT,2019-Oct-02 16:07:33.600000,-328.729513
T3MSFT,2019-Oct-02 16:08:37.792000,-328.729513
T3MSFT,2019-Oct-02 16:10:13.390000,-328.729513
T3MSFT,2019-Oct-02 16:11:24.490000,-328.729513
T3MSFT,2019-Oct-02 16:12:33.634000,-328.729513
T3MSFT,2019-Oct-02 16:13:43.765000,-328.729513
T3MSFT,2019-Oct-02 16:14:45.651000,-328.729513
T3MSFT,2019-Oct-02 16:15:55.534000,-329.162153
T3MSFT,2019-Oct-02 16:17:07.950000,-329.162153
T3MSFT,2019-Oct-02 16:18:19.249000,-312.282153
T3MSFT,2019-Oct-02 16:19:28.327000,-312.046489
T3MSFT,2019-Oct-02 16:20:43.173000,-312.046489
T3MSFT,2019-Oct-02 16:22:13.308000,-313.666489
