EMDH0-EMDU0,EMDW2H20
EMDZ9-EMDU0,EMDW3Z19
EMDU9-EMDU0,EMDW4U19
EMDM0-EMDU0,EMDW1M20
EMDZ9-EMDM0,EMDW2Z19
EMDU9-EMDM0,EMDW3U19
EMDH0-EMDM0,EMDW1H20
EMDU9-EMDH0,EMDW2U19
EMDZ9-EMDH0,EMDW1Z19
EMDU9-EMDZ9,EMDW1U19
YMU9-YMM0,YMW3U19
YMZ9-YMM0,YMW2Z19
YMH0-YMM0,YMW1H20
YMU9-YMZ9,YMW1U19
YMU9-YMH0,YMW2U19
YMZ9-YMH0,YMW1Z19
HOU9-HOG2,HOES29U19
HOU9-HOH2,HOES30U19
HOU9-HOJ2,HOES31U19
HOU9-HOZ2,HOES39U19
HOU9-HOK2,HOES32U19
HOU9-HOM2,HOES33U19
HOU9-HON2,HOES34U19
HOU9-HOQ2,HOES35U19
HOU9-HOU2,HOES36U19
HOU9-HOV2,HOES37U19
HOU9-HOX2,HOES38U19
HOU9-HOF3,HOES40U19
HOX9-HOG2,HOES27X19
HOX9-HOH2,HOES28X19
HOX9-HOJ2,HOES29X19
HOX9-HOU2,HOES34X19
HOX9-HOV2,HOES35X19
HOX9-HOX2,HOES36X19
HOV9-HOG2,HOES28V19
HOV9-HOH2,HOES29V19
HOV9-HOJ2,HOES30V19
HOV9-HOK2,HOES31V19
HOV9-HOM2,HOES32V19
HOV9-HON2,HOES33V19
HOV9-HOQ2,HOES34V19
HOV9-HOU2,HOES35V19
HOV9-HOV2,HOES36V19
HOV9-HOX2,HOES37V19
HOV9-HOZ2,HOES38V19
HOV9-HOF3,HOES39V19
HOX9-HOK2,HOES30X19
HOX9-HOM2,HOES31X19
HOX9-HON2,HOES32X19
HOX9-HOQ2,HOES33X19
HOZ9-HOQ2,HOES32Z19
HOZ9-HOU2,HOES33Z19
HOZ9-HOV2,HOES34Z19
HOZ9-HOX2,HOES35Z19
HOH0-HOH2,HOES24H20
HOH0-HOJ2,HOES25H20
HOH0-HOK2,HOES26H20
HOZ9-HOF3,HOES37Z19
HOF0-HOG2,HOES25F20
HOF0-HOH2,HOES26F20
HOF0-HOJ2,HOES27F20
HOG0-HOK2,HOES27G20
HOG0-HOM2,HOES28G20
HOG0-HON2,HOES29G20
HOG0-HOQ2,HOES30G20
HOG0-HOU2,HOES31G20
HOG0-HOV2,HOES32G20
HOG0-HOX2,HOES33G20
HOF0-HOK2,HOES28F20
HOF0-HOM2,HOES29F20
HOF0-HON2,HOES30F20
HOX9-HOZ2,HOES37X19
HOX9-HOF3,HOES38X19
HOZ9-HOG2,HOES26Z19
HOZ9-HOH2,HOES27Z19
HOZ9-HOJ2,HOES28Z19
HOZ9-HOZ2,HOES36Z19
HOG0-HOH2,HOES25G20
HOG0-HOJ2,HOES26G20
HOF0-HOQ2,HOES31F20
HOF0-HOU2,HOES32F20
HOF0-HOV2,HOES33F20
HOF0-HOX2,HOES34F20
HOG0-HOZ2,HOES34G20
HOG0-HOF3,HOES35G20
HOH0-HOG2,HOES23H20
HOZ9-HOK2,HOES29Z19
HOZ9-HOM2,HOES30Z19
HOZ9-HON2,HOES31Z19
HOF0-HOZ2,HOES35F20
HOF0-HOF3,HOES36F20
HOG0-HOG2,HOES24G20
HOH0-HOU2,HOES30H20
HOH0-HOV2,HOES31H20
HOH0-HOX2,HOES32H20
HON0-HOV2,HOES27N20
HON0-HOX2,HOES28N20
HON0-HOZ2,HOES29N20
HOM0-HOQ2,HOES26M20
HOM0-HOU2,HOES27M20
HOM0-HOV2,HOES28M20
HOM0-HOX2,HOES29M20
HON0-HOF3,HOES30N20
HOV0-HOQ2,HOES22V20
HOV0-HOU2,HOES23V20
HOM0-HOZ2,HOES30M20
HOM0-HOF3,HOES31M20
HON0-HOG2,HOES19N20
HOQ0-HOG2,HOES18Q20
HOQ0-HOH2,HOES19Q20
HOQ0-HOJ2,HOES20Q20
HOQ0-HOK2,HOES21Q20
HOQ0-HOM2,HOES22Q20
HOQ0-HON2,HOES23Q20
HOQ0-HOQ2,HOES24Q20
HOQ0-HOU2,HOES25Q20
HOH0-HOF3,HOES34H20
HOJ0-HOG2,HOES22J20
HOJ0-HOH2,HOES23J20
HOJ0-HOJ2,HOES24J20
HOJ0-HOK2,HOES25J20
HOJ0-HOM2,HOES26J20
HOJ0-HON2,HOES27J20
HOV0-HOG2,HOES16V20
HOV0-HOH2,HOES17V20
HOV0-HOJ2,HOES18V20
HOV0-HOK2,HOES19V20
HOV0-HOM2,HOES20V20
HOV0-HON2,HOES21V20
HOH0-HOZ2,HOES33H20
HOJ0-HOX2,HOES31J20
HOJ0-HOZ2,HOES32J20
HOJ0-HOF3,HOES33J20
HOK0-HOG2,HOES21K20
HOK0-HOH2,HOES22K20
HOK0-HOJ2,HOES23K20
HOK0-HOK2,HOES24K20
HOK0-HOM2,HOES25K20
HOK0-HON2,HOES26K20
HOK0-HOQ2,HOES27K20
HOK0-HOU2,HOES28K20
HOQ0-HOV2,HOES26Q20
HOQ0-HOX2,HOES27Q20
HOQ0-HOZ2,HOES28Q20
HOQ0-HOF3,HOES29Q20
HOU0-HOG2,HOES17U20
HOJ0-HOQ2,HOES28J20
HOJ0-HOU2,HOES29J20
HOJ0-HOV2,HOES30J20
HOK0-HOV2,HOES29K20
HOK0-HOX2,HOES30K20
HOK0-HOZ2,HOES31K20
HOK0-HOF3,HOES32K20
HOM0-HOG2,HOES20M20
HON0-HOH2,HOES20N20
HON0-HOJ2,HOES21N20
HON0-HOK2,HOES22N20
HOU0-HOH2,HOES18U20
HOU0-HOJ2,HOES19U20
HOU0-HOK2,HOES20U20
HOU0-HOM2,HOES21U20
HOU0-HON2,HOES22U20
HOU0-HOQ2,HOES23U20
HOU0-HOU2,HOES24U20
HOU0-HOV2,HOES25U20
HOU0-HOX2,HOES26U20
HOU0-HOZ2,HOES27U20
HOU0-HOF3,HOES28U20
HOM0-HOH2,HOES21M20
HOM0-HOJ2,HOES22M20
HOM0-HOK2,HOES23M20
HOM0-HOM2,HOES24M20
HOM0-HON2,HOES25M20
HON0-HOM2,HOES23N20
HON0-HON2,HOES24N20
HON0-HOQ2,HOES25N20
HON0-HOU2,HOES26N20
HOH0-HOM2,HOES27H20
HOH0-HON2,HOES28H20
HOH0-HOQ2,HOES29H20
HOF1-HOF3,HOES24F21
HOG1-HOG2,HOES12G21
HOG1-HOH2,HOES13G21
HOG1-HOJ2,HOES14G21
HOX0-HOJ2,HOES17X20
HOX0-HOK2,HOES18X20
HOX0-HOG2,HOES15X20
HOX0-HOH2,HOES16X20
HOZ0-HOJ2,HOES16Z20
HOZ0-HOK2,HOES17Z20
HOZ0-HOM2,HOES18Z20
HOZ0-HON2,HOES19Z20
HOZ0-HOQ2,HOES20Z20
HOZ0-HOU2,HOES21Z20
HOZ0-HOV2,HOES22Z20
HOZ0-HOX2,HOES23Z20
HOZ0-HOZ2,HOES24Z20
HOZ0-HOF3,HOES25Z20
HOF1-HOG2,HOES13F21
HOF1-HOH2,HOES14F21
HOF1-HOJ2,HOES15F21
HOF1-HOK2,HOES16F21
HOJ1-HOJ2,HOES12J21
HOJ1-HOK2,HOES13J21
HOJ1-HOM2,HOES14J21
HOJ1-HON2,HOES15J21
HOG1-HOM2,HOES16G21
HOG1-HOV2,HOES20G21
HOG1-HOX2,HOES21G21
HOG1-HOZ2,HOES22G21
HOG1-HOF3,HOES23G21
HOF1-HOM2,HOES17F21
HOF1-HON2,HOES18F21
HOF1-HOQ2,HOES19F21
HOF1-HOU2,HOES20F21
HOF1-HOV2,HOES21F21
HOF1-HOX2,HOES22F21
HOF1-HOZ2,HOES23F21
HOG1-HOK2,HOES15G21
HOH1-HOV2,HOES19H21
HOH1-HOX2,HOES20H21
HOH1-HOZ2,HOES21H21
HOH1-HOF3,HOES22H21
HOJ1-HOG2,HOES10J21
HOJ1-HOH2,HOES11J21
HOG1-HON2,HOES17G21
HOG1-HOQ2,HOES18G21
HOG1-HOU2,HOES19G21
HOX0-HOM2,HOES19X20
HOX0-HON2,HOES20X20
HOX0-HOQ2,HOES21X20
HOX0-HOU2,HOES22X20
HOX0-HOV2,HOES23X20
HOX0-HOX2,HOES24X20
HOH1-HOG2,HOES11H21
HOH1-HOH2,HOES12H21
